esox_lucius ENSELUG00000009132
gadus_morhua ENSGMOG00000016423
fundulus_heteroclitus ENSFHEG00000020023
cyprinodon_variegatus ENSCVAG00000006166
poecilia_latipinna ENSPLAG00000008454
poecilia_reticulata ENSPREG00000004357
poecilia_formosa ENSPFOG00000016125
poecilia_mexicana ENSPMEG00000009420
xiphophorus_maculatus ENSXMAG00000026091
oryzias_latipes_asm223467v1 ENSORLG00000003570
pundamilia_nyererei ENSPNYG00000016596
astatotilapia_calliptera ENSACLG00000013845
haplochromis_burtoni ENSHBUG00000002342
maylandia_zebra ENSMZEG00005014983
oreochromis_niloticus ENSONIG00000004028
neolamprologus_brichardi ENSNBRG00000019051
amphiprion_ocellaris ENSAOCG00000010169
amphiprion_percula ENSAPEG00000002573
acanthochromis_polyacanthus ENSAPOG00000002544
stegastes_partitus ENSSPAG00000005934
labrus_bergylta ENSLBEG00000022795
mola_mola ENSMMOG00000011035
seriola_dumerili ENSSDUG00000021188
kryptolebias_marmoratus ENSKMAG00000005957
mastacembelus_armatus ENSMAMG00000016641
monopterus_albus ENSMALG00000001743
anabas_testudineus ENSATEG00000024838
gasterosteus_aculeatus ENSGACG00000012180
tetraodon_nigroviridis ENSTNIG00000014757
scophthalmus_maximus ENSSMAG00000016450
periophthalmus_magnuspinnatus ENSPMGG00000007865
pygocentrus_nattereri ENSPNAG00000002065
paramormyrops_kingsleyae ENSPKIG00000012136
taeniopygia_guttata ENSTGUG00000003298
lonchura_striata_domestica ENSLSDG00000004999
serinus_canaria ENSSCAG00000016967
ficedula_albicollis ENSFALG00000007226
junco_hyemalis ENSJHYG00000010601
parus_major ENSPMJG00000014831
cyanistes_caeruleus ENSCCEG00000020372
manacus_vitellinus ENSMVIG00005006493
lepidothrix_coronata ENSLCOG00000014515
gallus_gallus ENSGALG00000024481
coturnix_japonica ENSCJPG00005016509
numida_meleagris ENSNMEG00000013871
anas_platyrhynchos_platyrhynchos ENSAPLG00000006351
melopsittacus_undulatus ENSMUNG00000016199
apteryx_haastii ENSAHAG00000012163
