equus_caballus ENSECAG00000000252
equus_asinus_asinus ENSEASG00005008293
myotis_lucifugus ENSMLUG00000007192
ursus_americanus ENSUAMG00000008484
ailuropoda_melanoleuca ENSAMEG00000016451
vulpes_vulpes ENSVVUG00000022780
vulpes_vulpes ENSVVUG00000005913
canis_lupus_dingo ENSCAFG00020025129
canis_lupus_familiaris ENSCAFG00000013012
neovison_vison ENSNVIG00000018353
neovison_vison ENSNVIG00000014216
mustela_putorius_furo ENSMPUG00000000182
panthera_tigris_altaica ENSPTIG00000015480
panthera_pardus ENSPPRG00000001382
felis_catus ENSFCAG00000014280
sus_scrofa ENSSSCG00000016374
spermophilus_dauricus ENSSDAG00000019384
spermophilus_dauricus ENSSDAG00000012263
spermophilus_dauricus ENSSDAG00000019368
ictidomys_tridecemlineatus ENSSTOG00000015998
marmota_marmota_marmota ENSMMMG00000007741
dipodomys_ordii ENSDORG00000027598
oryctolagus_cuniculus ENSOCUG00000011164
saimiri_boliviensis_boliviensis ENSSBOG00000027518
callithrix_jacchus ENSCJAG00000000540
cebus_capucinus_imitator ENSCCAG00000026683
aotus_nancymaae ENSANAG00000021071
pan_troglodytes ENSPTRG00000013127
pan_paniscus ENSPPAG00000031801
homo_sapiens ENSG00000176946
pongo_abelii ENSPPYG00000013356
nomascus_leucogenys ENSNLEG00000007765
theropithecus_gelada ENSTGEG00000027329
papio_anubis ENSPANG00000020992
cercocebus_atys ENSCATG00000029531
macaca_fascicularis ENSMFAG00000042330
macaca_mulatta ENSMMUG00000005662
macaca_nemestrina ENSMNEG00000034774
chlorocebus_sabaeus ENSCSAG00000005755
mandrillus_leucophaeus ENSMLEG00000028926
piliocolobus_tephrosceles ENSPTEG00000036802
colobus_angolensis_palliatus ENSCANG00000042086
rhinopithecus_bieti ENSRBIG00000033273
rhinopithecus_roxellana ENSRROG00000045112
cavia_aperea ENSCAPG00000004540
cavia_porcellus ENSCPOG00000022107
chinchilla_lanigera ENSCLAG00000002361
octodon_degus ENSODEG00000010347
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018960
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015125
fukomys_damarensis ENSFDAG00000006032
castor_canadensis ENSCCNG00000010307
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002632
cricetulus_griseus_crigri_1.0 ENSCGRG00000014407
mesocricetus_auratus ENSMAUG00000009008
microtus_ochrogaster ENSMOCG00000014492
peromyscus_maniculatus_bairdii ENSPEMG00000022638
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026279
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015265
mus_spicilegus ENSMSIG00000015596
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014461
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027697
rattus_norvegicus ENSRNOG00000018351
