sarcophilus_harrisii ENSSHAG00000007165
phascolarctos_cinereus ENSPCIG00000014861
monodelphis_domestica ENSMODG00000025228
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070999
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026921
mus_spicilegus ENSMSIG00000019576
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025958
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024105
rattus_norvegicus ENSRNOG00000014831
meriones_unguiculatus ENSMUGG00000010478
cricetulus_griseus_crigri_1.0 ENSCGRG00000019742
cricetulus_griseus_crigri-picr ENSCGRG00015028349
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004610
mesocricetus_auratus ENSMAUG00000008789
microtus_ochrogaster ENSMOCG00000008266
peromyscus_maniculatus_bairdii ENSPEMG00000005922
nannospalax_galili ENSNGAG00000014353
jaculus_jaculus ENSJJAG00000002839
oryctolagus_cuniculus ENSOCUG00000000008
ochotona_princeps ENSOPRG00000009318
prolemur_simus ENSPSMG00000003684
otolemur_garnettii ENSOGAG00000029313
pan_paniscus ENSPPAG00000001326
pan_troglodytes ENSPTRG00000029269
homo_sapiens ENSG00000185972
gorilla_gorilla ENSGGOG00000027920
pongo_abelii ENSPPYG00000019070
nomascus_leucogenys ENSNLEG00000018371
theropithecus_gelada ENSTGEG00000005899
macaca_mulatta ENSMMUG00000010214
chlorocebus_sabaeus ENSCSAG00000000455
piliocolobus_tephrosceles ENSPTEG00000021735
rhinopithecus_bieti ENSRBIG00000030773
ictidomys_tridecemlineatus ENSSTOG00000022524
spermophilus_dauricus ENSSDAG00000021582
urocitellus_parryii ENSUPAG00010017573
marmota_marmota_marmota ENSMMMG00000006403
castor_canadensis ENSCCNG00000031416
tupaia_belangeri ENSTBEG00000009476
loxodonta_africana ENSLAFG00000017655
echinops_telfairi ENSETEG00000004527
dasypus_novemcinctus ENSDNOG00000008957
ursus_maritimus ENSUMAG00000011190
ursus_americanus ENSUAMG00000026339
ailuropoda_melanoleuca ENSAMEG00000019411
mustela_putorius_furo ENSMPUG00000018531
neovison_vison ENSNVIG00000016601
canis_lupus_familiaris ENSCAFG00000002286
canis_lupus_dingo ENSCAFG00020017745
vulpes_vulpes ENSVVUG00000020100
panthera_pardus ENSPPRG00000018947
panthera_tigris_altaica ENSPTIG00000003176
felis_catus ENSFCAG00000012763
equus_caballus ENSECAG00000036934
equus_caballus ENSECAG00000039337
equus_caballus ENSECAG00000038320
equus_asinus_asinus ENSEASG00005000599
equus_caballus ENSECAG00000035922
equus_caballus ENSECAG00000039919
pteropus_vampyrus ENSPVAG00000017914
myotis_lucifugus ENSMLUG00000001075
capra_hircus ENSCHIG00000009927
ovis_aries ENSOARG00000008260
bos_mutus ENSBMUG00000025203
bos_taurus ENSBTAG00000021696
bison_bison_bison ENSBBBG00000007148
tursiops_truncatus ENSTTRG00000016282
sus_scrofa ENSSSCG00000005340
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017999
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017059
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006735
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020542
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011145
fukomys_damarensis ENSFDAG00000018395
octodon_degus ENSODEG00000020206
octodon_degus ENSODEG00000020318
cavia_aperea ENSCAPG00000008078
cavia_porcellus ENSCPOG00000035667
cavia_aperea ENSCAPG00000008137
cavia_porcellus ENSCPOG00000040417
dipodomys_ordii ENSDORG00000012835
erinaceus_europaeus ENSEEUG00000010874
ornithorhynchus_anatinus ENSOANG00000011135
chelonoidis_abingdonii ENSCABG00000022307
gopherus_agassizii ENSGAGG00000010667
chrysemys_picta_bellii ENSCPBG00000024175
pelodiscus_sinensis ENSPSIG00000000478
crocodylus_porosus ENSCPRG00005012317
anolis_carolinensis ENSACAG00000002049
anolis_carolinensis ENSACAG00000001854
pogona_vitticeps ENSPVIG00000017733
notechis_scutatus ENSNSUG00000015443
salvator_merianae ENSSMRG00000019433
latimeria_chalumnae ENSLACG00000003057
