periophthalmus_magnuspinnatus ENSPMGG00000009991
hippocampus_comes ENSHCOG00000016084
labrus_bergylta ENSLBEG00000010503
gasterosteus_aculeatus ENSGACG00000012213
takifugu_rubripes ENSTRUG00000011010
tetraodon_nigroviridis ENSTNIG00000000274
mola_mola ENSMMOG00000013018
maylandia_zebra ENSMZEG00005019343
haplochromis_burtoni ENSHBUG00000010166
astatotilapia_calliptera ENSACLG00000026427
pundamilia_nyererei ENSPNYG00000003406
neolamprologus_brichardi ENSNBRG00000001932
oreochromis_niloticus ENSONIG00000014845
amphilophus_citrinellus ENSACIG00000004225
scophthalmus_maximus ENSSMAG00000005492
anabas_testudineus ENSATEG00000000114
amphiprion_ocellaris ENSAOCG00000024197
amphiprion_percula ENSAPEG00000004770
acanthochromis_polyacanthus ENSAPOG00000024279
stegastes_partitus ENSSPAG00000019690
seriola_dumerili ENSSDUG00000015588
seriola_lalandi_dorsalis ENSSLDG00000024094
monopterus_albus ENSMALG00000005334
mastacembelus_armatus ENSMAMG00000006832
cyprinodon_variegatus ENSCVAG00000008366
fundulus_heteroclitus ENSFHEG00000020291
poecilia_formosa ENSPFOG00000017530
poecilia_latipinna ENSPLAG00000007703
poecilia_mexicana ENSPMEG00000020810
poecilia_reticulata ENSPREG00000015383
xiphophorus_maculatus ENSXMAG00000026458
xiphophorus_couchianus ENSXCOG00000020420
gambusia_affinis ENSGAFG00000006171
kryptolebias_marmoratus ENSKMAG00000011994
oryzias_latipes_asm223471v1 ENSORLG00020001453
oryzias_latipes_asm223467v1 ENSORLG00000010355
oryzias_latipes_asm223469v1 ENSORLG00015013475
oryzias_melastigma ENSOMEG00000009246
gadus_morhua ENSGMOG00000004584
esox_lucius ENSELUG00000022981
ictalurus_punctatus ENSIPUG00000003256
pygocentrus_nattereri ENSPNAG00000022450
danio_rerio ENSDARG00000070387
paramormyrops_kingsleyae ENSPKIG00000001874
scleropages_formosus ENSSFOG00015019776
manacus_vitellinus ENSMVIG00005003422
lepidothrix_coronata ENSLCOG00000006056
taeniopygia_guttata ENSTGUG00000009196
junco_hyemalis ENSJHYG00000012504
zonotrichia_albicollis ENSZALG00000016648
ficedula_albicollis ENSFALG00000007589
cyanistes_caeruleus ENSCCEG00000019579
serinus_canaria ENSSCAG00000010988
serinus_canaria ENSSCAG00000001753
melopsittacus_undulatus ENSMUNG00000014729
calidris_pygmaea ENSCPGG00000014939
calidris_pugnax ENSCPUG00000008553
gallus_gallus ENSGALG00000034395
coturnix_japonica ENSCJPG00005014681
meleagris_gallopavo ENSMGAG00000006641
numida_meleagris ENSNMEG00000018722
anas_platyrhynchos_platyrhynchos ENSAPLG00000028392
anser_brachyrhynchus ENSABRG00000010920
apteryx_owenii ENSAOWG00000008779
apteryx_rowi ENSARWG00000015731
apteryx_haastii ENSAHAG00000012579
dromaius_novaehollandiae ENSDNVG00000011708
crocodylus_porosus ENSCPRG00005005600
gopherus_agassizii ENSGAGG00000022656
chelonoidis_abingdonii ENSCABG00000010100
chrysemys_picta_bellii ENSCPBG00000009493
pelodiscus_sinensis ENSPSIG00000009355
pogona_vitticeps ENSPVIG00000009022
anolis_carolinensis ENSACAG00000002387
salvator_merianae ENSSMRG00000008468
salvator_merianae ENSSMRG00000003301
notechis_scutatus ENSNSUG00000010397
nothoprocta_perdicaria ENSNPEG00000004354
lonchura_striata_domestica ENSLSDG00000003563
phascolarctos_cinereus ENSPCIG00000019731
phascolarctos_cinereus ENSPCIG00000014176
notamacropus_eugenii ENSMEUG00000006331
sarcophilus_harrisii ENSSHAG00000017957
monodelphis_domestica ENSMODG00000008089
macaca_mulatta ENSMMUG00000011795
macaca_fascicularis ENSMFAG00000000905
macaca_nemestrina ENSMNEG00000038660
mandrillus_leucophaeus ENSMLEG00000044207
cercocebus_atys ENSCATG00000031071
papio_anubis ENSPANG00000018935
theropithecus_gelada ENSTGEG00000015374
chlorocebus_sabaeus ENSCSAG00000003596
colobus_angolensis_palliatus ENSCANG00000033472
piliocolobus_tephrosceles ENSPTEG00000026195
rhinopithecus_roxellana ENSRROG00000003455
rhinopithecus_bieti ENSRBIG00000030419
pan_troglodytes ENSPTRG00000008373
pan_paniscus ENSPPAG00000039743
homo_sapiens ENSG00000140876
gorilla_gorilla ENSGGOG00000017049
pongo_abelii ENSPPYG00000007573
nomascus_leucogenys ENSNLEG00000013280
callithrix_jacchus ENSCJAG00000043913
cebus_capucinus_imitator ENSCCAG00000016819
saimiri_boliviensis_boliviensis ENSSBOG00000031725
aotus_nancymaae ENSANAG00000020930
carlito_syrichta ENSTSYG00000010459
propithecus_coquereli ENSPCOG00000022389
microcebus_murinus ENSMICG00000031936
prolemur_simus ENSPSMG00000006110
otolemur_garnettii ENSOGAG00000005648
castor_canadensis ENSCCNG00000017761
dipodomys_ordii ENSDORG00000011038
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031767
mus_spicilegus ENSMSIG00000020337
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032712
