pan_troglodytes ENSPTRG00000000825
pan_paniscus ENSPPAG00000015344
homo_sapiens ENSG00000162434
gorilla_gorilla ENSGGOG00000016456
pongo_abelii ENSPPYG00000001270
nomascus_leucogenys ENSNLEG00000015149
macaca_fascicularis ENSMFAG00000003493
macaca_nemestrina ENSMNEG00000008188
macaca_mulatta ENSMMUG00000018566
cercocebus_atys ENSCATG00000041174
mandrillus_leucophaeus ENSMLEG00000038239
papio_anubis ENSPANG00000001284
theropithecus_gelada ENSTGEG00000011995
chlorocebus_sabaeus ENSCSAG00000001351
piliocolobus_tephrosceles ENSPTEG00000016802
colobus_angolensis_palliatus ENSCANG00000031304
rhinopithecus_roxellana ENSRROG00000043516
rhinopithecus_bieti ENSRBIG00000010792
cebus_capucinus_imitator ENSCCAG00000021638
saimiri_boliviensis_boliviensis ENSSBOG00000024631
callithrix_jacchus ENSCJAG00000016743
aotus_nancymaae ENSANAG00000036647
carlito_syrichta ENSTSYG00000006932
propithecus_coquereli ENSPCOG00000018189
microcebus_murinus ENSMICG00000013750
prolemur_simus ENSPSMG00000006700
oryctolagus_cuniculus ENSOCUG00000006227
ochotona_princeps ENSOPRG00000017004
tupaia_belangeri ENSTBEG00000001100
ursus_maritimus ENSUMAG00000008476
ailuropoda_melanoleuca ENSAMEG00000014980
neovison_vison ENSNVIG00000010400
mustela_putorius_furo ENSMPUG00000000719
canis_lupus_familiaris ENSCAFG00000018615
canis_lupus_dingo ENSCAFG00020018270
vulpes_vulpes ENSVVUG00000013996
panthera_tigris_altaica ENSPTIG00000003605
panthera_pardus ENSPPRG00000022662
felis_catus ENSFCAG00000001953
equus_caballus ENSECAG00000018673
equus_asinus_asinus ENSEASG00005008150
ovis_aries ENSOARG00000010117
capra_hircus ENSCHIG00000012708
bos_mutus ENSBMUG00000002390
bos_taurus ENSBTAG00000003147
bison_bison_bison ENSBBBG00000008822
tursiops_truncatus ENSTTRG00000009715
sus_scrofa ENSSSCG00000003809
sorex_araneus ENSSARG00000005582
ursus_americanus ENSUAMG00000009390
vicugna_pacos ENSVPAG00000006184
pteropus_vampyrus ENSPVAG00000007173
myotis_lucifugus ENSMLUG00000007723
castor_canadensis ENSCCNG00000015325
dipodomys_ordii ENSDORG00000013462
mus_spicilegus ENSMSIG00000032175
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027172
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028530
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026203
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028540
rattus_norvegicus ENSRNOG00000011157
