amphiprion_percula ENSAPEG00000002603
amphiprion_ocellaris ENSAOCG00000000377
acanthochromis_polyacanthus ENSAPOG00000000600
stegastes_partitus ENSSPAG00000000621
xiphophorus_maculatus ENSXMAG00000012883
xiphophorus_couchianus ENSXCOG00000000962
gambusia_affinis ENSGAFG00000002322
poecilia_formosa ENSPFOG00000017403
poecilia_latipinna ENSPLAG00000004988
poecilia_mexicana ENSPMEG00000020173
poecilia_reticulata ENSPREG00000010033
fundulus_heteroclitus ENSFHEG00000011324
cyprinodon_variegatus ENSCVAG00000011919
oryzias_latipes_asm223467v1 ENSORLG00000003346
oryzias_latipes_asm223471v1 ENSORLG00020010722
oryzias_latipes_asm223469v1 ENSORLG00015000210
oryzias_melastigma ENSOMEG00000001381
pundamilia_nyererei ENSPNYG00000003205
maylandia_zebra ENSMZEG00005020219
haplochromis_burtoni ENSHBUG00000003330
astatotilapia_calliptera ENSACLG00000018871
neolamprologus_brichardi ENSNBRG00000016717
oreochromis_niloticus ENSONIG00000013414
amphilophus_citrinellus ENSACIG00000019936
seriola_lalandi_dorsalis ENSSLDG00000006331
seriola_lalandi_dorsalis ENSSLDG00000022218
hippocampus_comes ENSHCOG00000006069
takifugu_rubripes ENSTRUG00000006664
tetraodon_nigroviridis ENSTNIG00000004963
mola_mola ENSMMOG00000019207
gasterosteus_aculeatus ENSGACG00000000875
kryptolebias_marmoratus ENSKMAG00000007230
seriola_dumerili ENSSDUG00000016039
seriola_lalandi_dorsalis ENSSLDG00000016751
scophthalmus_maximus ENSSMAG00000011543
monopterus_albus ENSMALG00000020775
mastacembelus_armatus ENSMAMG00000008429
anabas_testudineus ENSATEG00000018211
labrus_bergylta ENSLBEG00000013744
cynoglossus_semilaevis ENSCSEG00000016397
periophthalmus_magnuspinnatus ENSPMGG00000011529
gadus_morhua ENSGMOG00000015256
esox_lucius ENSELUG00000017637
pygocentrus_nattereri ENSPNAG00000010474
astyanax_mexicanus ENSAMXG00000015976
ictalurus_punctatus ENSIPUG00000001533
danio_rerio ENSDARG00000029307
paramormyrops_kingsleyae ENSPKIG00000018216
scleropages_formosus ENSSFOG00015012823
lepisosteus_oculatus ENSLOCG00000001613
phascolarctos_cinereus ENSPCIG00000013988
notamacropus_eugenii ENSMEUG00000016571
sarcophilus_harrisii ENSSHAG00000011641
monodelphis_domestica ENSMODG00000021497
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024410
mus_spicilegus ENSMSIG00000014041
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022917
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022002
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018740
rattus_norvegicus ENSRNOG00000012597
meriones_unguiculatus ENSMUGG00000014803
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014209
cricetulus_griseus_crigri-picr ENSCGRG00015007537
mesocricetus_auratus ENSMAUG00000002841
peromyscus_maniculatus_bairdii ENSPEMG00000022078
microtus_ochrogaster ENSMOCG00000016471
nannospalax_galili ENSNGAG00000017431
jaculus_jaculus ENSJJAG00000018244
castor_canadensis ENSCCNG00000023576
cricetulus_griseus_crigri_1.0 ENSCGRG00000018117
urocitellus_parryii ENSUPAG00010012152
ictidomys_tridecemlineatus ENSSTOG00000006546
marmota_marmota_marmota ENSMMMG00000009792
spermophilus_dauricus ENSSDAG00000018426
chinchilla_lanigera ENSCLAG00000007215
octodon_degus ENSODEG00000006450
cavia_porcellus ENSCPOG00000006222
cavia_aperea ENSCAPG00000009584
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009136
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003079
fukomys_damarensis ENSFDAG00000001407
dipodomys_ordii ENSDORG00000009591
oryctolagus_cuniculus ENSOCUG00000009837
ochotona_princeps ENSOPRG00000004835
tupaia_belangeri ENSTBEG00000016201
pan_paniscus ENSPPAG00000033058
pan_troglodytes ENSPTRG00000009919
homo_sapiens ENSG00000141452
gorilla_gorilla ENSGGOG00000005106
pongo_abelii ENSPPYG00000009063
nomascus_leucogenys ENSNLEG00000006736
rhinopithecus_bieti ENSRBIG00000034235
rhinopithecus_roxellana ENSRROG00000032507
piliocolobus_tephrosceles ENSPTEG00000036144
colobus_angolensis_palliatus ENSCANG00000013718
cercocebus_atys ENSCATG00000037219
mandrillus_leucophaeus ENSMLEG00000036227
papio_anubis ENSPANG00000016020
theropithecus_gelada ENSTGEG00000016386
macaca_mulatta ENSMMUG00000021480
macaca_fascicularis ENSMFAG00000040371
macaca_nemestrina ENSMNEG00000040499
chlorocebus_sabaeus ENSCSAG00000017683
saimiri_boliviensis_boliviensis ENSSBOG00000020943
cebus_capucinus_imitator ENSCCAG00000030450
callithrix_jacchus ENSCJAG00000020571
aotus_nancymaae ENSANAG00000033759
carlito_syrichta ENSTSYG00000004775
prolemur_simus ENSPSMG00000011630
propithecus_coquereli ENSPCOG00000023349
microcebus_murinus ENSMICG00000009300
otolemur_garnettii ENSOGAG00000014511
sorex_araneus ENSSARG00000007269
myotis_lucifugus ENSMLUG00000007104
capra_hircus ENSCHIG00000000226
capra_hircus ENSCHIG00000024653
ovis_aries ENSOARG00000007938
bos_taurus ENSBTAG00000015190
bos_mutus ENSBMUG00000021679
bison_bison_bison ENSBBBG00000005582
tursiops_truncatus ENSTTRG00000008848
sus_scrofa ENSSSCG00000026851
vicugna_pacos ENSVPAG00000009036
pteropus_vampyrus ENSPVAG00000015819
ursus_americanus ENSUAMG00000008035
ursus_maritimus ENSUMAG00000020262
ailuropoda_melanoleuca ENSAMEG00000013782
mustela_putorius_furo ENSMPUG00000005780
neovison_vison ENSNVIG00000018147
canis_lupus_dingo ENSCAFG00020014780
canis_lupus_familiaris ENSCAFG00000018191
vulpes_vulpes ENSVVUG00000003607
panthera_pardus ENSPPRG00000001151
panthera_tigris_altaica ENSPTIG00000009904
felis_catus ENSFCAG00000000518
equus_caballus ENSECAG00000025134
equus_asinus_asinus ENSEASG00005002313
propithecus_coquereli ENSPCOG00000027520
choloepus_hoffmanni ENSCHOG00000006672
dasypus_novemcinctus ENSDNOG00000009862
procavia_capensis ENSPCAG00000011806
