ursus_americanus ENSUAMG00000009817
ursus_maritimus ENSUMAG00000025267
ailuropoda_melanoleuca ENSAMEG00000007087
neovison_vison ENSNVIG00000011637
mustela_putorius_furo ENSMPUG00000008388
canis_lupus_familiaris ENSCAFG00000011045
canis_lupus_dingo ENSCAFG00020006572
vulpes_vulpes ENSVVUG00000022253
panthera_tigris_altaica ENSPTIG00000019203
panthera_pardus ENSPPRG00000007429
felis_catus ENSFCAG00000006090
erinaceus_europaeus ENSEEUG00000012891
pteropus_vampyrus ENSPVAG00000000883
myotis_lucifugus ENSMLUG00000000045
equus_caballus ENSECAG00000016423
equus_asinus_asinus ENSEASG00005012500
sus_scrofa ENSSSCG00000011892
vicugna_pacos ENSVPAG00000003768
capra_hircus ENSCHIG00000019072
ovis_aries ENSOARG00000019790
bos_taurus ENSBTAG00000001293
bos_mutus ENSBMUG00000000245
bison_bison_bison ENSBBBG00000015706
tursiops_truncatus ENSTTRG00000014435
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022805
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021637
mus_spicilegus ENSMSIG00000018655
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020738
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016438
rattus_norvegicus ENSRNOG00000002976
meriones_unguiculatus ENSMUGG00000005178
peromyscus_maniculatus_bairdii ENSPEMG00000012934
microtus_ochrogaster ENSMOCG00000022057
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012643
cricetulus_griseus_crigri_1.0 ENSCGRG00000007638
cricetulus_griseus_crigri-picr ENSCGRG00015016563
mesocricetus_auratus ENSMAUG00000008338
nannospalax_galili ENSNGAG00000022679
jaculus_jaculus ENSJJAG00000012537
castor_canadensis ENSCCNG00000009229
octodon_degus ENSODEG00000005123
chinchilla_lanigera ENSCLAG00000012737
cavia_porcellus ENSCPOG00000015496
cavia_aperea ENSCAPG00000011967
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011972
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002844
fukomys_damarensis ENSFDAG00000011097
ictidomys_tridecemlineatus ENSSTOG00000014975
urocitellus_parryii ENSUPAG00010019983
spermophilus_dauricus ENSSDAG00000010142
marmota_marmota_marmota ENSMMMG00000010267
ochotona_princeps ENSOPRG00000007416
oryctolagus_cuniculus ENSOCUG00000009467
pan_troglodytes ENSPTRG00000015262
pan_paniscus ENSPPAG00000028499
homo_sapiens ENSG00000183833
homo_sapiens ENSG00000285585
gorilla_gorilla ENSGGOG00000009828
pongo_abelii ENSPPYG00000013509
nomascus_leucogenys ENSNLEG00000005022
macaca_fascicularis ENSMFAG00000024362
macaca_nemestrina ENSMNEG00000006506
macaca_mulatta ENSMMUG00000000907
chlorocebus_sabaeus ENSCSAG00000007085
theropithecus_gelada ENSTGEG00000004748
papio_anubis ENSPANG00000009687
cercocebus_atys ENSCATG00000036182
mandrillus_leucophaeus ENSMLEG00000029172
piliocolobus_tephrosceles ENSPTEG00000020647
colobus_angolensis_palliatus ENSCANG00000027930
rhinopithecus_roxellana ENSRROG00000029401
rhinopithecus_bieti ENSRBIG00000035959
cebus_capucinus_imitator ENSCCAG00000024530
cebus_capucinus_imitator ENSCCAG00000026107
saimiri_boliviensis_boliviensis ENSSBOG00000030363
callithrix_jacchus ENSCJAG00000008891
aotus_nancymaae ENSANAG00000030006
carlito_syrichta ENSTSYG00000012540
propithecus_coquereli ENSPCOG00000026368
microcebus_murinus ENSMICG00000049028
otolemur_garnettii ENSOGAG00000005048
tupaia_belangeri ENSTBEG00000014481
loxodonta_africana ENSLAFG00000007824
procavia_capensis ENSPCAG00000005067
echinops_telfairi ENSETEG00000001591
dasypus_novemcinctus ENSDNOG00000011764
choloepus_hoffmanni ENSCHOG00000001167
dipodomys_ordii ENSDORG00000011559
sorex_araneus ENSSARG00000005939
phascolarctos_cinereus ENSPCIG00000006160
notamacropus_eugenii ENSMEUG00000015939
sarcophilus_harrisii ENSSHAG00000002242
monodelphis_domestica ENSMODG00000018208
ornithorhynchus_anatinus ENSOANG00000013869
pogona_vitticeps ENSPVIG00000025218
anolis_carolinensis ENSACAG00000003580
notechis_scutatus ENSNSUG00000019157
salvator_merianae ENSSMRG00000004857
sphenodon_punctatus ENSSPUG00000017093
apteryx_haastii ENSAHAG00000013260
apteryx_rowi ENSARWG00000006661
apteryx_owenii ENSAOWG00000013812
dromaius_novaehollandiae ENSDNVG00000006869
nothoprocta_perdicaria ENSNPEG00000006537
junco_hyemalis ENSJHYG00000001035
zonotrichia_albicollis ENSZALG00000018048
serinus_canaria ENSSCAG00000009721
taeniopygia_guttata ENSTGUG00000013381
taeniopygia_guttata ENSTGUG00000013998
lonchura_striata_domestica ENSLSDG00000006356
parus_major ENSPMJG00000010605
cyanistes_caeruleus ENSCCEG00000015184
ficedula_albicollis ENSFALG00000005370
manacus_vitellinus ENSMVIG00005011780
lepidothrix_coronata ENSLCOG00000001479
melopsittacus_undulatus ENSMUNG00000003347
calidris_pygmaea ENSCPGG00000008769
calidris_pugnax ENSCPUG00000006537
anser_brachyrhynchus ENSABRG00000010269
anas_platyrhynchos_platyrhynchos ENSAPLG00000011017
gallus_gallus ENSGALG00000050404
gallus_gallus ENSGALG00000014980
