gadus_morhua ENSGMOG00000012698
seriola_lalandi_dorsalis ENSSLDG00000016831
paramormyrops_kingsleyae ENSPKIG00000002276
cavia_aperea ENSCAPG00000006252
rattus_norvegicus ENSRNOG00000046521
vicugna_pacos ENSVPAG00000002311
ursus_americanus ENSUAMG00000002404
sorex_araneus ENSSARG00000004418
echinops_telfairi ENSETEG00000008257
procavia_capensis ENSPCAG00000000424
choloepus_hoffmanni ENSCHOG00000004585
ictidomys_tridecemlineatus ENSSTOG00000032020
cricetulus_griseus_crigri_1.0 ENSCGRG00000015595
dipodomys_ordii ENSDORG00000024839
chinchilla_lanigera ENSCLAG00000009343
octodon_degus ENSODEG00000006320
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002182
fukomys_damarensis ENSFDAG00000007593
cavia_porcellus ENSCPOG00000035132
ornithorhynchus_anatinus ENSOANG00000010038
