oreochromis_niloticus ENSONIG00000019061
neolamprologus_brichardi ENSNBRG00000002340
astatotilapia_calliptera ENSACLG00000018157
maylandia_zebra ENSMZEG00005028533
maylandia_zebra ENSMZEG00005025991
amphilophus_citrinellus ENSACIG00000021200
amphiprion_ocellaris ENSAOCG00000015355
amphiprion_percula ENSAPEG00000011325
acanthochromis_polyacanthus ENSAPOG00000021973
stegastes_partitus ENSSPAG00000009863
seriola_dumerili ENSSDUG00000014995
seriola_lalandi_dorsalis ENSSLDG00000017021
mastacembelus_armatus ENSMAMG00000009801
paramormyrops_kingsleyae ENSPKIG00000006010
scleropages_formosus ENSSFOG00015012708
taeniopygia_guttata ENSTGUG00000016021
calidris_pugnax ENSCPUG00000013494
gopherus_agassizii ENSGAGG00000013876
phascolarctos_cinereus ENSPCIG00000016784
notamacropus_eugenii ENSMEUG00000013423
sarcophilus_harrisii ENSSHAG00000018767
monodelphis_domestica ENSMODG00000006738
pteropus_vampyrus ENSPVAG00000012070
myotis_lucifugus ENSMLUG00000004297
ursus_maritimus ENSUMAG00000001139
ursus_americanus ENSUAMG00000016213
ailuropoda_melanoleuca ENSAMEG00000014261
neovison_vison ENSNVIG00000020602
mustela_putorius_furo ENSMPUG00000017232
canis_lupus_dingo ENSCAFG00020000625
canis_lupus_familiaris ENSCAFG00000007302
vulpes_vulpes ENSVVUG00000021474
panthera_pardus ENSPPRG00000019676
panthera_tigris_altaica ENSPTIG00000013504
felis_catus ENSFCAG00000014953
equus_asinus_asinus ENSEASG00005011073
equus_caballus ENSECAG00000012810
capra_hircus ENSCHIG00000021316
ovis_aries ENSOARG00000016303
bos_mutus ENSBMUG00000024100
bos_taurus ENSBTAG00000009279
bison_bison_bison ENSBBBG00000016133
tursiops_truncatus ENSTTRG00000006222
vicugna_pacos ENSVPAG00000010887
sus_scrofa ENSSSCG00000010465
sorex_araneus ENSSARG00000001847
erinaceus_europaeus ENSEEUG00000005974
pan_troglodytes ENSPTRG00000002749
pan_paniscus ENSPPAG00000040339
homo_sapiens ENSG00000107854
gorilla_gorilla ENSGGOG00000009781
nomascus_leucogenys ENSNLEG00000012457
macaca_fascicularis ENSMFAG00000001030
macaca_nemestrina ENSMNEG00000036136
macaca_mulatta ENSMMUG00000007478
mandrillus_leucophaeus ENSMLEG00000038022
theropithecus_gelada ENSTGEG00000008234
papio_anubis ENSPANG00000021618
cercocebus_atys ENSCATG00000035054
chlorocebus_sabaeus ENSCSAG00000006602
piliocolobus_tephrosceles ENSPTEG00000036463
colobus_angolensis_palliatus ENSCANG00000036484
rhinopithecus_roxellana ENSRROG00000036681
rhinopithecus_bieti ENSRBIG00000003573
saimiri_boliviensis_boliviensis ENSSBOG00000022355
cebus_capucinus_imitator ENSCCAG00000027247
callithrix_jacchus ENSCJAG00000008230
aotus_nancymaae ENSANAG00000037727
carlito_syrichta ENSTSYG00000009856
prolemur_simus ENSPSMG00000012929
propithecus_coquereli ENSPCOG00000024373
microcebus_murinus ENSMICG00000014154
otolemur_garnettii ENSOGAG00000001988
tupaia_belangeri ENSTBEG00000015297
castor_canadensis ENSCCNG00000022631
dipodomys_ordii ENSDORG00000015121
mus_spicilegus ENSMSIG00000023604
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023826
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024811
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022907
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014402
rattus_norvegicus ENSRNOG00000052664
rattus_norvegicus ENSRNOG00000059776
meriones_unguiculatus ENSMUGG00000011858
cricetulus_griseus_crigri-picr ENSCGRG00015019776
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008529
cricetulus_griseus_crigri_1.0 ENSCGRG00000002702
mesocricetus_auratus ENSMAUG00000002675
peromyscus_maniculatus_bairdii ENSPEMG00000002166
microtus_ochrogaster ENSMOCG00000014956
nannospalax_galili ENSNGAG00000018372
jaculus_jaculus ENSJJAG00000024121
urocitellus_parryii ENSUPAG00010011590
ictidomys_tridecemlineatus ENSSTOG00000002349
spermophilus_dauricus ENSSDAG00000012682
marmota_marmota_marmota ENSMMMG00000012490
chinchilla_lanigera ENSCLAG00000013558
octodon_degus ENSODEG00000004816
cavia_porcellus ENSCPOG00000002254
cavia_aperea ENSCAPG00000013060
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018423
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003237
fukomys_damarensis ENSFDAG00000006471
oryctolagus_cuniculus ENSOCUG00000012010
ochotona_princeps ENSOPRG00000014648
procavia_capensis ENSPCAG00000012924
loxodonta_africana ENSLAFG00000018705
echinops_telfairi ENSETEG00000006736
choloepus_hoffmanni ENSCHOG00000005660
dasypus_novemcinctus ENSDNOG00000017651
chelonoidis_abingdonii ENSCABG00000011712
gopherus_agassizii ENSGAGG00000018575
chrysemys_picta_bellii ENSCPBG00000026533
pelodiscus_sinensis ENSPSIG00000016490
anser_brachyrhynchus ENSABRG00000011742
anas_platyrhynchos_platyrhynchos ENSAPLG00000011056
gallus_gallus ENSGALG00000014614
coturnix_japonica ENSCJPG00005018977
meleagris_gallopavo ENSMGAG00000008555
numida_meleagris ENSNMEG00000015847
calidris_pygmaea ENSCPGG00000017478
dromaius_novaehollandiae ENSDNVG00000005451
nothoprocta_perdicaria ENSNPEG00000013612
lepidothrix_coronata ENSLCOG00000005951
melopsittacus_undulatus ENSMUNG00000006603
ficedula_albicollis ENSFALG00000007782
serinus_canaria ENSSCAG00000016994
zonotrichia_albicollis ENSZALG00000012858
cyanistes_caeruleus ENSCCEG00000017758
apteryx_haastii ENSAHAG00000001134
apteryx_rowi ENSARWG00000015598
apteryx_owenii ENSAOWG00000005143
manacus_vitellinus ENSMVIG00005017378
crocodylus_porosus ENSCPRG00005017332
lonchura_striata_domestica ENSLSDG00000016853
taeniopygia_guttata ENSTGUG00000008510
parus_major ENSPMJG00000000697
junco_hyemalis ENSJHYG00000018163
calidris_pugnax ENSCPUG00000013495
pogona_vitticeps ENSPVIG00000015494
anolis_carolinensis ENSACAG00000007762
notechis_scutatus ENSNSUG00000013068
salvator_merianae ENSSMRG00000013428
sphenodon_punctatus ENSSPUG00000000832
ornithorhynchus_anatinus ENSOANG00000000256
xenopus_tropicalis ENSXETG00000031037
gopherus_agassizii ENSGAGG00000013874
xenopus_tropicalis ENSXETG00000020983
latimeria_chalumnae ENSLACG00000002950
lepisosteus_oculatus ENSLOCG00000005988
pygocentrus_nattereri ENSPNAG00000002397
astyanax_mexicanus ENSAMXG00000004975
ictalurus_punctatus ENSIPUG00000011046
ictalurus_punctatus ENSIPUG00000014324
esox_lucius ENSELUG00000003897
pundamilia_nyererei ENSPNYG00000023992
ciona_intestinalis ENSCING00000002112
