meriones_unguiculatus ENSMUGG00000002776
mus_spicilegus ENSMSIG00000008160
cricetulus_griseus_crigri-picr ENSCGRG00015000437
eptatretus_burgeri ENSEBUG00000009816
eptatretus_burgeri ENSEBUG00000010701
drosophila_melanogaster FBgn0039083
seriola_lalandi_dorsalis ENSSLDG00000009685
cyprinodon_variegatus ENSCVAG00000009245
astyanax_mexicanus ENSAMXG00000030538
xiphophorus_couchianus ENSXCOG00000017312
gambusia_affinis ENSGAFG00000001043
poecilia_latipinna ENSPLAG00000020116
fundulus_heteroclitus ENSFHEG00000017000
cyprinodon_variegatus ENSCVAG00000002616
oryzias_melastigma ENSOMEG00000019146
takifugu_rubripes ENSTRUG00000017122
gadus_morhua ENSGMOG00000002385
aotus_nancymaae ENSANAG00000036287
tupaia_belangeri ENSTBEG00000002472
bos_mutus ENSBMUG00000023427
eptatretus_burgeri ENSEBUG00000003212
ciona_savignyi ENSCSAVG00000000675
ciona_intestinalis ENSCING00000007950
caenorhabditis_elegans_strain_n2 WBGene00017083
