mola_mola ENSMMOG00000012190
takifugu_rubripes ENSTRUG00000010683
cynoglossus_semilaevis ENSCSEG00000013661
mastacembelus_armatus ENSMAMG00000004711
monopterus_albus ENSMALG00000003014
anabas_testudineus ENSATEG00000019387
seriola_dumerili ENSSDUG00000018430
seriola_lalandi_dorsalis ENSSLDG00000017193
scophthalmus_maximus ENSSMAG00000013647
kryptolebias_marmoratus ENSKMAG00000017483
kryptolebias_marmoratus ENSKMAG00000017474
oryzias_latipes_asm223471v1 ENSORLG00020012480
oryzias_latipes_asm223469v1 ENSORLG00015013709
oryzias_latipes_asm223467v1 ENSORLG00000011596
oryzias_melastigma ENSOMEG00000000127
amphiprion_percula ENSAPEG00000017299
amphiprion_ocellaris ENSAOCG00000007996
acanthochromis_polyacanthus ENSAPOG00000002968
stegastes_partitus ENSSPAG00000008055
amphilophus_citrinellus ENSACIG00000021321
amphilophus_citrinellus ENSACIG00000021299
maylandia_zebra ENSMZEG00005007430
maylandia_zebra ENSMZEG00005028538
astatotilapia_calliptera ENSACLG00000010631
pundamilia_nyererei ENSPNYG00000018552
haplochromis_burtoni ENSHBUG00000009030
oreochromis_niloticus ENSONIG00000018379
maylandia_zebra ENSMZEG00005007400
astatotilapia_calliptera ENSACLG00000010613
maylandia_zebra ENSMZEG00005028536
neolamprologus_brichardi ENSNBRG00000012400
neolamprologus_brichardi ENSNBRG00000000210
oreochromis_niloticus ENSONIG00000018382
xiphophorus_couchianus ENSXCOG00000006007
xiphophorus_couchianus ENSXCOG00000005999
xiphophorus_maculatus ENSXMAG00000019664
xiphophorus_maculatus ENSXMAG00000029131
gambusia_affinis ENSGAFG00000001928
poecilia_reticulata ENSPREG00000002131
poecilia_reticulata ENSPREG00000002144
poecilia_latipinna ENSPLAG00000006117
poecilia_mexicana ENSPMEG00000024266
poecilia_formosa ENSPFOG00000020762
poecilia_formosa ENSPFOG00000006839
poecilia_latipinna ENSPLAG00000006085
poecilia_mexicana ENSPMEG00000024262
fundulus_heteroclitus ENSFHEG00000000753
fundulus_heteroclitus ENSFHEG00000023116
cyprinodon_variegatus ENSCVAG00000000244
gasterosteus_aculeatus ENSGACG00000019982
labrus_bergylta ENSLBEG00000001049
hippocampus_comes ENSHCOG00000010359
periophthalmus_magnuspinnatus ENSPMGG00000005449
gadus_morhua ENSGMOG00000004055
esox_lucius ENSELUG00000022162
pygocentrus_nattereri ENSPNAG00000013044
astyanax_mexicanus ENSAMXG00000025791
danio_rerio ENSDARG00000091111
paramormyrops_kingsleyae ENSPKIG00000025284
lepisosteus_oculatus ENSLOCG00000006570
anolis_carolinensis ENSACAG00000010619
pogona_vitticeps ENSPVIG00000002931
notechis_scutatus ENSNSUG00000003918
salvator_merianae ENSSMRG00000014694
sphenodon_punctatus ENSSPUG00000017335
meleagris_gallopavo ENSMGAG00000015729
gallus_gallus ENSGALG00000012076
numida_meleagris ENSNMEG00000005942
lonchura_striata_domestica ENSLSDG00000012156
taeniopygia_guttata ENSTGUG00000001799
junco_hyemalis ENSJHYG00000001749
ficedula_albicollis ENSFALG00000014886
parus_major ENSPMJG00000005719
calidris_pygmaea ENSCPGG00000002077
calidris_pugnax ENSCPUG00000015535
cyanistes_caeruleus ENSCCEG00000023661
serinus_canaria ENSSCAG00000009066
zonotrichia_albicollis ENSZALG00000004502
lepidothrix_coronata ENSLCOG00000002043
manacus_vitellinus ENSMVIG00005013235
anser_brachyrhynchus ENSABRG00000017944
anas_platyrhynchos_platyrhynchos ENSAPLG00000025691
coturnix_japonica ENSCJPG00005006794
apteryx_owenii ENSAOWG00000005216
apteryx_haastii ENSAHAG00000009758
apteryx_rowi ENSARWG00000004623
dromaius_novaehollandiae ENSDNVG00000008875
nothoprocta_perdicaria ENSNPEG00000001830
crocodylus_porosus ENSCPRG00005005271
chelonoidis_abingdonii ENSCABG00000004059
gopherus_agassizii ENSGAGG00000024498
chrysemys_picta_bellii ENSCPBG00000004778
pelodiscus_sinensis ENSPSIG00000002422
bos_taurus ENSBTAG00000049422
bos_mutus ENSBMUG00000021376
bison_bison_bison ENSBBBG00000008085
capra_hircus ENSCHIG00000011120
ovis_aries ENSOARG00000000306
tursiops_truncatus ENSTTRG00000008668
vicugna_pacos ENSVPAG00000010487
sus_scrofa ENSSSCG00000009129
equus_caballus ENSECAG00000004523
equus_asinus_asinus ENSEASG00005005577
tupaia_belangeri ENSTBEG00000007285
neovison_vison ENSNVIG00000014223
mustela_putorius_furo ENSMPUG00000019182
ailuropoda_melanoleuca ENSAMEG00000018870
panthera_pardus ENSPPRG00000022174
panthera_tigris_altaica ENSPTIG00000005704
felis_catus ENSFCAG00000042762
pteropus_vampyrus ENSPVAG00000012096
castor_canadensis ENSCCNG00000021616
dipodomys_ordii ENSDORG00000028757
fukomys_damarensis ENSFDAG00000015498
cavia_porcellus ENSCPOG00000036501
chinchilla_lanigera ENSCLAG00000005429
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002217
cricetulus_griseus_crigri_1.0 ENSCGRG00000013762
cricetulus_griseus_crigri-picr ENSCGRG00015004464
mesocricetus_auratus ENSMAUG00000007473
microtus_ochrogaster ENSMOCG00000004620
peromyscus_maniculatus_bairdii ENSPEMG00000024630
mus_spicilegus ENSMSIG00000028200
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046688
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026571
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025618
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027065
rattus_norvegicus ENSRNOG00000010941
meriones_unguiculatus ENSMUGG00000009127
nannospalax_galili ENSNGAG00000012682
jaculus_jaculus ENSJJAG00000014646
ictidomys_tridecemlineatus ENSSTOG00000024540
urocitellus_parryii ENSUPAG00010014430
spermophilus_dauricus ENSSDAG00000014160
marmota_marmota_marmota ENSMMMG00000011166
oryctolagus_cuniculus ENSOCUG00000017578
ochotona_princeps ENSOPRG00000000584
colobus_angolensis_palliatus ENSCANG00000010657
piliocolobus_tephrosceles ENSPTEG00000031695
rhinopithecus_bieti ENSRBIG00000009977
rhinopithecus_roxellana ENSRROG00000026480
macaca_mulatta ENSMMUG00000015589
macaca_fascicularis ENSMFAG00000029908
macaca_nemestrina ENSMNEG00000018769
theropithecus_gelada ENSTGEG00000003563
papio_anubis ENSPANG00000020833
mandrillus_leucophaeus ENSMLEG00000025995
cercocebus_atys ENSCATG00000003075
chlorocebus_sabaeus ENSCSAG00000000401
pan_troglodytes ENSPTRG00000052432
gorilla_gorilla ENSGGOG00000041642
homo_sapiens ENSG00000145365
pongo_abelii ENSPPYG00000015006
nomascus_leucogenys ENSNLEG00000027987
otolemur_garnettii ENSOGAG00000001633
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003350
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002659
prolemur_simus ENSPSMG00000025487
pan_paniscus ENSPPAG00000002777
canis_lupus_familiaris ENSCAFG00000011654
canis_lupus_dingo ENSCAFG00020017192
vulpes_vulpes ENSVVUG00000002050
ursus_maritimus ENSUMAG00000002179
ursus_americanus ENSUAMG00000027729
dasypus_novemcinctus ENSDNOG00000024369
choloepus_hoffmanni ENSCHOG00000004187
sorex_araneus ENSSARG00000000427
myotis_lucifugus ENSMLUG00000015160
procavia_capensis ENSPCAG00000002372
loxodonta_africana ENSLAFG00000009392
monodelphis_domestica ENSMODG00000025111
monodelphis_domestica ENSMODG00000025121
phascolarctos_cinereus ENSPCIG00000030083
ornithorhynchus_anatinus ENSOANG00000009301
xenopus_tropicalis ENSXETG00000024109
latimeria_chalumnae ENSLACG00000007093
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019460
mus_spicilegus ENSMSIG00000019578
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049625
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018580
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019645
rattus_norvegicus ENSRNOG00000011947
meriones_unguiculatus ENSMUGG00000008189
peromyscus_maniculatus_bairdii ENSPEMG00000028902
microtus_ochrogaster ENSMOCG00000006896
cricetulus_griseus_crigri_1.0 ENSCGRG00000019119
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007136
cricetulus_griseus_crigri-picr ENSCGRG00015016633
mesocricetus_auratus ENSMAUG00000019732
nannospalax_galili ENSNGAG00000014665
castor_canadensis ENSCCNG00000000446
urocitellus_parryii ENSUPAG00010014344
spermophilus_dauricus ENSSDAG00000001642
marmota_marmota_marmota ENSMMMG00000005944
fukomys_damarensis ENSFDAG00000011765
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005672
oryctolagus_cuniculus ENSOCUG00000026204
prolemur_simus ENSPSMG00000000078
otolemur_garnettii ENSOGAG00000031815
pan_troglodytes ENSPTRG00000044313
pan_paniscus ENSPPAG00000003264
homo_sapiens ENSG00000255833
gorilla_gorilla ENSGGOG00000041837
pongo_abelii ENSPPYG00000015800
nomascus_leucogenys ENSNLEG00000035195
cercocebus_atys ENSCATG00000022723
macaca_mulatta ENSMMUG00000004769
mandrillus_leucophaeus ENSMLEG00000025249
theropithecus_gelada ENSTGEG00000021353
papio_anubis ENSPANG00000014817
chlorocebus_sabaeus ENSCSAG00000013385
colobus_angolensis_palliatus ENSCANG00000038160
piliocolobus_tephrosceles ENSPTEG00000034254
aotus_nancymaae ENSANAG00000018334
callithrix_jacchus ENSCJAG00000043900
ursus_americanus ENSUAMG00000013601
ursus_maritimus ENSUMAG00000017323
canis_lupus_familiaris ENSCAFG00000001081
canis_lupus_dingo ENSCAFG00020007186
vulpes_vulpes ENSVVUG00000017484
mustela_putorius_furo ENSMPUG00000010009
neovison_vison ENSNVIG00000016122
panthera_tigris_altaica ENSPTIG00000000566
panthera_pardus ENSPPRG00000017477
felis_catus ENSFCAG00000040992
ovis_aries ENSOARG00000017710
ovis_aries ENSOARG00000002930
capra_hircus ENSCHIG00000007979
bos_mutus ENSBMUG00000001270
bos_taurus ENSBTAG00000017648
bison_bison_bison ENSBBBG00000005270
tursiops_truncatus ENSTTRG00000006116
sus_scrofa ENSSSCG00000038110
myotis_lucifugus ENSMLUG00000029584
pteropus_vampyrus ENSPVAG00000013881
equus_caballus ENSECAG00000005282
equus_asinus_asinus ENSEASG00005020490
dasypus_novemcinctus ENSDNOG00000041880
monodelphis_domestica ENSMODG00000023885
phascolarctos_cinereus ENSPCIG00000015898
ornithorhynchus_anatinus ENSOANG00000013485
latimeria_chalumnae ENSLACG00000011698
petromyzon_marinus ENSPMAG00000001192
