poecilia_latipinna ENSPLAG00000018769
poecilia_reticulata ENSPREG00000009620
gambusia_affinis ENSGAFG00000021410
xiphophorus_maculatus ENSXMAG00000025254
fundulus_heteroclitus ENSFHEG00000013434
oryzias_latipes_asm223469v1 ENSORLG00015009472
scophthalmus_maximus ENSSMAG00000020002
mastacembelus_armatus ENSMAMG00000014908
maylandia_zebra ENSMZEG00005025084
astatotilapia_calliptera ENSACLG00000020015
pundamilia_nyererei ENSPNYG00000014528
haplochromis_burtoni ENSHBUG00000006650
neolamprologus_brichardi ENSNBRG00000012297
amphilophus_citrinellus ENSACIG00000017990
cynoglossus_semilaevis ENSCSEG00000010883
amphiprion_ocellaris ENSAOCG00000004967
monopterus_albus ENSMALG00000020748
seriola_lalandi_dorsalis ENSSLDG00000012004
mola_mola ENSMMOG00000016774
periophthalmus_magnuspinnatus ENSPMGG00000018037
