apteryx_owenii ENSAOWG00000009416
apteryx_haastii ENSAHAG00000018987
apteryx_rowi ENSARWG00000017497
dromaius_novaehollandiae ENSDNVG00000012357
nothoprocta_perdicaria ENSNPEG00000007783
calidris_pygmaea ENSCPGG00000018897
calidris_pugnax ENSCPUG00000010977
lepidothrix_coronata ENSLCOG00000007875
manacus_vitellinus ENSMVIG00005017154
serinus_canaria ENSSCAG00000015624
lonchura_striata_domestica ENSLSDG00000005313
junco_hyemalis ENSJHYG00000016905
ficedula_albicollis ENSFALG00000000510
cyanistes_caeruleus ENSCCEG00000004094
parus_major ENSPMJG00000017556
melopsittacus_undulatus ENSMUNG00000008356
anser_brachyrhynchus ENSABRG00000008792
anas_platyrhynchos_platyrhynchos ENSAPLG00000011137
gallus_gallus ENSGALG00000001343
coturnix_japonica ENSCJPG00005016649
meleagris_gallopavo ENSMGAG00000004366
numida_meleagris ENSNMEG00000012610
crocodylus_porosus ENSCPRG00005000089
gopherus_agassizii ENSGAGG00000004423
chelonoidis_abingdonii ENSCABG00000008829
chrysemys_picta_bellii ENSCPBG00000021286
pelodiscus_sinensis ENSPSIG00000003526
pogona_vitticeps ENSPVIG00000002512
anolis_carolinensis ENSACAG00000005756
notechis_scutatus ENSNSUG00000013955
salvator_merianae ENSSMRG00000004487
ornithorhynchus_anatinus ENSOANG00000013763
ornithorhynchus_anatinus ENSOANG00000032239
pan_paniscus ENSPPAG00000028478
pan_troglodytes ENSPTRG00000023820
homo_sapiens ENSG00000196878
gorilla_gorilla ENSGGOG00000008432
pongo_abelii ENSPPYG00000000258
nomascus_leucogenys ENSNLEG00000001675
papio_anubis ENSPANG00000024004
theropithecus_gelada ENSTGEG00000010034
mandrillus_leucophaeus ENSMLEG00000035750
cercocebus_atys ENSCATG00000045273
macaca_mulatta ENSMMUG00000016925
macaca_nemestrina ENSMNEG00000003186
macaca_fascicularis ENSMFAG00000002990
chlorocebus_sabaeus ENSCSAG00000015244
piliocolobus_tephrosceles ENSPTEG00000036444
colobus_angolensis_palliatus ENSCANG00000032029
rhinopithecus_bieti ENSRBIG00000038657
rhinopithecus_roxellana ENSRROG00000042093
saimiri_boliviensis_boliviensis ENSSBOG00000031511
cebus_capucinus_imitator ENSCCAG00000023514
callithrix_jacchus ENSCJAG00000014913
aotus_nancymaae ENSANAG00000026405
carlito_syrichta ENSTSYG00000033046
prolemur_simus ENSPSMG00000015387
microcebus_murinus ENSMICG00000001196
propithecus_coquereli ENSPCOG00000016013
otolemur_garnettii ENSOGAG00000032977
chinchilla_lanigera ENSCLAG00000002447
octodon_degus ENSODEG00000007400
cavia_porcellus ENSCPOG00000004205
cavia_aperea ENSCAPG00000012759
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004606
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013315
fukomys_damarensis ENSFDAG00000008752
ictidomys_tridecemlineatus ENSSTOG00000023256
spermophilus_dauricus ENSSDAG00000005589
urocitellus_parryii ENSUPAG00010016498
marmota_marmota_marmota ENSMMMG00000001176
castor_canadensis ENSCCNG00000000327
dipodomys_ordii ENSDORG00000003991
mus_spicilegus ENSMSIG00000024216
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015868
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026639
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015068
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028300
rattus_norvegicus ENSRNOG00000006025
meriones_unguiculatus ENSMUGG00000017036
cricetulus_griseus_crigri_1.0 ENSCGRG00000016698
cricetulus_griseus_crigri-picr ENSCGRG00015017170
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012912
mesocricetus_auratus ENSMAUG00000011370
microtus_ochrogaster ENSMOCG00000016300
peromyscus_maniculatus_bairdii ENSPEMG00000017689
nannospalax_galili ENSNGAG00000002418
jaculus_jaculus ENSJJAG00000019254
oryctolagus_cuniculus ENSOCUG00000004013
ochotona_princeps ENSOPRG00000014212
tupaia_belangeri ENSTBEG00000015324
pteropus_vampyrus ENSPVAG00000013216
myotis_lucifugus ENSMLUG00000004488
ursus_americanus ENSUAMG00000016536
ursus_maritimus ENSUMAG00000021349
ailuropoda_melanoleuca ENSAMEG00000018004
neovison_vison ENSNVIG00000016777
mustela_putorius_furo ENSMPUG00000002986
canis_lupus_familiaris ENSCAFG00000011913
canis_lupus_dingo ENSCAFG00020013199
vulpes_vulpes ENSVVUG00000009414
panthera_pardus ENSPPRG00000010426
panthera_tigris_altaica ENSPTIG00000012672
felis_catus ENSFCAG00000015132
capra_hircus ENSCHIG00000000495
ovis_aries ENSOARG00000013143
bos_mutus ENSBMUG00000006762
bos_taurus ENSBTAG00000016542
bison_bison_bison ENSBBBG00000013844
sus_scrofa ENSSSCG00000015618
tursiops_truncatus ENSTTRG00000017004
equus_asinus_asinus ENSEASG00005002659
equus_caballus ENSECAG00000008204
choloepus_hoffmanni ENSCHOG00000006927
dasypus_novemcinctus ENSDNOG00000004438
loxodonta_africana ENSLAFG00000005222
procavia_capensis ENSPCAG00000001680
echinops_telfairi ENSETEG00000009807
sorex_araneus ENSSARG00000013872
phascolarctos_cinereus ENSPCIG00000028251
notamacropus_eugenii ENSMEUG00000012917
sarcophilus_harrisii ENSSHAG00000010013
monodelphis_domestica ENSMODG00000002485
ornithorhynchus_anatinus ENSOANG00000007225
xenopus_tropicalis ENSXETG00000008940
latimeria_chalumnae ENSLACG00000018625
lepisosteus_oculatus ENSLOCG00000011344
scleropages_formosus ENSSFOG00015020085
pundamilia_nyererei ENSPNYG00000011357
