parus_major ENSPMJG00000009639
cyanistes_caeruleus ENSCCEG00000011788
lonchura_striata_domestica ENSLSDG00000008059
junco_hyemalis ENSJHYG00000003133
zonotrichia_albicollis ENSZALG00000005639
serinus_canaria ENSSCAG00000013993
taeniopygia_guttata ENSTGUG00000003525
ficedula_albicollis ENSFALG00000008064
gallus_gallus ENSGALG00000046550
numida_meleagris ENSNMEG00000007602
anas_platyrhynchos_platyrhynchos ENSAPLG00000003502
coturnix_japonica ENSCJPG00005006978
calidris_pygmaea ENSCPGG00000003628
lepidothrix_coronata ENSLCOG00000001915
manacus_vitellinus ENSMVIG00005000418
calidris_pugnax ENSCPUG00000017061
dromaius_novaehollandiae ENSDNVG00000007814
chrysemys_picta_bellii ENSCPBG00000016383
gopherus_agassizii ENSGAGG00000000331
pelodiscus_sinensis ENSPSIG00000004271
anolis_carolinensis ENSACAG00000029143
pogona_vitticeps ENSPVIG00000006481
salvator_merianae ENSSMRG00000013029
phascolarctos_cinereus ENSPCIG00000006426
monodelphis_domestica ENSMODG00000027935
sarcophilus_harrisii ENSSHAG00000005446
pteropus_vampyrus ENSPVAG00000010272
myotis_lucifugus ENSMLUG00000013368
equus_asinus_asinus ENSEASG00005018513
mustela_putorius_furo ENSMPUG00000009482
neovison_vison ENSNVIG00000004569
ursus_maritimus ENSUMAG00000005155
canis_lupus_dingo ENSCAFG00020003208
canis_lupus_familiaris ENSCAFG00000032716
vulpes_vulpes ENSVVUG00000009077
felis_catus ENSFCAG00000003438
panthera_pardus ENSPPRG00000015419
panthera_tigris_altaica ENSPTIG00000012336
bos_mutus ENSBMUG00000015267
bos_taurus ENSBTAG00000034206
bison_bison_bison ENSBBBG00000022650
capra_hircus ENSCHIG00000005156
ovis_aries ENSOARG00000013694
vicugna_pacos ENSVPAG00000011323
tursiops_truncatus ENSTTRG00000004124
sorex_araneus ENSSARG00000004906
peromyscus_maniculatus_bairdii ENSPEMG00000020902
microtus_ochrogaster ENSMOCG00000019233
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054690
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025665
mus_spicilegus ENSMSIG00000024994
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026620
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027114
rattus_norvegicus ENSRNOG00000022910
cricetulus_griseus_crigri_1.0 ENSCGRG00000002067
cricetulus_griseus_crigri-picr ENSCGRG00015008410
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020585
mesocricetus_auratus ENSMAUG00000010683
meriones_unguiculatus ENSMUGG00000007809
nannospalax_galili ENSNGAG00000003557
castor_canadensis ENSCCNG00000011740
spermophilus_dauricus ENSSDAG00000011891
marmota_marmota_marmota ENSMMMG00000008393
ictidomys_tridecemlineatus ENSSTOG00000034020
urocitellus_parryii ENSUPAG00010012658
chinchilla_lanigera ENSCLAG00000002576
cavia_porcellus ENSCPOG00000030941
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003800
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015305
oryctolagus_cuniculus ENSOCUG00000007231
ochotona_princeps ENSOPRG00000006201
pan_troglodytes ENSPTRG00000016314
pan_paniscus ENSPPAG00000030783
homo_sapiens ENSG00000164035
gorilla_gorilla ENSGGOG00000003574
pongo_abelii ENSPPYG00000014959
nomascus_leucogenys ENSNLEG00000013608
macaca_fascicularis ENSMFAG00000044968
macaca_mulatta ENSMMUG00000038085
macaca_nemestrina ENSMNEG00000033602
theropithecus_gelada ENSTGEG00000026290
papio_anubis ENSPANG00000007741
mandrillus_leucophaeus ENSMLEG00000032961
cercocebus_atys ENSCATG00000036310
chlorocebus_sabaeus ENSCSAG00000004079
rhinopithecus_roxellana ENSRROG00000014350
rhinopithecus_bieti ENSRBIG00000010013
colobus_angolensis_palliatus ENSCANG00000042234
saimiri_boliviensis_boliviensis ENSSBOG00000035450
cebus_capucinus_imitator ENSCCAG00000025720
callithrix_jacchus ENSCJAG00000015247
aotus_nancymaae ENSANAG00000037590
tupaia_belangeri ENSTBEG00000008774
prolemur_simus ENSPSMG00000019004
microcebus_murinus ENSMICG00000028542
carlito_syrichta ENSTSYG00000003018
propithecus_coquereli ENSPCOG00000013559
sus_scrofa ENSSSCG00000038080
procavia_capensis ENSPCAG00000013208
ailuropoda_melanoleuca ENSAMEG00000008774
loxodonta_africana ENSLAFG00000030631
dipodomys_ordii ENSDORG00000001815
choloepus_hoffmanni ENSCHOG00000013921
ornithorhynchus_anatinus ENSOANG00000030416
