meleagris_gallopavo ENSMGAG00000015379
coturnix_japonica ENSCJPG00005005602
gallus_gallus ENSGALG00000005814
numida_meleagris ENSNMEG00000015252
anser_brachyrhynchus ENSABRG00000016365
anser_brachyrhynchus ENSABRG00000016353
anas_platyrhynchos_platyrhynchos ENSAPLG00000026542
anas_platyrhynchos_platyrhynchos ENSAPLG00000021881
melopsittacus_undulatus ENSMUNG00000005083
calidris_pygmaea ENSCPGG00000010671
calidris_pugnax ENSCPUG00000005528
parus_major ENSPMJG00000005184
serinus_canaria ENSSCAG00000016395
zonotrichia_albicollis ENSZALG00000008484
manacus_vitellinus ENSMVIG00005013746
manacus_vitellinus ENSMVIG00005013748
lepidothrix_coronata ENSLCOG00000013636
ficedula_albicollis ENSFALG00000009870
ficedula_albicollis ENSFALG00000014476
cyanistes_caeruleus ENSCCEG00000000740
parus_major ENSPMJG00000005183
junco_hyemalis ENSJHYG00000000582
zonotrichia_albicollis ENSZALG00000008483
gallus_gallus ENSGALG00000025921
coturnix_japonica ENSCJPG00005005601
calidris_pugnax ENSCPUG00000005526
lonchura_striata_domestica ENSLSDG00000013247
taeniopygia_guttata ENSTGUG00000017026
apteryx_haastii ENSAHAG00000017660
apteryx_owenii ENSAOWG00000012389
apteryx_rowi ENSARWG00000004815
apteryx_owenii ENSAOWG00000012396
apteryx_rowi ENSARWG00000004816
nothoprocta_perdicaria ENSNPEG00000004803
nothoprocta_perdicaria ENSNPEG00000004799
dromaius_novaehollandiae ENSDNVG00000003945
dromaius_novaehollandiae ENSDNVG00000003949
cricetulus_griseus_crigri-picr ENSCGRG00015004579
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005455
mesocricetus_auratus ENSMAUG00000020603
peromyscus_maniculatus_bairdii ENSPEMG00000027378
microtus_ochrogaster ENSMOCG00000002851
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046312
mus_spicilegus ENSMSIG00000005909
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026862
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025914
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024037
rattus_norvegicus ENSRNOG00000023208
nannospalax_galili ENSNGAG00000015242
jaculus_jaculus ENSJJAG00000006124
castor_canadensis ENSCCNG00000027346
dipodomys_ordii ENSDORG00000023391
spermophilus_dauricus ENSSDAG00000024515
ictidomys_tridecemlineatus ENSSTOG00000010111
urocitellus_parryii ENSUPAG00010007175
marmota_marmota_marmota ENSMMMG00000008464
chinchilla_lanigera ENSCLAG00000001689
octodon_degus ENSODEG00000020285
oryctolagus_cuniculus ENSOCUG00000004768
ochotona_princeps ENSOPRG00000009141
prolemur_simus ENSPSMG00000017044
bos_taurus ENSBTAG00000008376
bos_mutus ENSBMUG00000017758
bison_bison_bison ENSBBBG00000012024
capra_hircus ENSCHIG00000010015
tursiops_truncatus ENSTTRG00000010595
sus_scrofa ENSSSCG00000033196
ursus_maritimus ENSUMAG00000006098
ursus_americanus ENSUAMG00000005584
ailuropoda_melanoleuca ENSAMEG00000018499
mustela_putorius_furo ENSMPUG00000018499
neovison_vison ENSNVIG00000000257
canis_lupus_dingo ENSCAFG00020015953
canis_lupus_familiaris ENSCAFG00000031154
vulpes_vulpes ENSVVUG00000021012
panthera_tigris_altaica ENSPTIG00000005796
panthera_pardus ENSPPRG00000016934
felis_catus ENSFCAG00000011375
myotis_lucifugus ENSMLUG00000026230
pteropus_vampyrus ENSPVAG00000007996
sorex_araneus ENSSARG00000003068
equus_asinus_asinus ENSEASG00005004161
equus_caballus ENSECAG00000004776
pan_paniscus ENSPPAG00000021000
pan_troglodytes ENSPTRG00000020877
homo_sapiens ENSG00000164976
gorilla_gorilla ENSGGOG00000007706
pongo_abelii ENSPPYG00000019123
nomascus_leucogenys ENSNLEG00000004939
chlorocebus_sabaeus ENSCSAG00000000447
macaca_mulatta ENSMMUG00000039762
piliocolobus_tephrosceles ENSPTEG00000016501
rhinopithecus_bieti ENSRBIG00000003367
callithrix_jacchus ENSCJAG00000022715
saimiri_boliviensis_boliviensis ENSSBOG00000032469
cebus_capucinus_imitator ENSCCAG00000017948
aotus_nancymaae ENSANAG00000019296
otolemur_garnettii ENSOGAG00000034856
loxodonta_africana ENSLAFG00000015912
dasypus_novemcinctus ENSDNOG00000013043
sarcophilus_harrisii ENSSHAG00000000654
ornithorhynchus_anatinus ENSOANG00000006865
anolis_carolinensis ENSACAG00000005955
pogona_vitticeps ENSPVIG00000016922
notechis_scutatus ENSNSUG00000005389
salvator_merianae ENSSMRG00000020220
sphenodon_punctatus ENSSPUG00000008873
apteryx_haastii ENSAHAG00000017659
pelodiscus_sinensis ENSPSIG00000001902
pelodiscus_sinensis ENSPSIG00000012419
pelodiscus_sinensis ENSPSIG00000001245
chelonoidis_abingdonii ENSCABG00000002201
chelonoidis_abingdonii ENSCABG00000011101
chelonoidis_abingdonii ENSCABG00000002200
gopherus_agassizii ENSGAGG00000024922
gopherus_agassizii ENSGAGG00000024924
chrysemys_picta_bellii ENSCPBG00000005968
crocodylus_porosus ENSCPRG00005015163
crocodylus_porosus ENSCPRG00005015160
pogona_vitticeps ENSPVIG00000016921
anolis_carolinensis ENSACAG00000005959
notechis_scutatus ENSNSUG00000005390
salvator_merianae ENSSMRG00000020219
anabas_testudineus ENSATEG00000023733
monopterus_albus ENSMALG00000001607
amphiprion_percula ENSAPEG00000003012
amphiprion_ocellaris ENSAOCG00000003262
acanthochromis_polyacanthus ENSAPOG00000002986
stegastes_partitus ENSSPAG00000018908
seriola_dumerili ENSSDUG00000022657
seriola_lalandi_dorsalis ENSSLDG00000018568
scophthalmus_maximus ENSSMAG00000009296
labrus_bergylta ENSLBEG00000001013
gasterosteus_aculeatus ENSGACG00000008748
mola_mola ENSMMOG00000012279
cynoglossus_semilaevis ENSCSEG00000005907
takifugu_rubripes ENSTRUG00000015521
tetraodon_nigroviridis ENSTNIG00000010680
mastacembelus_armatus ENSMAMG00000018558
xiphophorus_maculatus ENSXMAG00000018190
xiphophorus_couchianus ENSXCOG00000017594
gambusia_affinis ENSGAFG00000021516
poecilia_mexicana ENSPMEG00000006820
poecilia_formosa ENSPFOG00000009048
poecilia_latipinna ENSPLAG00000000723
poecilia_reticulata ENSPREG00000021298
fundulus_heteroclitus ENSFHEG00000003437
cyprinodon_variegatus ENSCVAG00000017580
kryptolebias_marmoratus ENSKMAG00000019679
oryzias_latipes_asm223467v1 ENSORLG00000008931
oryzias_latipes_asm223469v1 ENSORLG00015004064
oryzias_latipes_asm223471v1 ENSORLG00020008409
oryzias_melastigma ENSOMEG00000002334
maylandia_zebra ENSMZEG00005026880
astatotilapia_calliptera ENSACLG00000011288
pundamilia_nyererei ENSPNYG00000004173
haplochromis_burtoni ENSHBUG00000021646
neolamprologus_brichardi ENSNBRG00000018174
oreochromis_niloticus ENSONIG00000019462
amphilophus_citrinellus ENSACIG00000018089
hippocampus_comes ENSHCOG00000012160
periophthalmus_magnuspinnatus ENSPMGG00000007071
gadus_morhua ENSGMOG00000017956
esox_lucius ENSELUG00000024046
pygocentrus_nattereri ENSPNAG00000025279
astyanax_mexicanus ENSAMXG00000029080
ictalurus_punctatus ENSIPUG00000010792
danio_rerio ENSDARG00000074894
scleropages_formosus ENSSFOG00015022539
paramormyrops_kingsleyae ENSPKIG00000017484
