amphiprion_percula ENSAPEG00000015907
amphiprion_ocellaris ENSAOCG00000007224
acanthochromis_polyacanthus ENSAPOG00000015028
astatotilapia_calliptera ENSACLG00000000052
neolamprologus_brichardi ENSNBRG00000016485
poecilia_reticulata ENSPREG00000016854
dasypus_novemcinctus ENSDNOG00000046327
scleropages_formosus ENSSFOG00015013900
lepisosteus_oculatus ENSLOCG00000009429
fundulus_heteroclitus ENSFHEG00000004275
ciona_intestinalis ENSCING00000000415
ciona_intestinalis ENSCING00000011908
ciona_intestinalis ENSCING00000022370
ciona_intestinalis ENSCING00000008611
