anas_platyrhynchos_platyrhynchos ENSAPLG00000003020
anser_brachyrhynchus ENSABRG00000021893
gallus_gallus ENSGALG00000005122
coturnix_japonica ENSCJPG00005007751
meleagris_gallopavo ENSMGAG00000006137
numida_meleagris ENSNMEG00000021292
calidris_pugnax ENSCPUG00000000054
apteryx_owenii ENSAOWG00000000579
apteryx_haastii ENSAHAG00000012602
apteryx_rowi ENSARWG00000007129
dromaius_novaehollandiae ENSDNVG00000006549
calidris_pugnax ENSCPUG00000000261
calidris_pugnax ENSCPUG00000000204
calidris_pugnax ENSCPUG00000000293
parus_major ENSPMJG00000013360
cyanistes_caeruleus ENSCCEG00000015552
ficedula_albicollis ENSFALG00000008743
lonchura_striata_domestica ENSLSDG00000012342
taeniopygia_guttata ENSTGUG00000007247
serinus_canaria ENSSCAG00000006330
zonotrichia_albicollis ENSZALG00000011214
manacus_vitellinus ENSMVIG00005015306
lepidothrix_coronata ENSLCOG00000012240
melopsittacus_undulatus ENSMUNG00000007638
nothoprocta_perdicaria ENSNPEG00000008673
calidris_pygmaea ENSCPGG00000010467
crocodylus_porosus ENSCPRG00005016606
chelonoidis_abingdonii ENSCABG00000000597
gopherus_agassizii ENSGAGG00000004521
chrysemys_picta_bellii ENSCPBG00000021522
pelodiscus_sinensis ENSPSIG00000005256
pogona_vitticeps ENSPVIG00000017932
notechis_scutatus ENSNSUG00000018027
anolis_carolinensis ENSACAG00000015326
salvator_merianae ENSSMRG00000020854
phascolarctos_cinereus ENSPCIG00000035201
notamacropus_eugenii ENSMEUG00000013446
sarcophilus_harrisii ENSSHAG00000011518
monodelphis_domestica ENSMODG00000004619
pan_troglodytes ENSPTRG00000005423
pan_paniscus ENSPPAG00000043049
homo_sapiens ENSG00000174527
gorilla_gorilla ENSGGOG00000008306
nomascus_leucogenys ENSNLEG00000001634
colobus_angolensis_palliatus ENSCANG00000042854
piliocolobus_tephrosceles ENSPTEG00000020830
rhinopithecus_roxellana ENSRROG00000041848
rhinopithecus_bieti ENSRBIG00000034585
papio_anubis ENSPANG00000005998
mandrillus_leucophaeus ENSMLEG00000032990
theropithecus_gelada ENSTGEG00000013419
mandrillus_leucophaeus ENSMLEG00000034743
macaca_nemestrina ENSMNEG00000043247
macaca_fascicularis ENSMFAG00000046050
macaca_mulatta ENSMMUG00000042728
cercocebus_atys ENSCATG00000038608
chlorocebus_sabaeus ENSCSAG00000002767
cebus_capucinus_imitator ENSCCAG00000025555
saimiri_boliviensis_boliviensis ENSSBOG00000025728
callithrix_jacchus ENSCJAG00000009995
aotus_nancymaae ENSANAG00000023535
carlito_syrichta ENSTSYG00000010713
propithecus_coquereli ENSPCOG00000006671
microcebus_murinus ENSMICG00000029989
prolemur_simus ENSPSMG00000003564
otolemur_garnettii ENSOGAG00000029542
castor_canadensis ENSCCNG00000014145
dipodomys_ordii ENSDORG00000012790
mus_spicilegus ENSMSIG00000008861
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000066952
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028591
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027593
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024175
rattus_norvegicus ENSRNOG00000047191
meriones_unguiculatus ENSMUGG00000026338
meriones_unguiculatus ENSMUGG00000026315
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000986
cricetulus_griseus_crigri-picr ENSCGRG00015023714
cricetulus_griseus_crigri_1.0 ENSCGRG00000016432
mesocricetus_auratus ENSMAUG00000014848
microtus_ochrogaster ENSMOCG00000022235
peromyscus_maniculatus_bairdii ENSPEMG00000013775
nannospalax_galili ENSNGAG00000007391
jaculus_jaculus ENSJJAG00000022892
urocitellus_parryii ENSUPAG00010022490
ictidomys_tridecemlineatus ENSSTOG00000024291
spermophilus_dauricus ENSSDAG00000016958
marmota_marmota_marmota ENSMMMG00000024346
cavia_porcellus ENSCPOG00000014664
cavia_aperea ENSCAPG00000008519
octodon_degus ENSODEG00000006763
chinchilla_lanigera ENSCLAG00000012356
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002561
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012667
fukomys_damarensis ENSFDAG00000003181
oryctolagus_cuniculus ENSOCUG00000002125
carlito_syrichta ENSTSYG00000030013
pteropus_vampyrus ENSPVAG00000006235
myotis_lucifugus ENSMLUG00000009466
equus_caballus ENSECAG00000004215
equus_asinus_asinus ENSEASG00005018368
ovis_aries ENSOARG00000015998
capra_hircus ENSCHIG00000022518
bison_bison_bison ENSBBBG00000011828
bos_mutus ENSBMUG00000022149
sus_scrofa ENSSSCG00000009935
tursiops_truncatus ENSTTRG00000006401
vicugna_pacos ENSVPAG00000011701
ailuropoda_melanoleuca ENSAMEG00000016558
ursus_americanus ENSUAMG00000009353
mustela_putorius_furo ENSMPUG00000003654
neovison_vison ENSNVIG00000018551
canis_lupus_familiaris ENSCAFG00000024173
canis_lupus_dingo ENSCAFG00020022031
vulpes_vulpes ENSVVUG00000004746
panthera_tigris_altaica ENSPTIG00000013274
panthera_pardus ENSPPRG00000000688
felis_catus ENSFCAG00000025595
ursus_maritimus ENSUMAG00000002568
choloepus_hoffmanni ENSCHOG00000007164
loxodonta_africana ENSLAFG00000012406
procavia_capensis ENSPCAG00000012164
ornithorhynchus_anatinus ENSOANG00000008811
ornithorhynchus_anatinus ENSOANG00000031326
xenopus_tropicalis ENSXETG00000018580
latimeria_chalumnae ENSLACG00000010226
fundulus_heteroclitus ENSFHEG00000013410
fundulus_heteroclitus ENSFHEG00000013455
cyprinodon_variegatus ENSCVAG00000003648
cyprinodon_variegatus ENSCVAG00000003669
xiphophorus_maculatus ENSXMAG00000007888
xiphophorus_couchianus ENSXCOG00000017028
gambusia_affinis ENSGAFG00000012499
poecilia_formosa ENSPFOG00000013123
poecilia_formosa ENSPFOG00000024380
poecilia_latipinna ENSPLAG00000004155
poecilia_mexicana ENSPMEG00000020307
poecilia_reticulata ENSPREG00000022494
kryptolebias_marmoratus ENSKMAG00000015612
oryzias_latipes_asm223467v1 ENSORLG00000027200
oryzias_latipes_asm223467v1 ENSORLG00000007579
oryzias_latipes_asm223471v1 ENSORLG00020014007
oryzias_latipes_asm223469v1 ENSORLG00015002603
oryzias_melastigma ENSOMEG00000002624
scophthalmus_maximus ENSSMAG00000013471
seriola_lalandi_dorsalis ENSSLDG00000006133
astatotilapia_calliptera ENSACLG00000000183
pundamilia_nyererei ENSPNYG00000016587
maylandia_zebra ENSMZEG00005016361
haplochromis_burtoni ENSHBUG00000007591
neolamprologus_brichardi ENSNBRG00000006888
oreochromis_niloticus ENSONIG00000013496
amphilophus_citrinellus ENSACIG00000017300
takifugu_rubripes ENSTRUG00000015306
tetraodon_nigroviridis ENSTNIG00000015893
monopterus_albus ENSMALG00000013294
cynoglossus_semilaevis ENSCSEG00000017775
periophthalmus_magnuspinnatus ENSPMGG00000018920
hippocampus_comes ENSHCOG00000008257
hippocampus_comes ENSHCOG00000008287
mola_mola ENSMMOG00000017768
amphiprion_ocellaris ENSAOCG00000002607
amphiprion_percula ENSAPEG00000022967
acanthochromis_polyacanthus ENSAPOG00000009369
stegastes_partitus ENSSPAG00000019359
labrus_bergylta ENSLBEG00000011933
gasterosteus_aculeatus ENSGACG00000009207
mastacembelus_armatus ENSMAMG00000015136
anabas_testudineus ENSATEG00000008139
seriola_dumerili ENSSDUG00000012879
seriola_lalandi_dorsalis ENSSLDG00000025312
gadus_morhua ENSGMOG00000012006
esox_lucius ENSELUG00000003132
pygocentrus_nattereri ENSPNAG00000016051
astyanax_mexicanus ENSAMXG00000006820
ictalurus_punctatus ENSIPUG00000002523
danio_rerio ENSDARG00000061968
paramormyrops_kingsleyae ENSPKIG00000025053
scleropages_formosus ENSSFOG00015003385
amphiprion_percula ENSAPEG00000011278
amphiprion_percula ENSAPEG00000011505
amphiprion_ocellaris ENSAOCG00000012136
acanthochromis_polyacanthus ENSAPOG00000014199
stegastes_partitus ENSSPAG00000017211
kryptolebias_marmoratus ENSKMAG00000007385
maylandia_zebra ENSMZEG00005018380
astatotilapia_calliptera ENSACLG00000016055
pundamilia_nyererei ENSPNYG00000009057
haplochromis_burtoni ENSHBUG00000019582
neolamprologus_brichardi ENSNBRG00000003390
oreochromis_niloticus ENSONIG00000013941
amphilophus_citrinellus ENSACIG00000016063
mola_mola ENSMMOG00000009284
mastacembelus_armatus ENSMAMG00000011370
monopterus_albus ENSMALG00000011345
anabas_testudineus ENSATEG00000020368
takifugu_rubripes ENSTRUG00000011919
tetraodon_nigroviridis ENSTNIG00000009071
gasterosteus_aculeatus ENSGACG00000016954
labrus_bergylta ENSLBEG00000017929
labrus_bergylta ENSLBEG00000017230
seriola_lalandi_dorsalis ENSSLDG00000012602
seriola_dumerili ENSSDUG00000018652
scophthalmus_maximus ENSSMAG00000001641
fundulus_heteroclitus ENSFHEG00000013534
cyprinodon_variegatus ENSCVAG00000021638
xiphophorus_couchianus ENSXCOG00000003262
xiphophorus_maculatus ENSXMAG00000001259
gambusia_affinis ENSGAFG00000008976
poecilia_formosa ENSPFOG00000019780
poecilia_mexicana ENSPMEG00000009080
poecilia_latipinna ENSPLAG00000003824
poecilia_reticulata ENSPREG00000012225
oryzias_latipes_asm223469v1 ENSORLG00015004570
oryzias_latipes_asm223471v1 ENSORLG00020017386
oryzias_latipes_asm223467v1 ENSORLG00000008264
oryzias_melastigma ENSOMEG00000002454
cynoglossus_semilaevis ENSCSEG00000015788
hippocampus_comes ENSHCOG00000001779
periophthalmus_magnuspinnatus ENSPMGG00000019285
gadus_morhua ENSGMOG00000001197
esox_lucius ENSELUG00000021290
danio_rerio ENSDARG00000078603
astyanax_mexicanus ENSAMXG00000006824
paramormyrops_kingsleyae ENSPKIG00000023746
scleropages_formosus ENSSFOG00015017407
lepisosteus_oculatus ENSLOCG00000004399
ornithorhynchus_anatinus ENSOANG00000029094
petromyzon_marinus ENSPMAG00000001507
