calidris_pygmaea ENSCPGG00000007525
calidris_pugnax ENSCPUG00000009537
taeniopygia_guttata ENSTGUG00000010990
lonchura_striata_domestica ENSLSDG00000003030
serinus_canaria ENSSCAG00000009988
zonotrichia_albicollis ENSZALG00000005751
junco_hyemalis ENSJHYG00000004768
ficedula_albicollis ENSFALG00000008616
parus_major ENSPMJG00000004851
cyanistes_caeruleus ENSCCEG00000006588
lepidothrix_coronata ENSLCOG00000006795
manacus_vitellinus ENSMVIG00005017388
melopsittacus_undulatus ENSMUNG00000007611
anser_brachyrhynchus ENSABRG00000010779
anas_platyrhynchos_platyrhynchos ENSAPLG00000008148
gallus_gallus ENSGALG00000009383
meleagris_gallopavo ENSMGAG00000010267
coturnix_japonica ENSCJPG00005017910
numida_meleagris ENSNMEG00000016660
apteryx_owenii ENSAOWG00000015977
apteryx_haastii ENSAHAG00000014318
apteryx_rowi ENSARWG00000017302
dromaius_novaehollandiae ENSDNVG00000010303
nothoprocta_perdicaria ENSNPEG00000002338
crocodylus_porosus ENSCPRG00005009239
chelonoidis_abingdonii ENSCABG00000009095
chelonoidis_abingdonii ENSCABG00000010058
gopherus_agassizii ENSGAGG00000015241
chrysemys_picta_bellii ENSCPBG00000016017
pelodiscus_sinensis ENSPSIG00000013872
pogona_vitticeps ENSPVIG00000019984
anolis_carolinensis ENSACAG00000015781
salvator_merianae ENSSMRG00000023660
notamacropus_eugenii ENSMEUG00000008974
phascolarctos_cinereus ENSPCIG00000025943
sarcophilus_harrisii ENSSHAG00000015657
monodelphis_domestica ENSMODG00000016098
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025839
mus_spicilegus ENSMSIG00000008807
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051860
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024905
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026350
rattus_norvegicus ENSRNOG00000027995
meriones_unguiculatus ENSMUGG00000007112
cricetulus_griseus_crigri-picr ENSCGRG00015027430
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019079
cricetulus_griseus_crigri_1.0 ENSCGRG00000008553
peromyscus_maniculatus_bairdii ENSPEMG00000018878
nannospalax_galili ENSNGAG00000017701
jaculus_jaculus ENSJJAG00000023514
castor_canadensis ENSCCNG00000013381
dipodomys_ordii ENSDORG00000005194
octodon_degus ENSODEG00000008380
cavia_porcellus ENSCPOG00000025571
chinchilla_lanigera ENSCLAG00000011650
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014079
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001318
fukomys_damarensis ENSFDAG00000002943
urocitellus_parryii ENSUPAG00010021006
spermophilus_dauricus ENSSDAG00000004898
ictidomys_tridecemlineatus ENSSTOG00000003350
marmota_marmota_marmota ENSMMMG00000007111
oryctolagus_cuniculus ENSOCUG00000008711
ochotona_princeps ENSOPRG00000013527
pan_troglodytes ENSPTRG00000015610
pan_paniscus ENSPPAG00000040625
homo_sapiens ENSG00000187033
gorilla_gorilla ENSGGOG00000007455
pongo_abelii ENSPPYG00000014284
pongo_abelii ENSPPYG00000014476
nomascus_leucogenys ENSNLEG00000005150
rhinopithecus_roxellana ENSRROG00000032323
rhinopithecus_bieti ENSRBIG00000031456
piliocolobus_tephrosceles ENSPTEG00000033190
colobus_angolensis_palliatus ENSCANG00000041198
papio_anubis ENSPANG00000000187
cercocebus_atys ENSCATG00000042847
mandrillus_leucophaeus ENSMLEG00000044071
theropithecus_gelada ENSTGEG00000027859
chlorocebus_sabaeus ENSCSAG00000012658
macaca_fascicularis ENSMFAG00000044546
macaca_nemestrina ENSMNEG00000041674
cebus_capucinus_imitator ENSCCAG00000029101
saimiri_boliviensis_boliviensis ENSSBOG00000034829
callithrix_jacchus ENSCJAG00000002602
aotus_nancymaae ENSANAG00000023344
carlito_syrichta ENSTSYG00000009808
propithecus_coquereli ENSPCOG00000018768
microcebus_murinus ENSMICG00000049223
prolemur_simus ENSPSMG00000024099
otolemur_garnettii ENSOGAG00000008944
tupaia_belangeri ENSTBEG00000009353
capra_hircus ENSCHIG00000015287
ovis_aries ENSOARG00000000509
bos_mutus ENSBMUG00000015681
bos_taurus ENSBTAG00000018228
bison_bison_bison ENSBBBG00000009931
tursiops_truncatus ENSTTRG00000001889
sus_scrofa ENSSSCG00000028497
vicugna_pacos ENSVPAG00000007985
equus_caballus ENSECAG00000014004
equus_asinus_asinus ENSEASG00005017235
pteropus_vampyrus ENSPVAG00000001746
myotis_lucifugus ENSMLUG00000003960
erinaceus_europaeus ENSEEUG00000001095
sorex_araneus ENSSARG00000011378
ursus_americanus ENSUAMG00000016429
ursus_maritimus ENSUMAG00000011530
ailuropoda_melanoleuca ENSAMEG00000004606
neovison_vison ENSNVIG00000013316
mustela_putorius_furo ENSMPUG00000017101
canis_lupus_dingo ENSCAFG00020000689
canis_lupus_familiaris ENSCAFG00000014755
vulpes_vulpes ENSVVUG00000000702
panthera_pardus ENSPPRG00000006215
panthera_tigris_altaica ENSPTIG00000013944
felis_catus ENSFCAG00000004404
choloepus_hoffmanni ENSCHOG00000012943
dasypus_novemcinctus ENSDNOG00000006359
loxodonta_africana ENSLAFG00000006504
procavia_capensis ENSPCAG00000001157
echinops_telfairi ENSETEG00000014552
xenopus_tropicalis ENSXETG00000026439
latimeria_chalumnae ENSLACG00000015640
astyanax_mexicanus ENSAMXG00000006356
pygocentrus_nattereri ENSPNAG00000010774
ictalurus_punctatus ENSIPUG00000014096
danio_rerio ENSDARG00000060354
seriola_dumerili ENSSDUG00000012374
seriola_lalandi_dorsalis ENSSLDG00000011473
scophthalmus_maximus ENSSMAG00000015788
anabas_testudineus ENSATEG00000022156
haplochromis_burtoni ENSHBUG00000013830
pundamilia_nyererei ENSPNYG00000008412
astatotilapia_calliptera ENSACLG00000011343
maylandia_zebra ENSMZEG00005024454
neolamprologus_brichardi ENSNBRG00000011438
oreochromis_niloticus ENSONIG00000018632
amphilophus_citrinellus ENSACIG00000007263
kryptolebias_marmoratus ENSKMAG00000022084
amphiprion_ocellaris ENSAOCG00000023548
amphiprion_percula ENSAPEG00000021559
acanthochromis_polyacanthus ENSAPOG00000004251
stegastes_partitus ENSSPAG00000012572
mola_mola ENSMMOG00000020487
labrus_bergylta ENSLBEG00000013419
cynoglossus_semilaevis ENSCSEG00000014323
periophthalmus_magnuspinnatus ENSPMGG00000009675
xiphophorus_maculatus ENSXMAG00000017807
xiphophorus_couchianus ENSXCOG00000018710
gambusia_affinis ENSGAFG00000020060
poecilia_formosa ENSPFOG00000005810
poecilia_latipinna ENSPLAG00000010226
poecilia_mexicana ENSPMEG00000013982
poecilia_reticulata ENSPREG00000013733
fundulus_heteroclitus ENSFHEG00000009778
cyprinodon_variegatus ENSCVAG00000018763
cyprinodon_variegatus ENSCVAG00000014122
oryzias_latipes_asm223471v1 ENSORLG00020004258
oryzias_latipes_asm223469v1 ENSORLG00015004153
oryzias_latipes_asm223467v1 ENSORLG00000017949
oryzias_melastigma ENSOMEG00000011965
monopterus_albus ENSMALG00000018936
mastacembelus_armatus ENSMAMG00000001830
hippocampus_comes ENSHCOG00000002798
takifugu_rubripes ENSTRUG00000004470
tetraodon_nigroviridis ENSTNIG00000008861
gasterosteus_aculeatus ENSGACG00000016988
gadus_morhua ENSGMOG00000012541
esox_lucius ENSELUG00000005237
scleropages_formosus ENSSFOG00015010619
paramormyrops_kingsleyae ENSPKIG00000020332
lepisosteus_oculatus ENSLOCG00000007177
