oryzias_melastigma ENSOMEG00000016845
oryzias_latipes_asm223469v1 ENSORLG00015012701
fundulus_heteroclitus ENSFHEG00000008666
cyprinodon_variegatus ENSCVAG00000001336
xiphophorus_maculatus ENSXMAG00000014025
xiphophorus_couchianus ENSXCOG00000012662
gambusia_affinis ENSGAFG00000016895
poecilia_reticulata ENSPREG00000021804
poecilia_latipinna ENSPLAG00000017245
poecilia_formosa ENSPFOG00000008903
poecilia_mexicana ENSPMEG00000005176
maylandia_zebra ENSMZEG00005001918
astatotilapia_calliptera ENSACLG00000009869
pundamilia_nyererei ENSPNYG00000023272
neolamprologus_brichardi ENSNBRG00000007325
amphilophus_citrinellus ENSACIG00000024096
amphiprion_percula ENSAPEG00000019137
amphiprion_ocellaris ENSAOCG00000006932
tetraodon_nigroviridis ENSTNIG00000011203
takifugu_rubripes ENSTRUG00000018022
mola_mola ENSMMOG00000009543
monopterus_albus ENSMALG00000018679
mastacembelus_armatus ENSMAMG00000018507
anabas_testudineus ENSATEG00000019841
seriola_lalandi_dorsalis ENSSLDG00000006306
seriola_dumerili ENSSDUG00000005451
cynoglossus_semilaevis ENSCSEG00000006236
periophthalmus_magnuspinnatus ENSPMGG00000020943
stegastes_partitus ENSSPAG00000005115
stegastes_partitus ENSSPAG00000005981
acanthochromis_polyacanthus ENSAPOG00000008230
kryptolebias_marmoratus ENSKMAG00000007136
hippocampus_comes ENSHCOG00000006350
haplochromis_burtoni ENSHBUG00000017184
scophthalmus_maximus ENSSMAG00000005287
xiphophorus_maculatus ENSXMAG00000003558
xiphophorus_couchianus ENSXCOG00000014336
gambusia_affinis ENSGAFG00000010912
neolamprologus_brichardi ENSNBRG00000004955
seriola_lalandi_dorsalis ENSSLDG00000022398
seriola_dumerili ENSSDUG00000013051
scophthalmus_maximus ENSSMAG00000007293
mastacembelus_armatus ENSMAMG00000017841
mola_mola ENSMMOG00000005722
acanthochromis_polyacanthus ENSAPOG00000017483
xenopus_tropicalis ENSXETG00000018832
cynoglossus_semilaevis ENSCSEG00000005932
chelonoidis_abingdonii ENSCABG00000022601
scleropages_formosus ENSSFOG00015024217
paramormyrops_kingsleyae ENSPKIG00000011400
ictalurus_punctatus ENSIPUG00000010654
esox_lucius ENSELUG00000021578
lepisosteus_oculatus ENSLOCG00000001822
gadus_morhua ENSGMOG00000019655
danio_rerio ENSDARG00000076223
pygocentrus_nattereri ENSPNAG00000018352
astyanax_mexicanus ENSAMXG00000035887
astyanax_mexicanus ENSAMXG00000042435
pygocentrus_nattereri ENSPNAG00000022046
ictalurus_punctatus ENSIPUG00000013808
danio_rerio ENSDARG00000099439
