pan_troglodytes ENSPTRG00000023641
pan_paniscus ENSPPAG00000044039
homo_sapiens ENSG00000249709
gorilla_gorilla ENSGGOG00000042091
pongo_abelii ENSPPYG00000029756
nomascus_leucogenys ENSNLEG00000012688
rhinopithecus_roxellana ENSRROG00000026298
rhinopithecus_bieti ENSRBIG00000031165
colobus_angolensis_palliatus ENSCANG00000038414
mandrillus_leucophaeus ENSMLEG00000037125
cercocebus_atys ENSCATG00000032013
macaca_fascicularis ENSMFAG00000032649
theropithecus_gelada ENSTGEG00000000817
papio_anubis ENSPANG00000007729
chlorocebus_sabaeus ENSCSAG00000006658
piliocolobus_tephrosceles ENSPTEG00000005962
macaca_nemestrina ENSMNEG00000045548
saimiri_boliviensis_boliviensis ENSSBOG00000025431
cebus_capucinus_imitator ENSCCAG00000027400
callithrix_jacchus ENSCJAG00000045776
aotus_nancymaae ENSANAG00000036392
prolemur_simus ENSPSMG00000013363
microcebus_murinus ENSMICG00000031514
propithecus_coquereli ENSPCOG00000027864
otolemur_garnettii ENSOGAG00000004779
