vulpes_vulpes ENSVVUG00000003697
canis_lupus_familiaris ENSCAFG00000029048
pteropus_vampyrus ENSPVAG00000016042
tursiops_truncatus ENSTTRG00000009997
vicugna_pacos ENSVPAG00000003465
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017951
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018849
fukomys_damarensis ENSFDAG00000020961
cavia_porcellus ENSCPOG00000002725
cavia_aperea ENSCAPG00000014365
chinchilla_lanigera ENSCLAG00000006734
marmota_marmota_marmota ENSMMMG00000011752
spermophilus_dauricus ENSSDAG00000018360
urocitellus_parryii ENSUPAG00010023514
mus_spicilegus ENSMSIG00000006966
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022815
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023734
meriones_unguiculatus ENSMUGG00000026657
microtus_ochrogaster ENSMOCG00000016522
peromyscus_maniculatus_bairdii ENSPEMG00000017498
cricetulus_griseus_crigri-picr ENSCGRG00015003671
cricetulus_griseus_crigri_1.0 ENSCGRG00000008434
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021003
mesocricetus_auratus ENSMAUG00000010088
nannospalax_galili ENSNGAG00000012210
jaculus_jaculus ENSJJAG00000020181
ochotona_princeps ENSOPRG00000009877
cebus_capucinus_imitator ENSCCAG00000031859
saimiri_boliviensis_boliviensis ENSSBOG00000027412
callithrix_jacchus ENSCJAG00000001439
aotus_nancymaae ENSANAG00000036692
papio_anubis ENSPANG00000025078
theropithecus_gelada ENSTGEG00000025678
chlorocebus_sabaeus ENSCSAG00000008281
macaca_mulatta ENSMMUG00000048683
macaca_fascicularis ENSMFAG00000043458
macaca_nemestrina ENSMNEG00000037969
rhinopithecus_bieti ENSRBIG00000036053
rhinopithecus_roxellana ENSRROG00000030111
colobus_angolensis_palliatus ENSCANG00000007076
pan_troglodytes ENSPTRG00000029245
pan_paniscus ENSPPAG00000012888
homo_sapiens ENSG00000204669
gorilla_gorilla ENSGGOG00000042125
pongo_abelii ENSPPYG00000019879
nomascus_leucogenys ENSNLEG00000030794
tupaia_belangeri ENSTBEG00000009966
loxodonta_africana ENSLAFG00000021493
sorex_araneus ENSSARG00000003314
phascolarctos_cinereus ENSPCIG00000027195
