peromyscus_maniculatus_bairdii ENSPEMG00000009750
microtus_ochrogaster ENSMOCG00000011703
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006237
cricetulus_griseus_crigri-picr ENSCGRG00015002453
cricetulus_griseus_crigri_1.0 ENSCGRG00000013880
mesocricetus_auratus ENSMAUG00000019110
mus_spicilegus ENSMSIG00000016576
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034578
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072969
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033409
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031949
rattus_norvegicus ENSRNOG00000003187
nannospalax_galili ENSNGAG00000013176
dipodomys_ordii ENSDORG00000025304
urocitellus_parryii ENSUPAG00010014836
marmota_marmota_marmota ENSMMMG00000015555
spermophilus_dauricus ENSSDAG00000018960
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000071
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006370
fukomys_damarensis ENSFDAG00000005641
chinchilla_lanigera ENSCLAG00000000357
oryctolagus_cuniculus ENSOCUG00000010948
microcebus_murinus ENSMICG00000015242
prolemur_simus ENSPSMG00000017847
propithecus_coquereli ENSPCOG00000002843
otolemur_garnettii ENSOGAG00000000473
pan_troglodytes ENSPTRG00000039741
pan_paniscus ENSPPAG00000011473
homo_sapiens ENSG00000125962
gorilla_gorilla ENSGGOG00000009961
pongo_abelii ENSPPYG00000020568
macaca_mulatta ENSMMUG00000005291
macaca_nemestrina ENSMNEG00000004726
macaca_fascicularis ENSMFAG00000030606
chlorocebus_sabaeus ENSCSAG00000000326
mandrillus_leucophaeus ENSMLEG00000026091
theropithecus_gelada ENSTGEG00000012561
rhinopithecus_roxellana ENSRROG00000037558
cebus_capucinus_imitator ENSCCAG00000025956
saimiri_boliviensis_boliviensis ENSSBOG00000016540
aotus_nancymaae ENSANAG00000019843
tupaia_belangeri ENSTBEG00000014316
ursus_americanus ENSUAMG00000002089
ursus_maritimus ENSUMAG00000000973
canis_lupus_familiaris ENSCAFG00000017774
canis_lupus_dingo ENSCAFG00020007214
vulpes_vulpes ENSVVUG00000001708
mustela_putorius_furo ENSMPUG00000019690
neovison_vison ENSNVIG00000014842
equus_asinus_asinus ENSEASG00005002628
equus_caballus ENSECAG00000009895
vicugna_pacos ENSVPAG00000008314
sus_scrofa ENSSSCG00000012518
bos_mutus ENSBMUG00000021297
bos_taurus ENSBTAG00000010114
capra_hircus ENSCHIG00000016190
tursiops_truncatus ENSTTRG00000004229
pteropus_vampyrus ENSPVAG00000004673
choloepus_hoffmanni ENSCHOG00000013896
dasypus_novemcinctus ENSDNOG00000014556
loxodonta_africana ENSLAFG00000000902
echinops_telfairi ENSETEG00000004880
