gallus_gallus ENSGALG00000010927
coturnix_japonica ENSCJPG00005010004
meleagris_gallopavo ENSMGAG00000007518
numida_meleagris ENSNMEG00000015418
parus_major ENSPMJG00000008336
zonotrichia_albicollis ENSZALG00000000810
loxodonta_africana ENSLAFG00000022668
procavia_capensis ENSPCAG00000003261
echinops_telfairi ENSETEG00000007055
dasypus_novemcinctus ENSDNOG00000036663
choloepus_hoffmanni ENSCHOG00000001009
pan_paniscus ENSPPAG00000041299
pan_troglodytes ENSPTRG00000016264
gorilla_gorilla ENSGGOG00000009745
homo_sapiens ENSG00000152595
pongo_abelii ENSPPYG00000014919
nomascus_leucogenys ENSNLEG00000009593
rhinopithecus_roxellana ENSRROG00000035799
rhinopithecus_bieti ENSRBIG00000040929
piliocolobus_tephrosceles ENSPTEG00000004058
colobus_angolensis_palliatus ENSCANG00000037226
theropithecus_gelada ENSTGEG00000005940
papio_anubis ENSPANG00000019861
mandrillus_leucophaeus ENSMLEG00000032058
cercocebus_atys ENSCATG00000042357
macaca_nemestrina ENSMNEG00000025404
macaca_fascicularis ENSMFAG00000042632
macaca_mulatta ENSMMUG00000011110
chlorocebus_sabaeus ENSCSAG00000004309
saimiri_boliviensis_boliviensis ENSSBOG00000031405
cebus_capucinus_imitator ENSCCAG00000036917
callithrix_jacchus ENSCJAG00000006293
aotus_nancymaae ENSANAG00000031783
carlito_syrichta ENSTSYG00000032520
propithecus_coquereli ENSPCOG00000028720
prolemur_simus ENSPSMG00000016484
microcebus_murinus ENSMICG00000015496
otolemur_garnettii ENSOGAG00000011187
tupaia_belangeri ENSTBEG00000007683
mus_spicilegus ENSMSIG00000005264
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000053863
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028476
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027479
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017257
rattus_norvegicus ENSRNOG00000002154
meriones_unguiculatus ENSMUGG00000015522
cricetulus_griseus_crigri-picr ENSCGRG00015012662
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019599
cricetulus_griseus_crigri_1.0 ENSCGRG00000006976
mesocricetus_auratus ENSMAUG00000017270
peromyscus_maniculatus_bairdii ENSPEMG00000009010
microtus_ochrogaster ENSMOCG00000013370
nannospalax_galili ENSNGAG00000001452
castor_canadensis ENSCCNG00000004142
urocitellus_parryii ENSUPAG00010003873
spermophilus_dauricus ENSSDAG00000019632
marmota_marmota_marmota ENSMMMG00000007106
oryctolagus_cuniculus ENSOCUG00000001850
ochotona_princeps ENSOPRG00000009907
pteropus_vampyrus ENSPVAG00000015096
myotis_lucifugus ENSMLUG00000010133
ursus_americanus ENSUAMG00000022766
ursus_maritimus ENSUMAG00000025453
ailuropoda_melanoleuca ENSAMEG00000003176
neovison_vison ENSNVIG00000021866
mustela_putorius_furo ENSMPUG00000002234
canis_lupus_dingo ENSCAFG00020008084
vulpes_vulpes ENSVVUG00000009185
panthera_pardus ENSPPRG00000004532
panthera_tigris_altaica ENSPTIG00000021972
felis_catus ENSFCAG00000009103
vicugna_pacos ENSVPAG00000004019
sus_scrofa ENSSSCG00000028730
ovis_aries ENSOARG00000002865
capra_hircus ENSCHIG00000002115
bos_mutus ENSBMUG00000020852
bos_taurus ENSBTAG00000007568
bison_bison_bison ENSBBBG00000010597
tursiops_truncatus ENSTTRG00000003536
equus_caballus ENSECAG00000024351
equus_asinus_asinus ENSEASG00005012732
phascolarctos_cinereus ENSPCIG00000016677
notamacropus_eugenii ENSMEUG00000006837
sarcophilus_harrisii ENSSHAG00000004071
monodelphis_domestica ENSMODG00000020729
