takifugu_rubripes ENSTRUG00000008354
tetraodon_nigroviridis ENSTNIG00000013058
labrus_bergylta ENSLBEG00000001311
mastacembelus_armatus ENSMAMG00000015323
monopterus_albus ENSMALG00000015371
anabas_testudineus ENSATEG00000006261
seriola_lalandi_dorsalis ENSSLDG00000021412
seriola_dumerili ENSSDUG00000007708
amphiprion_percula ENSAPEG00000000879
amphiprion_ocellaris ENSAOCG00000012527
acanthochromis_polyacanthus ENSAPOG00000004247
stegastes_partitus ENSSPAG00000011182
astatotilapia_calliptera ENSACLG00000013823
maylandia_zebra ENSMZEG00005002903
haplochromis_burtoni ENSHBUG00000019937
pundamilia_nyererei ENSPNYG00000001436
neolamprologus_brichardi ENSNBRG00000014142
oreochromis_niloticus ENSONIG00000001402
amphilophus_citrinellus ENSACIG00000019132
oryzias_melastigma ENSOMEG00000003383
oryzias_latipes_asm223469v1 ENSORLG00015021717
poecilia_formosa ENSPFOG00000018351
poecilia_formosa ENSPFOG00000023389
poecilia_latipinna ENSPLAG00000014888
poecilia_mexicana ENSPMEG00000009342
poecilia_reticulata ENSPREG00000006758
xiphophorus_couchianus ENSXCOG00000015040
xiphophorus_maculatus ENSXMAG00000001982
gambusia_affinis ENSGAFG00000017713
fundulus_heteroclitus ENSFHEG00000020819
cyprinodon_variegatus ENSCVAG00000013004
kryptolebias_marmoratus ENSKMAG00000008236
scophthalmus_maximus ENSSMAG00000008078
periophthalmus_magnuspinnatus ENSPMGG00000008282
gadus_morhua ENSGMOG00000002723
esox_lucius ENSELUG00000022140
astyanax_mexicanus ENSAMXG00000005815
pygocentrus_nattereri ENSPNAG00000025586
ictalurus_punctatus ENSIPUG00000020150
danio_rerio ENSDARG00000011273
paramormyrops_kingsleyae ENSPKIG00000000681
chelonoidis_abingdonii ENSCABG00000011382
gopherus_agassizii ENSGAGG00000024558
chrysemys_picta_bellii ENSCPBG00000024462
lonchura_striata_domestica ENSLSDG00000013272
junco_hyemalis ENSJHYG00000005035
calidris_pygmaea ENSCPGG00000015409
meleagris_gallopavo ENSMGAG00000000722
gallus_gallus ENSGALG00000054625
anas_platyrhynchos_platyrhynchos ENSAPLG00000006966
apteryx_rowi ENSARWG00000003936
xenopus_tropicalis ENSXETG00000017822
scleropages_formosus ENSSFOG00015005040
paramormyrops_kingsleyae ENSPKIG00000020072
lepisosteus_oculatus ENSLOCG00000001968
latimeria_chalumnae ENSLACG00000000760
