propithecus_coquereli ENSPCOG00000017802
prolemur_simus ENSPSMG00000004421
colobus_angolensis_palliatus ENSCANG00000035307
rhinopithecus_bieti ENSRBIG00000039583
cercocebus_atys ENSCATG00000044675
papio_anubis ENSPANG00000032577
macaca_mulatta ENSMMUG00000048259
macaca_nemestrina ENSMNEG00000026883
cercocebus_atys ENSCATG00000038566
aotus_nancymaae ENSANAG00000036839
cebus_capucinus_imitator ENSCCAG00000037879
pan_paniscus ENSPPAG00000029530
pan_troglodytes ENSPTRG00000049007
gorilla_gorilla ENSGGOG00000040677
nomascus_leucogenys ENSNLEG00000028459
felis_catus ENSFCAG00000038593
