choloepus_hoffmanni ENSCHOG00000008817
dasypus_novemcinctus ENSDNOG00000038771
echinops_telfairi ENSETEG00000003989
procavia_capensis ENSPCAG00000000379
loxodonta_africana ENSLAFG00000002670
myotis_lucifugus ENSMLUG00000013741
pteropus_vampyrus ENSPVAG00000000246
ursus_maritimus ENSUMAG00000022337
ursus_americanus ENSUAMG00000014130
ailuropoda_melanoleuca ENSAMEG00000009390
neovison_vison ENSNVIG00000021091
mustela_putorius_furo ENSMPUG00000001945
canis_lupus_familiaris ENSCAFG00000006383
canis_lupus_dingo ENSCAFG00020024869
vulpes_vulpes ENSVVUG00000026461
panthera_pardus ENSPPRG00000002722
panthera_tigris_altaica ENSPTIG00000019877
felis_catus ENSFCAG00000025587
bison_bison_bison ENSBBBG00000002305
bos_mutus ENSBMUG00000013335
bos_taurus ENSBTAG00000000988
capra_hircus ENSCHIG00000021344
ovis_aries ENSOARG00000011179
tursiops_truncatus ENSTTRG00000010541
sus_scrofa ENSSSCG00000029039
vicugna_pacos ENSVPAG00000000886
equus_caballus ENSECAG00000014890
equus_asinus_asinus ENSEASG00005021183
erinaceus_europaeus ENSEEUG00000009739
sorex_araneus ENSSARG00000002755
mesocricetus_auratus ENSMAUG00000010577
mesocricetus_auratus ENSMAUG00000019853
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017867
cricetulus_griseus_crigri_1.0 ENSCGRG00000011581
cricetulus_griseus_crigri-picr ENSCGRG00015018459
peromyscus_maniculatus_bairdii ENSPEMG00000000801
microtus_ochrogaster ENSMOCG00000000238
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029058
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000041147
mus_spicilegus ENSMSIG00000022300
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028060
rattus_norvegicus ENSRNOG00000001111
nannospalax_galili ENSNGAG00000023032
jaculus_jaculus ENSJJAG00000024080
chinchilla_lanigera ENSCLAG00000005830
octodon_degus ENSODEG00000007088
cavia_porcellus ENSCPOG00000005153
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012443
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008590
fukomys_damarensis ENSFDAG00000002377
urocitellus_parryii ENSUPAG00010011103
ictidomys_tridecemlineatus ENSSTOG00000005517
spermophilus_dauricus ENSSDAG00000023567
marmota_marmota_marmota ENSMMMG00000022103
castor_canadensis ENSCCNG00000002671
castor_canadensis ENSCCNG00000006975
oryctolagus_cuniculus ENSOCUG00000016878
ochotona_princeps ENSOPRG00000015365
tupaia_belangeri ENSTBEG00000015907
pan_troglodytes ENSPTRG00000005766
pan_paniscus ENSPPAG00000002166
homo_sapiens ENSG00000139618
gorilla_gorilla ENSGGOG00000015808
pongo_abelii ENSPPYG00000005264
nomascus_leucogenys ENSNLEG00000001048
cercocebus_atys ENSCATG00000031672
mandrillus_leucophaeus ENSMLEG00000036824
papio_anubis ENSPANG00000013323
theropithecus_gelada ENSTGEG00000022273
macaca_mulatta ENSMMUG00000007197
macaca_fascicularis ENSMFAG00000041961
macaca_nemestrina ENSMNEG00000036002
chlorocebus_sabaeus ENSCSAG00000017920
piliocolobus_tephrosceles ENSPTEG00000021764
colobus_angolensis_palliatus ENSCANG00000028513
rhinopithecus_roxellana ENSRROG00000039182
rhinopithecus_bieti ENSRBIG00000001621
cebus_capucinus_imitator ENSCCAG00000033858
callithrix_jacchus ENSCJAG00000018462
aotus_nancymaae ENSANAG00000025577
carlito_syrichta ENSTSYG00000000478
propithecus_coquereli ENSPCOG00000015387
microcebus_murinus ENSMICG00000041755
prolemur_simus ENSPSMG00000018840
otolemur_garnettii ENSOGAG00000010588
notamacropus_eugenii ENSMEUG00000010691
sarcophilus_harrisii ENSSHAG00000010421
monodelphis_domestica ENSMODG00000009516
ornithorhynchus_anatinus ENSOANG00000015481
ornithorhynchus_anatinus ENSOANG00000030391
pogona_vitticeps ENSPVIG00000012972
anolis_carolinensis ENSACAG00000004541
salvator_merianae ENSSMRG00000013090
notechis_scutatus ENSNSUG00000012837
sphenodon_punctatus ENSSPUG00000014418
gopherus_agassizii ENSGAGG00000023018
chelonoidis_abingdonii ENSCABG00000008266
chrysemys_picta_bellii ENSCPBG00000003790
pelodiscus_sinensis ENSPSIG00000011574
crocodylus_porosus ENSCPRG00005005931
manacus_vitellinus ENSMVIG00005003338
lepidothrix_coronata ENSLCOG00000010513
cyanistes_caeruleus ENSCCEG00000021758
parus_major ENSPMJG00000015023
ficedula_albicollis ENSFALG00000008451
junco_hyemalis ENSJHYG00000011876
zonotrichia_albicollis ENSZALG00000003961
serinus_canaria ENSSCAG00000008655
taeniopygia_guttata ENSTGUG00000011763
lonchura_striata_domestica ENSLSDG00000017612
melopsittacus_undulatus ENSMUNG00000011603
calidris_pygmaea ENSCPGG00000009694
calidris_pugnax ENSCPUG00000013251
gallus_gallus ENSGALG00000017073
meleagris_gallopavo ENSMGAG00000015077
coturnix_japonica ENSCJPG00005020412
numida_meleagris ENSNMEG00000014895
anas_platyrhynchos_platyrhynchos ENSAPLG00000007774
apteryx_haastii ENSAHAG00000013904
apteryx_owenii ENSAOWG00000009674
apteryx_rowi ENSARWG00000018594
dromaius_novaehollandiae ENSDNVG00000004115
nothoprocta_perdicaria ENSNPEG00000010931
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024626
latimeria_chalumnae ENSLACG00000007788
xenopus_tropicalis ENSXETG00000017011
gasterosteus_aculeatus ENSGACG00000011490
monopterus_albus ENSMALG00000018492
mastacembelus_armatus ENSMAMG00000010663
anabas_testudineus ENSATEG00000012756
seriola_dumerili ENSSDUG00000011325
seriola_lalandi_dorsalis ENSSLDG00000005236
scophthalmus_maximus ENSSMAG00000006383
amphiprion_ocellaris ENSAOCG00000009260
acanthochromis_polyacanthus ENSAPOG00000005021
haplochromis_burtoni ENSHBUG00000002352
maylandia_zebra ENSMZEG00005011354
neolamprologus_brichardi ENSNBRG00000023690
oreochromis_niloticus ENSONIG00000005522
amphilophus_citrinellus ENSACIG00000004324
xiphophorus_maculatus ENSXMAG00000006974
gambusia_affinis ENSGAFG00000020756
poecilia_formosa ENSPFOG00000001640
poecilia_latipinna ENSPLAG00000014899
poecilia_mexicana ENSPMEG00000001742
poecilia_reticulata ENSPREG00000012389
fundulus_heteroclitus ENSFHEG00000011541
cyprinodon_variegatus ENSCVAG00000012320
kryptolebias_marmoratus ENSKMAG00000007719
oryzias_latipes_asm223467v1 ENSORLG00000030193
oryzias_latipes_asm223469v1 ENSORLG00015016739
oryzias_latipes_asm223471v1 ENSORLG00020012568
oryzias_melastigma ENSOMEG00000002481
labrus_bergylta ENSLBEG00000002188
anabas_testudineus ENSATEG00000012767
mola_mola ENSMMOG00000015851
takifugu_rubripes ENSTRUG00000006177
tetraodon_nigroviridis ENSTNIG00000016261
gadus_morhua ENSGMOG00000009699
esox_lucius ENSELUG00000007373
pygocentrus_nattereri ENSPNAG00000001087
astyanax_mexicanus ENSAMXG00000013027
ictalurus_punctatus ENSIPUG00000013129
danio_rerio ENSDARG00000079015
paramormyrops_kingsleyae ENSPKIG00000000986
scleropages_formosus ENSSFOG00015001499
lepisosteus_oculatus ENSLOCG00000008205
eptatretus_burgeri ENSEBUG00000006338
