tursiops_truncatus ENSTTRG00000013786
mustela_putorius_furo ENSMPUG00000009077
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017025
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010280
fukomys_damarensis ENSFDAG00000015660
cavia_aperea ENSCAPG00000012085
cavia_porcellus ENSCPOG00000030861
meriones_unguiculatus ENSMUGG00000006033
rattus_norvegicus ENSRNOG00000002546
cricetulus_griseus_crigri_1.0 ENSCGRG00000014699
ochotona_princeps ENSOPRG00000012376
procavia_capensis ENSPCAG00000016774
latimeria_chalumnae ENSLACG00000002398
amphiprion_percula ENSAPEG00000002468
amphiprion_ocellaris ENSAOCG00000011068
acanthochromis_polyacanthus ENSAPOG00000001850
stegastes_partitus ENSSPAG00000004472
neolamprologus_brichardi ENSNBRG00000010201
haplochromis_burtoni ENSHBUG00000023198
amphilophus_citrinellus ENSACIG00000014359
poecilia_formosa ENSPFOG00000004656
poecilia_latipinna ENSPLAG00000000312
poecilia_mexicana ENSPMEG00000018009
poecilia_reticulata ENSPREG00000017308
xiphophorus_couchianus ENSXCOG00000008887
fundulus_heteroclitus ENSFHEG00000006102
seriola_dumerili ENSSDUG00000003508
seriola_lalandi_dorsalis ENSSLDG00000014582
scophthalmus_maximus ENSSMAG00000000109
monopterus_albus ENSMALG00000015086
mastacembelus_armatus ENSMAMG00000020550
labrus_bergylta ENSLBEG00000000157
periophthalmus_magnuspinnatus ENSPMGG00000023867
eptatretus_burgeri ENSEBUG00000012703
petromyzon_marinus ENSPMAG00000001447
