lepidothrix_coronata ENSLCOG00000012929
manacus_vitellinus ENSMVIG00005001399
serinus_canaria ENSSCAG00000012861
calidris_pugnax ENSCPUG00000006421
gallus_gallus ENSGALG00000043676
melopsittacus_undulatus ENSMUNG00000006286
dromaius_novaehollandiae ENSDNVG00000019001
nothoprocta_perdicaria ENSNPEG00000000869
apteryx_rowi ENSARWG00000003483
apteryx_haastii ENSAHAG00000015716
gopherus_agassizii ENSGAGG00000016653
salvator_merianae ENSSMRG00000010308
bos_mutus ENSBMUG00000024736
erinaceus_europaeus ENSEEUG00000013877
canis_lupus_dingo ENSCAFG00020000599
vulpes_vulpes ENSVVUG00000006064
peromyscus_maniculatus_bairdii ENSPEMG00000023256
cricetulus_griseus_crigri-picr ENSCGRG00015022983
octodon_degus ENSODEG00000002863
piliocolobus_tephrosceles ENSPTEG00000023582
echinops_telfairi ENSETEG00000017820
echinops_telfairi ENSETEG00000014793
echinops_telfairi ENSETEG00000002208
gambusia_affinis ENSGAFG00000010741
fundulus_heteroclitus ENSFHEG00000000737
