heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002652
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007208
fukomys_damarensis ENSFDAG00000012819
cavia_aperea ENSCAPG00000008169
cavia_porcellus ENSCPOG00000006558
octodon_degus ENSODEG00000006991
chinchilla_lanigera ENSCLAG00000013092
ictidomys_tridecemlineatus ENSSTOG00000031451
urocitellus_parryii ENSUPAG00010004876
spermophilus_dauricus ENSSDAG00000023818
mus_spicilegus ENSMSIG00000002728
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015157
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026226
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014355
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027592
rattus_norvegicus ENSRNOG00000017540
meriones_unguiculatus ENSMUGG00000024579
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023466
cricetulus_griseus_crigri-picr ENSCGRG00015009648
cricetulus_griseus_crigri_1.0 ENSCGRG00000002455
mesocricetus_auratus ENSMAUG00000016867
peromyscus_maniculatus_bairdii ENSPEMG00000010739
microtus_ochrogaster ENSMOCG00000011715
nannospalax_galili ENSNGAG00000023650
dipodomys_ordii ENSDORG00000025325
oryctolagus_cuniculus ENSOCUG00000028155
ochotona_princeps ENSOPRG00000015887
gorilla_gorilla ENSGGOG00000014027
homo_sapiens ENSG00000173699
pan_paniscus ENSPPAG00000037361
pan_troglodytes ENSPTRG00000013020
pongo_abelii ENSPPYG00000013259
nomascus_leucogenys ENSNLEG00000013894
rhinopithecus_roxellana ENSRROG00000039136
rhinopithecus_bieti ENSRBIG00000027753
colobus_angolensis_palliatus ENSCANG00000038202
cercocebus_atys ENSCATG00000038345
papio_anubis ENSPANG00000021585
theropithecus_gelada ENSTGEG00000018218
macaca_fascicularis ENSMFAG00000033461
macaca_nemestrina ENSMNEG00000040227
macaca_mulatta ENSMMUG00000018388
mandrillus_leucophaeus ENSMLEG00000039195
chlorocebus_sabaeus ENSCSAG00000006817
saimiri_boliviensis_boliviensis ENSSBOG00000032139
callithrix_jacchus ENSCJAG00000013367
cebus_capucinus_imitator ENSCCAG00000031214
carlito_syrichta ENSTSYG00000004339
prolemur_simus ENSPSMG00000018697
propithecus_coquereli ENSPCOG00000027946
microcebus_murinus ENSMICG00000004129
tupaia_belangeri ENSTBEG00000016608
bos_mutus ENSBMUG00000026060
bison_bison_bison ENSBBBG00000025065
capra_hircus ENSCHIG00000024389
ovis_aries ENSOARG00000020675
bos_taurus ENSBTAG00000030718
sus_scrofa ENSSSCG00000016269
canis_lupus_familiaris ENSCAFG00000028718
canis_lupus_dingo ENSCAFG00020022800
ursus_maritimus ENSUMAG00000017066
panthera_pardus ENSPPRG00000004244
panthera_tigris_altaica ENSPTIG00000015309
felis_catus ENSFCAG00000038801
pteropus_vampyrus ENSPVAG00000004448
myotis_lucifugus ENSMLUG00000028744
erinaceus_europaeus ENSEEUG00000006033
marmota_marmota_marmota ENSMMMG00000001341
castor_canadensis ENSCCNG00000011032
ursus_americanus ENSUAMG00000001909
neovison_vison ENSNVIG00000002636
vulpes_vulpes ENSVVUG00000025618
equus_caballus ENSECAG00000006548
equus_asinus_asinus ENSEASG00005008442
tursiops_truncatus ENSTTRG00000016091
piliocolobus_tephrosceles ENSPTEG00000039821
choloepus_hoffmanni ENSCHOG00000004352
dasypus_novemcinctus ENSDNOG00000033246
loxodonta_africana ENSLAFG00000010376
echinops_telfairi ENSETEG00000015328
