mus_musculus_strain_reference_cl57bl6 ENSMUSG00000107486
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002400
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002246
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0002048
meriones_unguiculatus ENSMUGG00000014420
cricetulus_griseus_crigri-picr ENSCGRG00015023010
castor_canadensis ENSCCNG00000025894
marmota_marmota_marmota ENSMMMG00000008472
marmota_marmota_marmota ENSMMMG00000008427
oryctolagus_cuniculus ENSOCUG00000026642
sus_scrofa ENSSSCG00000032070
sus_scrofa ENSSSCG00000040567
capra_hircus ENSCHIG00000009655
bos_taurus ENSBTAG00000048852
equus_caballus ENSECAG00000031848
equus_caballus ENSECAG00000022749
equus_caballus ENSECAG00000009900
canis_lupus_familiaris ENSCAFG00000029837
canis_lupus_dingo ENSCAFG00020021040
myotis_lucifugus ENSMLUG00000028474
nomascus_leucogenys ENSNLEG00000035397
nomascus_leucogenys ENSNLEG00000031773
pan_troglodytes ENSPTRG00000048222
pan_troglodytes ENSPTRG00000050465
pan_paniscus ENSPPAG00000025154
gorilla_gorilla ENSGGOG00000043553
homo_sapiens ENSG00000237702
nomascus_leucogenys ENSNLEG00000034334
chlorocebus_sabaeus ENSCSAG00000007874
rhinopithecus_bieti ENSRBIG00000041947
callithrix_jacchus ENSCJAG00000013834
cebus_capucinus_imitator ENSCCAG00000000686
dasypus_novemcinctus ENSDNOG00000044142
