stegastes_partitus ENSSPAG00000023529
acanthochromis_polyacanthus ENSAPOG00000016404
mastacembelus_armatus ENSMAMG00000002448
mola_mola ENSMMOG00000001397
anabas_testudineus ENSATEG00000015631
hippocampus_comes ENSHCOG00000005292
amphilophus_citrinellus ENSACIG00000015492
seriola_dumerili ENSSDUG00000000900
seriola_lalandi_dorsalis ENSSLDG00000007624
scophthalmus_maximus ENSSMAG00000015023
xiphophorus_couchianus ENSXCOG00000013734
xiphophorus_maculatus ENSXMAG00000010916
gambusia_affinis ENSGAFG00000019589
cyprinodon_variegatus ENSCVAG00000001872
fundulus_heteroclitus ENSFHEG00000004977
oryzias_melastigma ENSOMEG00000010759
oryzias_latipes_asm223469v1 ENSORLG00015019318
kryptolebias_marmoratus ENSKMAG00000001531
amphiprion_percula ENSAPEG00000018123
labrus_bergylta ENSLBEG00000023933
gadus_morhua ENSGMOG00000020593
gasterosteus_aculeatus ENSGACG00000019622
esox_lucius ENSELUG00000002560
scleropages_formosus ENSSFOG00015024044
