cebus_capucinus_imitator ENSCCAG00000030503
saimiri_boliviensis_boliviensis ENSSBOG00000035634
callithrix_jacchus ENSCJAG00000002883
aotus_nancymaae ENSANAG00000033037
pan_troglodytes ENSPTRG00000050859
pan_paniscus ENSPPAG00000024591
gorilla_gorilla ENSGGOG00000022162
homo_sapiens ENSG00000204421
nomascus_leucogenys ENSNLEG00000006247
rhinopithecus_roxellana ENSRROG00000031504
rhinopithecus_bieti ENSRBIG00000039417
colobus_angolensis_palliatus ENSCANG00000030647
piliocolobus_tephrosceles ENSPTEG00000036831
macaca_fascicularis ENSMFAG00000003307
macaca_nemestrina ENSMNEG00000033639
macaca_mulatta ENSMMUG00000015693
cercocebus_atys ENSCATG00000041931
mandrillus_leucophaeus ENSMLEG00000042386
theropithecus_gelada ENSTGEG00000029392
papio_anubis ENSPANG00000022211
chlorocebus_sabaeus ENSCSAG00000008659
carlito_syrichta ENSTSYG00000030245
prolemur_simus ENSPSMG00000018106
microcebus_murinus ENSMICG00000031779
propithecus_coquereli ENSPCOG00000016840
otolemur_garnettii ENSOGAG00000031312
equus_caballus ENSECAG00000027842
bos_taurus ENSBTAG00000000585
erinaceus_europaeus ENSEEUG00000010901
pongo_abelii ENSPPYG00000016453
bison_bison_bison ENSBBBG00000007580
bos_mutus ENSBMUG00000014340
capra_hircus ENSCHIG00000007675
ovis_aries ENSOARG00000005924
chinchilla_lanigera ENSCLAG00000009864
octodon_degus ENSODEG00000017694
cavia_porcellus ENSCPOG00000023366
cavia_aperea ENSCAPG00000017299
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019251
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013815
fukomys_damarensis ENSFDAG00000005935
dipodomys_ordii ENSDORG00000016416
sorex_araneus ENSSARG00000013290
procavia_capensis ENSPCAG00000013148
urocitellus_parryii ENSUPAG00010020345
spermophilus_dauricus ENSSDAG00000005797
ictidomys_tridecemlineatus ENSSTOG00000013066
marmota_marmota_marmota ENSMMMG00000010168
castor_canadensis ENSCCNG00000011090
cricetulus_griseus_crigri_1.0 ENSCGRG00000015774
cricetulus_griseus_crigri-picr ENSCGRG00015028454
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019394
mesocricetus_auratus ENSMAUG00000014579
microtus_ochrogaster ENSMOCG00000016036
peromyscus_maniculatus_bairdii ENSPEMG00000012722
meriones_unguiculatus ENSMUGG00000002631
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000092586
mus_spicilegus ENSMSIG00000005875
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022403
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021498
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020493
rattus_norvegicus ENSRNOG00000000843
nannospalax_galili ENSNGAG00000023350
jaculus_jaculus ENSJJAG00000012162
oryctolagus_cuniculus ENSOCUG00000007958
ochotona_princeps ENSOPRG00000003454
myotis_lucifugus ENSMLUG00000009471
pteropus_vampyrus ENSPVAG00000012388
equus_asinus_asinus ENSEASG00005015760
equus_asinus_asinus ENSEASG00005003546
equus_caballus ENSECAG00000032026
tursiops_truncatus ENSTTRG00000014106
sus_scrofa ENSSSCG00000036566
neovison_vison ENSNVIG00000015725
mustela_putorius_furo ENSMPUG00000011101
ursus_americanus ENSUAMG00000012219
ursus_maritimus ENSUMAG00000014123
ailuropoda_melanoleuca ENSAMEG00000009191
canis_lupus_familiaris ENSCAFG00000000614
canis_lupus_dingo ENSCAFG00020020734
vulpes_vulpes ENSVVUG00000021063
panthera_pardus ENSPPRG00000006955
panthera_tigris_altaica ENSPTIG00000013535
felis_catus ENSFCAG00000022395
echinops_telfairi ENSETEG00000003808
dasypus_novemcinctus ENSDNOG00000032832
phascolarctos_cinereus ENSPCIG00000018515
notamacropus_eugenii ENSMEUG00000015179
monodelphis_domestica ENSMODG00000015256
