theropithecus_gelada ENSTGEG00000003675
cercocebus_atys ENSCATG00000035678
papio_anubis ENSPANG00000025404
macaca_fascicularis ENSMFAG00000040645
macaca_nemestrina ENSMNEG00000045239
macaca_mulatta ENSMMUG00000040511
chlorocebus_sabaeus ENSCSAG00000002024
rhinopithecus_bieti ENSRBIG00000022932
rhinopithecus_roxellana ENSRROG00000031448
piliocolobus_tephrosceles ENSPTEG00000016949
pan_troglodytes ENSPTRG00000047981
pan_paniscus ENSPPAG00000039582
gorilla_gorilla ENSGGOG00000042909
homo_sapiens ENSG00000262874
nomascus_leucogenys ENSNLEG00000005901
cebus_capucinus_imitator ENSCCAG00000027942
saimiri_boliviensis_boliviensis ENSSBOG00000029652
callithrix_jacchus ENSCJAG00000045505
aotus_nancymaae ENSANAG00000015983
carlito_syrichta ENSTSYG00000034196
microcebus_murinus ENSMICG00000028408
propithecus_coquereli ENSPCOG00000006973
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030716
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030717
mus_spicilegus ENSMSIG00000025453
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029617
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029618
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012846
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012845
meriones_unguiculatus ENSMUGG00000007733
peromyscus_maniculatus_bairdii ENSPEMG00000012481
microtus_ochrogaster ENSMOCG00000011273
cricetulus_griseus_crigri_1.0 ENSCGRG00000013658
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017564
cricetulus_griseus_crigri-picr ENSCGRG00015023435
mesocricetus_auratus ENSMAUG00000015998
nannospalax_galili ENSNGAG00000011871
jaculus_jaculus ENSJJAG00000010505
marmota_marmota_marmota ENSMMMG00000004451
urocitellus_parryii ENSUPAG00010017754
castor_canadensis ENSCCNG00000029420
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007012
capra_hircus ENSCHIG00000024445
ovis_aries ENSOARG00000019871
bos_taurus ENSBTAG00000054003
bison_bison_bison ENSBBBG00000021907
sus_scrofa ENSSSCG00000039649
ursus_maritimus ENSUMAG00000010274
ursus_americanus ENSUAMG00000006253
neovison_vison ENSNVIG00000022700
vulpes_vulpes ENSVVUG00000011260
canis_lupus_dingo ENSCAFG00020019166
panthera_pardus ENSPPRG00000012127
panthera_tigris_altaica ENSPTIG00000009925
felis_catus ENSFCAG00000038572
equus_caballus ENSECAG00000036823
equus_asinus_asinus ENSEASG00005009829
