vulpes_vulpes ENSVVUG00000017481
canis_lupus_dingo ENSCAFG00020021141
mustela_putorius_furo ENSMPUG00000008329
bison_bison_bison ENSBBBG00000006830
bos_mutus ENSBMUG00000017258
capra_hircus ENSCHIG00000018182
equus_asinus_asinus ENSEASG00005018161
pan_paniscus ENSPPAG00000010108
pan_troglodytes ENSPTRG00000048702
gorilla_gorilla ENSGGOG00000006956
homo_sapiens ENSG00000262576
pongo_abelii ENSPPYG00000029754
nomascus_leucogenys ENSNLEG00000009504
theropithecus_gelada ENSTGEG00000005340
theropithecus_gelada ENSTGEG00000005435
papio_anubis ENSPANG00000029408
macaca_fascicularis ENSMFAG00000033704
macaca_nemestrina ENSMNEG00000029363
cercocebus_atys ENSCATG00000043500
piliocolobus_tephrosceles ENSPTEG00000001748
piliocolobus_tephrosceles ENSPTEG00000001801
piliocolobus_tephrosceles ENSPTEG00000006278
piliocolobus_tephrosceles ENSPTEG00000006367
colobus_angolensis_palliatus ENSCANG00000019834
rhinopithecus_bieti ENSRBIG00000037667
rhinopithecus_roxellana ENSRROG00000031416
cebus_capucinus_imitator ENSCCAG00000023813
callithrix_jacchus ENSCJAG00000036751
aotus_nancymaae ENSANAG00000033605
carlito_syrichta ENSTSYG00000010126
microcebus_murinus ENSMICG00000011479
microtus_ochrogaster ENSMOCG00000013207
mesocricetus_auratus ENSMAUG00000017243
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000103677
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023095
mus_spicilegus ENSMSIG00000002681
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022185
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018919
rattus_norvegicus ENSRNOG00000042322
nannospalax_galili ENSNGAG00000009895
jaculus_jaculus ENSJJAG00000011620
dipodomys_ordii ENSDORG00000016006
cavia_aperea ENSCAPG00000006288
octodon_degus ENSODEG00000012326
