pteropus_vampyrus ENSPVAG00000013114
erinaceus_europaeus ENSEEUG00000010158
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015386
echinops_telfairi ENSETEG00000002343
procavia_capensis ENSPCAG00000014942
dipodomys_ordii ENSDORG00000011070
tupaia_belangeri ENSTBEG00000000102
choloepus_hoffmanni ENSCHOG00000000988
dasypus_novemcinctus ENSDNOG00000006738
loxodonta_africana ENSLAFG00000013895
ovis_aries ENSOARG00000000399
capra_hircus ENSCHIG00000016175
bos_mutus ENSBMUG00000007506
bos_taurus ENSBTAG00000012022
bison_bison_bison ENSBBBG00000010632
tursiops_truncatus ENSTTRG00000015843
sus_scrofa ENSSSCG00000027477
vicugna_pacos ENSVPAG00000011112
equus_caballus ENSECAG00000024651
equus_asinus_asinus ENSEASG00005015610
pan_troglodytes ENSPTRG00000007333
pan_paniscus ENSPPAG00000039206
homo_sapiens ENSG00000167202
gorilla_gorilla ENSGGOG00000009034
pongo_abelii ENSPPYG00000006687
nomascus_leucogenys ENSNLEG00000008394
macaca_nemestrina ENSMNEG00000041091
macaca_fascicularis ENSMFAG00000031378
macaca_mulatta ENSMMUG00000009907
cercocebus_atys ENSCATG00000036403
mandrillus_leucophaeus ENSMLEG00000034795
theropithecus_gelada ENSTGEG00000000816
papio_anubis ENSPANG00000015846
chlorocebus_sabaeus ENSCSAG00000014743
piliocolobus_tephrosceles ENSPTEG00000010281
colobus_angolensis_palliatus ENSCANG00000032381
rhinopithecus_bieti ENSRBIG00000035899
rhinopithecus_roxellana ENSRROG00000043265
cebus_capucinus_imitator ENSCCAG00000027403
saimiri_boliviensis_boliviensis ENSSBOG00000013439
callithrix_jacchus ENSCJAG00000010097
aotus_nancymaae ENSANAG00000021509
carlito_syrichta ENSTSYG00000000295
otolemur_garnettii ENSOGAG00000014091
mus_spicilegus ENSMSIG00000026428
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033659
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037410
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032519
rattus_norvegicus ENSRNOG00000014543
meriones_unguiculatus ENSMUGG00000007770
cricetulus_griseus_crigri_1.0 ENSCGRG00000004270
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018935
cricetulus_griseus_crigri-picr ENSCGRG00015007050
mesocricetus_auratus ENSMAUG00000000447
microtus_ochrogaster ENSMOCG00000010939
peromyscus_maniculatus_bairdii ENSPEMG00000000960
nannospalax_galili ENSNGAG00000011997
chinchilla_lanigera ENSCLAG00000008200
octodon_degus ENSODEG00000014294
cavia_porcellus ENSCPOG00000001558
cavia_aperea ENSCAPG00000002918
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012349
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001762
fukomys_damarensis ENSFDAG00000010993
urocitellus_parryii ENSUPAG00010023615
ictidomys_tridecemlineatus ENSSTOG00000003679
spermophilus_dauricus ENSSDAG00000014882
marmota_marmota_marmota ENSMMMG00000000961
ursus_maritimus ENSUMAG00000011010
ursus_americanus ENSUAMG00000018246
ailuropoda_melanoleuca ENSAMEG00000012429
mustela_putorius_furo ENSMPUG00000015422
neovison_vison ENSNVIG00000010110
canis_lupus_dingo ENSCAFG00020015461
canis_lupus_familiaris ENSCAFG00000014159
vulpes_vulpes ENSVVUG00000001659
panthera_pardus ENSPPRG00000009942
panthera_tigris_altaica ENSPTIG00000011999
felis_catus ENSFCAG00000010511
colobus_angolensis_palliatus ENSCANG00000017633
rhinopithecus_roxellana ENSRROG00000036836
