rhinopithecus_roxellana ENSRROG00000033544
pongo_abelii ENSPPYG00000020441
cebus_capucinus_imitator ENSCCAG00000033690
tupaia_belangeri ENSTBEG00000006701
cricetulus_griseus_crigri_1.0 ENSCGRG00000007904
nannospalax_galili ENSNGAG00000018164
urocitellus_parryii ENSUPAG00010005983
choloepus_hoffmanni ENSCHOG00000005750
sorex_araneus ENSSARG00000001114
notamacropus_eugenii ENSMEUG00000004225
zonotrichia_albicollis ENSZALG00000001989
lepidothrix_coronata ENSLCOG00000013980
calidris_pugnax ENSCPUG00000013663
anabas_testudineus ENSATEG00000015627
amphiprion_ocellaris ENSAOCG00000002754
hippocampus_comes ENSHCOG00000004190
eptatretus_burgeri ENSEBUG00000003489
