spermophilus_dauricus ENSSDAG00000019542
urocitellus_parryii ENSUPAG00010015653
marmota_marmota_marmota ENSMMMG00000001818
castor_canadensis ENSCCNG00000006949
cricetulus_griseus_crigri-picr ENSCGRG00015019364
cricetulus_griseus_crigri_1.0 ENSCGRG00000017182
peromyscus_maniculatus_bairdii ENSPEMG00000030105
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039146
mus_spicilegus ENSMSIG00000022580
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026689
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025736
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027187
rattus_norvegicus ENSRNOG00000049994
meriones_unguiculatus ENSMUGG00000026565
oryctolagus_cuniculus ENSOCUG00000024378
pan_paniscus ENSPPAG00000032207
pan_troglodytes ENSPTRG00000000892
gorilla_gorilla ENSGGOG00000013652
homo_sapiens ENSG00000137959
pongo_abelii ENSPPYG00000001215
cercocebus_atys ENSCATG00000030541
mandrillus_leucophaeus ENSMLEG00000025798
papio_anubis ENSPANG00000009471
theropithecus_gelada ENSTGEG00000018658
chlorocebus_sabaeus ENSCSAG00000001407
macaca_mulatta ENSMMUG00000001569
macaca_fascicularis ENSMFAG00000035946
macaca_nemestrina ENSMNEG00000010138
rhinopithecus_roxellana ENSRROG00000036097
rhinopithecus_bieti ENSRBIG00000028526
colobus_angolensis_palliatus ENSCANG00000032603
piliocolobus_tephrosceles ENSPTEG00000033866
saimiri_boliviensis_boliviensis ENSSBOG00000005268
cebus_capucinus_imitator ENSCCAG00000034830
aotus_nancymaae ENSANAG00000025193
carlito_syrichta ENSTSYG00000006778
prolemur_simus ENSPSMG00000003077
microcebus_murinus ENSMICG00000031708
tupaia_belangeri ENSTBEG00000001012
erinaceus_europaeus ENSEEUG00000006878
sorex_araneus ENSSARG00000013706
myotis_lucifugus ENSMLUG00000008652
equus_caballus ENSECAG00000009618
equus_asinus_asinus ENSEASG00005016968
ursus_americanus ENSUAMG00000018902
ursus_maritimus ENSUMAG00000005961
ailuropoda_melanoleuca ENSAMEG00000018246
mustela_putorius_furo ENSMPUG00000010755
neovison_vison ENSNVIG00000020622
canis_lupus_familiaris ENSCAFG00000020343
canis_lupus_dingo ENSCAFG00020015203
vulpes_vulpes ENSVVUG00000030022
felis_catus ENSFCAG00000013210
panthera_tigris_altaica ENSPTIG00000018442
bos_mutus ENSBMUG00000008909
bos_taurus ENSBTAG00000030932
bison_bison_bison ENSBBBG00000006936
capra_hircus ENSCHIG00000018536
ovis_aries ENSOARG00000013421
vicugna_pacos ENSVPAG00000009191
sus_scrofa ENSSSCG00000027660
dasypus_novemcinctus ENSDNOG00000033462
choloepus_hoffmanni ENSCHOG00000010186
loxodonta_africana ENSLAFG00000018293
