urocitellus_parryii ENSUPAG00010012217
spermophilus_dauricus ENSSDAG00000017514
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004484
cavia_porcellus ENSCPOG00000032472
chinchilla_lanigera ENSCLAG00000003169
octodon_degus ENSODEG00000003426
castor_canadensis ENSCCNG00000014878
dipodomys_ordii ENSDORG00000027035
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011737
cricetulus_griseus_crigri-picr ENSCGRG00015011477
peromyscus_maniculatus_bairdii ENSPEMG00000023890
mesocricetus_auratus ENSMAUG00000000171
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034263
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045179
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033109
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031651
microtus_ochrogaster ENSMOCG00000009062
meriones_unguiculatus ENSMUGG00000019462
jaculus_jaculus ENSJJAG00000012521
homo_sapiens ENSG00000134595
pan_troglodytes ENSPTRG00000044005
pongo_abelii ENSPPYG00000020784
nomascus_leucogenys ENSNLEG00000018830
macaca_nemestrina ENSMNEG00000025961
macaca_mulatta ENSMMUG00000013179
macaca_fascicularis ENSMFAG00000031308
papio_anubis ENSPANG00000014880
cercocebus_atys ENSCATG00000022430
theropithecus_gelada ENSTGEG00000005343
chlorocebus_sabaeus ENSCSAG00000000291
piliocolobus_tephrosceles ENSPTEG00000000859
callithrix_jacchus ENSCJAG00000038803
saimiri_boliviensis_boliviensis ENSSBOG00000026176
cebus_capucinus_imitator ENSCCAG00000017521
aotus_nancymaae ENSANAG00000034162
carlito_syrichta ENSTSYG00000035642
prolemur_simus ENSPSMG00000016701
otolemur_garnettii ENSOGAG00000025781
oryctolagus_cuniculus ENSOCUG00000016779
neovison_vison ENSNVIG00000022644
mustela_putorius_furo ENSMPUG00000001759
canis_lupus_familiaris ENSCAFG00000019026
canis_lupus_dingo ENSCAFG00020024439
panthera_pardus ENSPPRG00000011906
equus_asinus_asinus ENSEASG00005014181
equus_caballus ENSECAG00000029227
ailuropoda_melanoleuca ENSAMEG00000012648
bos_taurus ENSBTAG00000049481
capra_hircus ENSCHIG00000000368
sus_scrofa ENSSSCG00000022501
pteropus_vampyrus ENSPVAG00000003166
myotis_lucifugus ENSMLUG00000000946
dasypus_novemcinctus ENSDNOG00000048002
loxodonta_africana ENSLAFG00000030155
procavia_capensis ENSPCAG00000009165
sarcophilus_harrisii ENSSHAG00000007719
phascolarctos_cinereus ENSPCIG00000030420
monodelphis_domestica ENSMODG00000013932
ornithorhynchus_anatinus ENSOANG00000002448
gopherus_agassizii ENSGAGG00000019985
chelonoidis_abingdonii ENSCABG00000011008
chrysemys_picta_bellii ENSCPBG00000016967
pelodiscus_sinensis ENSPSIG00000000846
crocodylus_porosus ENSCPRG00005006971
notechis_scutatus ENSNSUG00000006807
notechis_scutatus ENSNSUG00000006815
notechis_scutatus ENSNSUG00000006821
notechis_scutatus ENSNSUG00000006809
sphenodon_punctatus ENSSPUG00000014219
taeniopygia_guttata ENSTGUG00000006268
