ficedula_albicollis ENSFALG00000011805
parus_major ENSPMJG00000004451
taeniopygia_guttata ENSTGUG00000000086
junco_hyemalis ENSJHYG00000014339
manacus_vitellinus ENSMVIG00005019705
lepidothrix_coronata ENSLCOG00000001331
melopsittacus_undulatus ENSMUNG00000004171
calidris_pugnax ENSCPUG00000013015
calidris_pygmaea ENSCPGG00000018505
gallus_gallus ENSGALG00000000619
coturnix_japonica ENSCJPG00005006125
meleagris_gallopavo ENSMGAG00000006435
numida_meleagris ENSNMEG00000007763
anser_brachyrhynchus ENSABRG00000005894
dromaius_novaehollandiae ENSDNVG00000005383
apteryx_haastii ENSAHAG00000008894
apteryx_rowi ENSARWG00000015786
apteryx_owenii ENSAOWG00000014460
nothoprocta_perdicaria ENSNPEG00000011048
lonchura_striata_domestica ENSLSDG00000014562
serinus_canaria ENSSCAG00000000791
zonotrichia_albicollis ENSZALG00000001576
anas_platyrhynchos_platyrhynchos ENSAPLG00000011184
cyanistes_caeruleus ENSCCEG00000022167
crocodylus_porosus ENSCPRG00005013045
chelonoidis_abingdonii ENSCABG00000003439
gopherus_agassizii ENSGAGG00000012558
chrysemys_picta_bellii ENSCPBG00000017058
pelodiscus_sinensis ENSPSIG00000009486
notechis_scutatus ENSNSUG00000009574
notechis_scutatus ENSNSUG00000006832
pogona_vitticeps ENSPVIG00000012815
salvator_merianae ENSSMRG00000019523
sphenodon_punctatus ENSSPUG00000002237
notamacropus_eugenii ENSMEUG00000013133
phascolarctos_cinereus ENSPCIG00000020509
sarcophilus_harrisii ENSSHAG00000007289
pan_troglodytes ENSPTRG00000010420
pan_paniscus ENSPPAG00000034759
homo_sapiens ENSG00000167772
gorilla_gorilla ENSGGOG00000014506
pongo_abelii ENSPPYG00000009503
nomascus_leucogenys ENSNLEG00000001646
mandrillus_leucophaeus ENSMLEG00000030718
theropithecus_gelada ENSTGEG00000022360
cercocebus_atys ENSCATG00000040565
macaca_fascicularis ENSMFAG00000003517
macaca_mulatta ENSMMUG00000000698
macaca_nemestrina ENSMNEG00000039040
papio_anubis ENSPANG00000024228
chlorocebus_sabaeus ENSCSAG00000008029
rhinopithecus_roxellana ENSRROG00000029593
rhinopithecus_bieti ENSRBIG00000041585
piliocolobus_tephrosceles ENSPTEG00000031228
callithrix_jacchus ENSCJAG00000010768
saimiri_boliviensis_boliviensis ENSSBOG00000036274
cebus_capucinus_imitator ENSCCAG00000025028
aotus_nancymaae ENSANAG00000033820
carlito_syrichta ENSTSYG00000037030
prolemur_simus ENSPSMG00000018593
propithecus_coquereli ENSPCOG00000016753
microcebus_murinus ENSMICG00000002426
otolemur_garnettii ENSOGAG00000003225
oryctolagus_cuniculus ENSOCUG00000016603
ochotona_princeps ENSOPRG00000003233
capra_hircus ENSCHIG00000023643
ovis_aries ENSOARG00000003792
bos_taurus ENSBTAG00000002473
bos_mutus ENSBMUG00000025787
bison_bison_bison ENSBBBG00000005269
tursiops_truncatus ENSTTRG00000009738
sus_scrofa ENSSSCG00000013599
pteropus_vampyrus ENSPVAG00000009644
myotis_lucifugus ENSMLUG00000023180
ursus_americanus ENSUAMG00000006653
ursus_maritimus ENSUMAG00000014616
ailuropoda_melanoleuca ENSAMEG00000004937
neovison_vison ENSNVIG00000017269
mustela_putorius_furo ENSMPUG00000007272
canis_lupus_dingo ENSCAFG00020022186
canis_lupus_familiaris ENSCAFG00000018506
vulpes_vulpes ENSVVUG00000025211
panthera_tigris_altaica ENSPTIG00000013109
panthera_pardus ENSPPRG00000010336
felis_catus ENSFCAG00000015215
equus_asinus_asinus ENSEASG00005003697
equus_caballus ENSECAG00000018927
dasypus_novemcinctus ENSDNOG00000036696
choloepus_hoffmanni ENSCHOG00000008780
loxodonta_africana ENSLAFG00000005770
procavia_capensis ENSPCAG00000001799
echinops_telfairi ENSETEG00000003102
castor_canadensis ENSCCNG00000006104
dipodomys_ordii ENSDORG00000007178
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022328
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000002289
mus_spicilegus ENSMSIG00000008875
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021416
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020421
rattus_norvegicus ENSRNOG00000007545
meriones_unguiculatus ENSMUGG00000012128
microtus_ochrogaster ENSMOCG00000007122
peromyscus_maniculatus_bairdii ENSPEMG00000005356
cricetulus_griseus_crigri_1.0 ENSCGRG00000011479
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012499
cricetulus_griseus_crigri-picr ENSCGRG00015025408
mesocricetus_auratus ENSMAUG00000014673
nannospalax_galili ENSNGAG00000014801
jaculus_jaculus ENSJJAG00000018006
urocitellus_parryii ENSUPAG00010004365
marmota_marmota_marmota ENSMMMG00000021540
spermophilus_dauricus ENSSDAG00000020523
ictidomys_tridecemlineatus ENSSTOG00000008075
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002078
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014763
fukomys_damarensis ENSFDAG00000011519
chinchilla_lanigera ENSCLAG00000003396
cavia_porcellus ENSCPOG00000008042
octodon_degus ENSODEG00000011879
ornithorhynchus_anatinus ENSOANG00000014809
xenopus_tropicalis ENSXETG00000021893
latimeria_chalumnae ENSLACG00000017018
takifugu_rubripes ENSTRUG00000009245
tetraodon_nigroviridis ENSTNIG00000011062
mola_mola ENSMMOG00000006247
scophthalmus_maximus ENSSMAG00000005677
cynoglossus_semilaevis ENSCSEG00000011727
seriola_dumerili ENSSDUG00000012737
seriola_lalandi_dorsalis ENSSLDG00000021304
labrus_bergylta ENSLBEG00000013562
mastacembelus_armatus ENSMAMG00000005817
monopterus_albus ENSMALG00000000765
anabas_testudineus ENSATEG00000018257
gasterosteus_aculeatus ENSGACG00000015561
xiphophorus_maculatus ENSXMAG00000013934
xiphophorus_couchianus ENSXCOG00000007155
gambusia_affinis ENSGAFG00000012929
poecilia_formosa ENSPFOG00000002669
poecilia_latipinna ENSPLAG00000009084
poecilia_mexicana ENSPMEG00000003181
poecilia_reticulata ENSPREG00000008790
fundulus_heteroclitus ENSFHEG00000005863
cyprinodon_variegatus ENSCVAG00000012650
kryptolebias_marmoratus ENSKMAG00000015776
oryzias_latipes_asm223471v1 ENSORLG00020022107
oryzias_latipes_asm223469v1 ENSORLG00015005711
oryzias_latipes_asm223467v1 ENSORLG00000005296
oryzias_melastigma ENSOMEG00000017136
amphiprion_percula ENSAPEG00000015840
amphiprion_ocellaris ENSAOCG00000019076
acanthochromis_polyacanthus ENSAPOG00000015168
stegastes_partitus ENSSPAG00000000026
pundamilia_nyererei ENSPNYG00000003184
haplochromis_burtoni ENSHBUG00000011327
astatotilapia_calliptera ENSACLG00000008059
maylandia_zebra ENSMZEG00005003990
oreochromis_niloticus ENSONIG00000010501
neolamprologus_brichardi ENSNBRG00000001450
amphilophus_citrinellus ENSACIG00000020557
hippocampus_comes ENSHCOG00000005874
periophthalmus_magnuspinnatus ENSPMGG00000017472
gadus_morhua ENSGMOG00000010268
esox_lucius ENSELUG00000001526
