tupaia_belangeri ENSTBEG00000017670
sorex_araneus ENSSARG00000010964
echinops_telfairi ENSETEG00000016229
gopherus_agassizii ENSGAGG00000020665
latimeria_chalumnae ENSLACG00000011840
seriola_dumerili ENSSDUG00000015723
seriola_lalandi_dorsalis ENSSLDG00000000607
scophthalmus_maximus ENSSMAG00000007294
monopterus_albus ENSMALG00000011363
mastacembelus_armatus ENSMAMG00000009475
labrus_bergylta ENSLBEG00000019390
anabas_testudineus ENSATEG00000000128
mola_mola ENSMMOG00000012828
gasterosteus_aculeatus ENSGACG00000010172
poecilia_formosa ENSPFOG00000000470
poecilia_mexicana ENSPMEG00000008899
poecilia_latipinna ENSPLAG00000019015
poecilia_reticulata ENSPREG00000018950
xiphophorus_maculatus ENSXMAG00000007607
xiphophorus_couchianus ENSXCOG00000007940
gambusia_affinis ENSGAFG00000006497
fundulus_heteroclitus ENSFHEG00000020022
cyprinodon_variegatus ENSCVAG00000014694
kryptolebias_marmoratus ENSKMAG00000019212
oryzias_latipes_asm223471v1 ENSORLG00020004050
oryzias_latipes_asm223467v1 ENSORLG00000008887
oryzias_latipes_asm223469v1 ENSORLG00015020348
oryzias_melastigma ENSOMEG00000013792
amphiprion_percula ENSAPEG00000006488
amphiprion_ocellaris ENSAOCG00000021801
acanthochromis_polyacanthus ENSAPOG00000016889
stegastes_partitus ENSSPAG00000004324
astatotilapia_calliptera ENSACLG00000009066
maylandia_zebra ENSMZEG00005027090
pundamilia_nyererei ENSPNYG00000014597
haplochromis_burtoni ENSHBUG00000007665
oreochromis_niloticus ENSONIG00000012416
neolamprologus_brichardi ENSNBRG00000020132
amphilophus_citrinellus ENSACIG00000013353
hippocampus_comes ENSHCOG00000001985
tetraodon_nigroviridis ENSTNIG00000015007
takifugu_rubripes ENSTRUG00000020161
cynoglossus_semilaevis ENSCSEG00000002701
cynoglossus_semilaevis ENSCSEG00000002715
periophthalmus_magnuspinnatus ENSPMGG00000005961
gadus_morhua ENSGMOG00000003110
esox_lucius ENSELUG00000010752
astyanax_mexicanus ENSAMXG00000014901
pygocentrus_nattereri ENSPNAG00000010730
ictalurus_punctatus ENSIPUG00000024983
danio_rerio ENSDARG00000008703
scleropages_formosus ENSSFOG00015019077
paramormyrops_kingsleyae ENSPKIG00000000951
lepisosteus_oculatus ENSLOCG00000014206
