nothoprocta_perdicaria ENSNPEG00000010180
dromaius_novaehollandiae ENSDNVG00000003784
apteryx_haastii ENSAHAG00000006856
apteryx_owenii ENSAOWG00000012260
apteryx_rowi ENSARWG00000016014
gallus_gallus ENSGALG00000045762
coturnix_japonica ENSCJPG00005009093
numida_meleagris ENSNMEG00000011279
anas_platyrhynchos_platyrhynchos ENSAPLG00000026145
melopsittacus_undulatus ENSMUNG00000014563
calidris_pugnax ENSCPUG00000000722
calidris_pygmaea ENSCPGG00000005303
manacus_vitellinus ENSMVIG00005018251
lepidothrix_coronata ENSLCOG00000006577
zonotrichia_albicollis ENSZALG00000006920
cyanistes_caeruleus ENSCCEG00000005362
lonchura_striata_domestica ENSLSDG00000002415
junco_hyemalis ENSJHYG00000000350
parus_major ENSPMJG00000003157
serinus_canaria ENSSCAG00000005849
gopherus_agassizii ENSGAGG00000017542
chelonoidis_abingdonii ENSCABG00000022866
chrysemys_picta_bellii ENSCPBG00000020528
pelodiscus_sinensis ENSPSIG00000014685
crocodylus_porosus ENSCPRG00005019080
pogona_vitticeps ENSPVIG00000024846
anolis_carolinensis ENSACAG00000028364
notechis_scutatus ENSNSUG00000003617
salvator_merianae ENSSMRG00000014770
xenopus_tropicalis ENSXETG00000032012
latimeria_chalumnae ENSLACG00000001165
monopterus_albus ENSMALG00000017370
cynoglossus_semilaevis ENSCSEG00000018274
oryzias_latipes_asm223467v1 ENSORLG00000013253
oryzias_latipes_asm223471v1 ENSORLG00020009949
oryzias_latipes_asm223469v1 ENSORLG00015020976
oryzias_melastigma ENSOMEG00000022015
scophthalmus_maximus ENSSMAG00000006909
labrus_bergylta ENSLBEG00000012577
tetraodon_nigroviridis ENSTNIG00000011503
anabas_testudineus ENSATEG00000005806
mola_mola ENSMMOG00000000611
astatotilapia_calliptera ENSACLG00000012044
maylandia_zebra ENSMZEG00005006254
haplochromis_burtoni ENSHBUG00000013739
pundamilia_nyererei ENSPNYG00000019252
neolamprologus_brichardi ENSNBRG00000005747
amphilophus_citrinellus ENSACIG00000016418
hippocampus_comes ENSHCOG00000006388
acanthochromis_polyacanthus ENSAPOG00000001289
amphiprion_percula ENSAPEG00000000688
stegastes_partitus ENSSPAG00000012976
fundulus_heteroclitus ENSFHEG00000005239
cyprinodon_variegatus ENSCVAG00000000743
xiphophorus_couchianus ENSXCOG00000017912
xiphophorus_maculatus ENSXMAG00000001278
gambusia_affinis ENSGAFG00000010077
poecilia_reticulata ENSPREG00000020179
poecilia_formosa ENSPFOG00000006511
kryptolebias_marmoratus ENSKMAG00000016944
seriola_dumerili ENSSDUG00000001981
seriola_lalandi_dorsalis ENSSLDG00000020763
mastacembelus_armatus ENSMAMG00000005292
esox_lucius ENSELUG00000007249
astyanax_mexicanus ENSAMXG00000025001
pygocentrus_nattereri ENSPNAG00000019354
ictalurus_punctatus ENSIPUG00000000829
danio_rerio ENSDARG00000105972
scleropages_formosus ENSSFOG00015011250
