cavia_aperea ENSCAPG00000010769
cavia_porcellus ENSCPOG00000002209
octodon_degus ENSODEG00000015682
chinchilla_lanigera ENSCLAG00000013525
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014029
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015801
fukomys_damarensis ENSFDAG00000011025
ictidomys_tridecemlineatus ENSSTOG00000021574
spermophilus_dauricus ENSSDAG00000005593
urocitellus_parryii ENSUPAG00010019326
marmota_marmota_marmota ENSMMMG00000004525
peromyscus_maniculatus_bairdii ENSPEMG00000001880
mesocricetus_auratus ENSMAUG00000021248
microtus_ochrogaster ENSMOCG00000003232
mus_spicilegus ENSMSIG00000004069
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030597
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074220
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029501
rattus_norvegicus ENSRNOG00000020777
meriones_unguiculatus ENSMUGG00000012168
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012735
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022691
cricetulus_griseus_crigri-picr ENSCGRG00015009134
nannospalax_galili ENSNGAG00000012275
jaculus_jaculus ENSJJAG00000024392
castor_canadensis ENSCCNG00000009507
ochotona_princeps ENSOPRG00000001326
tupaia_belangeri ENSTBEG00000005166
pan_troglodytes ENSPTRG00000010898
pan_paniscus ENSPPAG00000033307
homo_sapiens ENSG00000161298
gorilla_gorilla ENSGGOG00000009292
pongo_abelii ENSPPYG00000009904
nomascus_leucogenys ENSNLEG00000003063
piliocolobus_tephrosceles ENSPTEG00000017954
rhinopithecus_roxellana ENSRROG00000034531
colobus_angolensis_palliatus ENSCANG00000029017
cercocebus_atys ENSCATG00000031255
mandrillus_leucophaeus ENSMLEG00000040106
papio_anubis ENSPANG00000035561
macaca_fascicularis ENSMFAG00000043559
macaca_nemestrina ENSMNEG00000039690
macaca_mulatta ENSMMUG00000016449
chlorocebus_sabaeus ENSCSAG00000004201
callithrix_jacchus ENSCJAG00000009464
saimiri_boliviensis_boliviensis ENSSBOG00000021633
cebus_capucinus_imitator ENSCCAG00000029221
aotus_nancymaae ENSANAG00000035208
carlito_syrichta ENSTSYG00000014470
propithecus_coquereli ENSPCOG00000022688
prolemur_simus ENSPSMG00000001894
microcebus_murinus ENSMICG00000037643
otolemur_garnettii ENSOGAG00000025946
pteropus_vampyrus ENSPVAG00000014052
myotis_lucifugus ENSMLUG00000015074
equus_caballus ENSECAG00000018834
equus_asinus_asinus ENSEASG00005002285
tursiops_truncatus ENSTTRG00000001414
sus_scrofa ENSSSCG00000002933
bos_mutus ENSBMUG00000019034
bos_taurus ENSBTAG00000008084
bison_bison_bison ENSBBBG00000022122
capra_hircus ENSCHIG00000017739
ovis_aries ENSOARG00000005318
vicugna_pacos ENSVPAG00000009825
vicugna_pacos ENSVPAG00000009277
sorex_araneus ENSSARG00000009413
ursus_maritimus ENSUMAG00000020868
ursus_americanus ENSUAMG00000020566
ailuropoda_melanoleuca ENSAMEG00000001055
neovison_vison ENSNVIG00000015950
mustela_putorius_furo ENSMPUG00000005592
canis_lupus_dingo ENSCAFG00020018091
canis_lupus_familiaris ENSCAFG00000006524
vulpes_vulpes ENSVVUG00000013563
panthera_pardus ENSPPRG00000023141
panthera_tigris_altaica ENSPTIG00000004148
felis_catus ENSFCAG00000026545
choloepus_hoffmanni ENSCHOG00000004936
dasypus_novemcinctus ENSDNOG00000032742
loxodonta_africana ENSLAFG00000011372
procavia_capensis ENSPCAG00000004980
echinops_telfairi ENSETEG00000007677
