castor_canadensis ENSCCNG00000030880
dipodomys_ordii ENSDORG00000024036
meriones_unguiculatus ENSMUGG00000007694
urocitellus_parryii ENSUPAG00010021104
chinchilla_lanigera ENSCLAG00000016218
octodon_degus ENSODEG00000011596
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017273
oryctolagus_cuniculus ENSOCUG00000022392
ochotona_princeps ENSOPRG00000006956
gorilla_gorilla ENSGGOG00000006672
homo_sapiens ENSG00000119227
pan_troglodytes ENSPTRG00000045912
pan_paniscus ENSPPAG00000040999
pongo_abelii ENSPPYG00000014451
theropithecus_gelada ENSTGEG00000026742
papio_anubis ENSPANG00000004650
cercocebus_atys ENSCATG00000042638
chlorocebus_sabaeus ENSCSAG00000008709
macaca_mulatta ENSMMUG00000031409
macaca_fascicularis ENSMFAG00000041828
rhinopithecus_bieti ENSRBIG00000029378
rhinopithecus_roxellana ENSRROG00000029507
saimiri_boliviensis_boliviensis ENSSBOG00000031263
callithrix_jacchus ENSCJAG00000044486
prolemur_simus ENSPSMG00000007417
microcebus_murinus ENSMICG00000049336
tupaia_belangeri ENSTBEG00000015270
canis_lupus_familiaris ENSCAFG00000013105
neovison_vison ENSNVIG00000007890
choloepus_hoffmanni ENSCHOG00000001176
cricetulus_griseus_crigri-picr ENSCGRG00015022252
meriones_unguiculatus ENSMUGG00000007688
echinops_telfairi ENSETEG00000002791
