ictidomys_tridecemlineatus ENSSTOG00000032887
spermophilus_dauricus ENSSDAG00000000089
castor_canadensis ENSCCNG00000008667
oryctolagus_cuniculus ENSOCUG00000029380
homo_sapiens ENSG00000197935
gorilla_gorilla ENSGGOG00000026070
pan_paniscus ENSPPAG00000039079
pan_troglodytes ENSPTRG00000017885
nomascus_leucogenys ENSNLEG00000004619
pongo_abelii ENSPPYG00000016380
colobus_angolensis_palliatus ENSCANG00000021982
piliocolobus_tephrosceles ENSPTEG00000036197
rhinopithecus_bieti ENSRBIG00000030728
rhinopithecus_roxellana ENSRROG00000032412
macaca_nemestrina ENSMNEG00000042475
macaca_fascicularis ENSMFAG00000041393
macaca_mulatta ENSMMUG00000006510
chlorocebus_sabaeus ENSCSAG00000008062
papio_anubis ENSPANG00000022432
theropithecus_gelada ENSTGEG00000003904
cercocebus_atys ENSCATG00000037014
mandrillus_leucophaeus ENSMLEG00000030184
cebus_capucinus_imitator ENSCCAG00000028328
saimiri_boliviensis_boliviensis ENSSBOG00000008622
callithrix_jacchus ENSCJAG00000012397
aotus_nancymaae ENSANAG00000027509
carlito_syrichta ENSTSYG00000031822
otolemur_garnettii ENSOGAG00000007662
bos_mutus ENSBMUG00000002263
bos_taurus ENSBTAG00000008349
bison_bison_bison ENSBBBG00000003327
capra_hircus ENSCHIG00000010646
ovis_aries ENSOARG00000017325
tursiops_truncatus ENSTTRG00000008522
sus_scrofa ENSSSCG00000036405
vicugna_pacos ENSVPAG00000000052
canis_lupus_familiaris ENSCAFG00000012078
canis_lupus_dingo ENSCAFG00020003136
vulpes_vulpes ENSVVUG00000020114
felis_catus ENSFCAG00000040990
ailuropoda_melanoleuca ENSAMEG00000013853
ursus_americanus ENSUAMG00000023956
equus_asinus_asinus ENSEASG00005012151
equus_caballus ENSECAG00000020666
choloepus_hoffmanni ENSCHOG00000008423
dasypus_novemcinctus ENSDNOG00000040456
procavia_capensis ENSPCAG00000015631
echinops_telfairi ENSETEG00000007359
