mustela_putorius_furo ENSMPUG00000005568
neovison_vison ENSNVIG00000015921
ursus_americanus ENSUAMG00000008858
ursus_maritimus ENSUMAG00000020877
canis_lupus_familiaris ENSCAFG00000032199
canis_lupus_dingo ENSCAFG00020018086
vulpes_vulpes ENSVVUG00000013556
panthera_pardus ENSPPRG00000023834
panthera_tigris_altaica ENSPTIG00000005797
felis_catus ENSFCAG00000005199
equus_asinus_asinus ENSEASG00005002294
vicugna_pacos ENSVPAG00000008945
sus_scrofa ENSSSCG00000029170
bos_mutus ENSBMUG00000019090
bos_taurus ENSBTAG00000031686
bison_bison_bison ENSBBBG00000007683
capra_hircus ENSCHIG00000001451
ovis_aries ENSOARG00000005329
tursiops_truncatus ENSTTRG00000001412
sorex_araneus ENSSARG00000011339
cricetulus_griseus_crigri_1.0 ENSCGRG00000005170
cricetulus_griseus_crigri-picr ENSCGRG00015009093
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018566
mesocricetus_auratus ENSMAUG00000011017
peromyscus_maniculatus_bairdii ENSPEMG00000027156
microtus_ochrogaster ENSMOCG00000012744
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030595
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078768
mus_spicilegus ENSMSIG00000004040
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029499
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012733
rattus_norvegicus ENSRNOG00000048138
meriones_unguiculatus ENSMUGG00000012159
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029498
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058447
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012732
nannospalax_galili ENSNGAG00000022993
jaculus_jaculus ENSJJAG00000015026
dipodomys_ordii ENSDORG00000015427
urocitellus_parryii ENSUPAG00010019356
ictidomys_tridecemlineatus ENSSTOG00000025003
spermophilus_dauricus ENSSDAG00000005521
marmota_marmota_marmota ENSMMMG00000004481
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001797
fukomys_damarensis ENSFDAG00000003296
chinchilla_lanigera ENSCLAG00000013945
octodon_degus ENSODEG00000016061
cavia_porcellus ENSCPOG00000031537
cavia_aperea ENSCAPG00000015533
spermophilus_dauricus ENSSDAG00000005526
marmota_marmota_marmota ENSMMMG00000004493
urocitellus_parryii ENSUPAG00010019332
oryctolagus_cuniculus ENSOCUG00000005050
ochotona_princeps ENSOPRG00000004726
pan_troglodytes ENSPTRG00000010896
pan_paniscus ENSPPAG00000043343
gorilla_gorilla ENSGGOG00000003095
homo_sapiens ENSG00000186017
pongo_abelii ENSPPYG00000009902
nomascus_leucogenys ENSNLEG00000029217
colobus_angolensis_palliatus ENSCANG00000036784
piliocolobus_tephrosceles ENSPTEG00000017703
theropithecus_gelada ENSTGEG00000007703
chlorocebus_sabaeus ENSCSAG00000004210
mandrillus_leucophaeus ENSMLEG00000040163
macaca_fascicularis ENSMFAG00000035572
macaca_mulatta ENSMMUG00000000547
macaca_nemestrina ENSMNEG00000038819
papio_anubis ENSPANG00000000983
cebus_capucinus_imitator ENSCCAG00000035797
saimiri_boliviensis_boliviensis ENSSBOG00000024824
callithrix_jacchus ENSCJAG00000009444
aotus_nancymaae ENSANAG00000034441
carlito_syrichta ENSTSYG00000037116
microcebus_murinus ENSMICG00000006320
propithecus_coquereli ENSPCOG00000018455
otolemur_garnettii ENSOGAG00000001286
tupaia_belangeri ENSTBEG00000000459
equus_caballus ENSECAG00000030433
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030594
ovis_aries ENSOARG00000005430
dasypus_novemcinctus ENSDNOG00000038692
mus_spicilegus ENSMSIG00000000007
mus_spicilegus ENSMSIG00000027809
rattus_norvegicus ENSRNOG00000050995
choloepus_hoffmanni ENSCHOG00000002083
loxodonta_africana ENSLAFG00000017307
procavia_capensis ENSPCAG00000015429
echinops_telfairi ENSETEG00000014973
