nomascus_leucogenys ENSNLEG00000028397
cercocebus_atys ENSCATG00000031105
aotus_nancymaae ENSANAG00000022981
marmota_marmota_marmota ENSMMMG00000021280
ursus_americanus ENSUAMG00000014339
ursus_maritimus ENSUMAG00000008318
neovison_vison ENSNVIG00000004607
felis_catus ENSFCAG00000034843
panthera_pardus ENSPPRG00000002818
felis_catus ENSFCAG00000036768
panthera_pardus ENSPPRG00000022145
bos_taurus ENSBTAG00000053178
bison_bison_bison ENSBBBG00000008966
bos_taurus ENSBTAG00000053487
sus_scrofa ENSSSCG00000035391
vulpes_vulpes ENSVVUG00000028144
canis_lupus_dingo ENSCAFG00020022682
canis_lupus_dingo ENSCAFG00020019125
canis_lupus_dingo ENSCAFG00020006068
vulpes_vulpes ENSVVUG00000012900
ursus_americanus ENSUAMG00000006180
ursus_americanus ENSUAMG00000006207
ursus_maritimus ENSUMAG00000015461
urocitellus_parryii ENSUPAG00010019096
castor_canadensis ENSCCNG00000002530
phascolarctos_cinereus ENSPCIG00000012558
