colobus_angolensis_palliatus ENSCANG00000015930
piliocolobus_tephrosceles ENSPTEG00000024834
rhinopithecus_bieti ENSRBIG00000037077
rhinopithecus_roxellana ENSRROG00000036907
macaca_mulatta ENSMMUG00000038056
macaca_fascicularis ENSMFAG00000034291
macaca_nemestrina ENSMNEG00000044242
cercocebus_atys ENSCATG00000040578
chlorocebus_sabaeus ENSCSAG00000001995
papio_anubis ENSPANG00000032373
theropithecus_gelada ENSTGEG00000004618
mandrillus_leucophaeus ENSMLEG00000028533
homo_sapiens ENSG00000197608
gorilla_gorilla ENSGGOG00000002655
pan_troglodytes ENSPTRG00000023486
pan_paniscus ENSPPAG00000030538
nomascus_leucogenys ENSNLEG00000005986
cebus_capucinus_imitator ENSCCAG00000037212
saimiri_boliviensis_boliviensis ENSSBOG00000025842
aotus_nancymaae ENSANAG00000033365
microcebus_murinus ENSMICG00000028869
otolemur_garnettii ENSOGAG00000013524
marmota_marmota_marmota ENSMMMG00000020942
