spermophilus_dauricus ENSSDAG00000007705
cricetulus_griseus_crigri-picr ENSCGRG00015001191
propithecus_coquereli ENSPCOG00000014661
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016318
octodon_degus ENSODEG00000005914
mus_spicilegus ENSMSIG00000000997
rattus_norvegicus ENSRNOG00000057449
carlito_syrichta ENSTSYG00000033968
vulpes_vulpes ENSVVUG00000021424
canis_lupus_dingo ENSCAFG00020001865
neovison_vison ENSNVIG00000020645
panthera_pardus ENSPPRG00000002909
choloepus_hoffmanni ENSCHOG00000012129
apteryx_rowi ENSARWG00000008259
chelonoidis_abingdonii ENSCABG00000017717
