procavia_capensis ENSPCAG00000002933
echinops_telfairi ENSETEG00000001831
dasypus_novemcinctus ENSDNOG00000037780
chinchilla_lanigera ENSCLAG00000009277
octodon_degus ENSODEG00000015768
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019109
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008448
fukomys_damarensis ENSFDAG00000013975
cavia_porcellus ENSCPOG00000037286
spermophilus_dauricus ENSSDAG00000010377
marmota_marmota_marmota ENSMMMG00000013265
urocitellus_parryii ENSUPAG00010009151
ictidomys_tridecemlineatus ENSSTOG00000003709
castor_canadensis ENSCCNG00000018541
dipodomys_ordii ENSDORG00000026726
mus_spicilegus ENSMSIG00000019274
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024246
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000014873
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023329
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024786
rattus_norvegicus ENSRNOG00000005167
rattus_norvegicus ENSRNOG00000047187
meriones_unguiculatus ENSMUGG00000004007
peromyscus_maniculatus_bairdii ENSPEMG00000014529
microtus_ochrogaster ENSMOCG00000013406
cricetulus_griseus_crigri-picr ENSCGRG00015011202
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023343
cricetulus_griseus_crigri_1.0 ENSCGRG00000008948
mesocricetus_auratus ENSMAUG00000014720
nannospalax_galili ENSNGAG00000013897
jaculus_jaculus ENSJJAG00000009756
tupaia_belangeri ENSTBEG00000002156
homo_sapiens ENSG00000148291
gorilla_gorilla ENSGGOG00000014467
pan_troglodytes ENSPTRG00000021518
pan_paniscus ENSPPAG00000031707
pongo_abelii ENSPPYG00000019732
nomascus_leucogenys ENSNLEG00000031716
rhinopithecus_roxellana ENSRROG00000028551
rhinopithecus_bieti ENSRBIG00000037030
piliocolobus_tephrosceles ENSPTEG00000030934
colobus_angolensis_palliatus ENSCANG00000030938
macaca_fascicularis ENSMFAG00000031802
macaca_mulatta ENSMMUG00000022346
macaca_nemestrina ENSMNEG00000039327
theropithecus_gelada ENSTGEG00000011459
mandrillus_leucophaeus ENSMLEG00000042010
cercocebus_atys ENSCATG00000044351
papio_anubis ENSPANG00000026033
chlorocebus_sabaeus ENSCSAG00000015232
cebus_capucinus_imitator ENSCCAG00000021767
callithrix_jacchus ENSCJAG00000009532
saimiri_boliviensis_boliviensis ENSSBOG00000025952
aotus_nancymaae ENSANAG00000030803
carlito_syrichta ENSTSYG00000028568
propithecus_coquereli ENSPCOG00000020075
microcebus_murinus ENSMICG00000007604
otolemur_garnettii ENSOGAG00000031360
ursus_americanus ENSUAMG00000014639
ursus_maritimus ENSUMAG00000023152
neovison_vison ENSNVIG00000020928
canis_lupus_familiaris ENSCAFG00000019763
canis_lupus_dingo ENSCAFG00020001069
vulpes_vulpes ENSVVUG00000027329
panthera_pardus ENSPPRG00000003038
panthera_tigris_altaica ENSPTIG00000010587
felis_catus ENSFCAG00000036464
equus_caballus ENSECAG00000020897
equus_asinus_asinus ENSEASG00005009908
capra_hircus ENSCHIG00000022633
ovis_aries ENSOARG00000003657
bos_mutus ENSBMUG00000022437
bos_taurus ENSBTAG00000000046
bison_bison_bison ENSBBBG00000023246
tursiops_truncatus ENSTTRG00000007664
sus_scrofa ENSSSCG00000038459
pteropus_vampyrus ENSPVAG00000017048
sorex_araneus ENSSARG00000000315
erinaceus_europaeus ENSEEUG00000000212
phascolarctos_cinereus ENSPCIG00000017370
notamacropus_eugenii ENSMEUG00000002132
sarcophilus_harrisii ENSSHAG00000004511
monodelphis_domestica ENSMODG00000012766
pogona_vitticeps ENSPVIG00000013340
notechis_scutatus ENSNSUG00000008751
salvator_merianae ENSSMRG00000007810
sphenodon_punctatus ENSSPUG00000015887
apteryx_owenii ENSAOWG00000005256
apteryx_haastii ENSAHAG00000010219
apteryx_rowi ENSARWG00000007665
dromaius_novaehollandiae ENSDNVG00000012486
nothoprocta_perdicaria ENSNPEG00000013559
calidris_pugnax ENSCPUG00000013871
calidris_pygmaea ENSCPGG00000005142
melopsittacus_undulatus ENSMUNG00000000431
lepidothrix_coronata ENSLCOG00000013525
manacus_vitellinus ENSMVIG00005012720
taeniopygia_guttata ENSTGUG00000005497
lonchura_striata_domestica ENSLSDG00000002602
serinus_canaria ENSSCAG00000003761
zonotrichia_albicollis ENSZALG00000015634
junco_hyemalis ENSJHYG00000006313
parus_major ENSPMJG00000006516
cyanistes_caeruleus ENSCCEG00000003107
ficedula_albicollis ENSFALG00000001509
meleagris_gallopavo ENSMGAG00000006391
coturnix_japonica ENSCJPG00005006936
gallus_gallus ENSGALG00000003181
numida_meleagris ENSNMEG00000009312
anser_brachyrhynchus ENSABRG00000021576
anas_platyrhynchos_platyrhynchos ENSAPLG00000005587
crocodylus_porosus ENSCPRG00005007341
chelonoidis_abingdonii ENSCABG00000004816
gopherus_agassizii ENSGAGG00000010273
chrysemys_picta_bellii ENSCPBG00000021158
pelodiscus_sinensis ENSPSIG00000015155
xenopus_tropicalis ENSXETG00000027524
latimeria_chalumnae ENSLACG00000012991
ciona_savignyi ENSCSAVG00000002212
