maylandia_zebra ENSMZEG00005020977
astatotilapia_calliptera ENSACLG00000011204
haplochromis_burtoni ENSHBUG00000020338
amphiprion_ocellaris ENSAOCG00000018725
anabas_testudineus ENSATEG00000001787
mastacembelus_armatus ENSMAMG00000015273
labrus_bergylta ENSLBEG00000001346
seriola_dumerili ENSSDUG00000006604
seriola_lalandi_dorsalis ENSSLDG00000004350
poecilia_mexicana ENSPMEG00000014529
poecilia_latipinna ENSPLAG00000021449
poecilia_reticulata ENSPREG00000004610
gambusia_affinis ENSGAFG00000003312
latimeria_chalumnae ENSLACG00000017090
