microcebus_murinus ENSMICG00000000397
otolemur_garnettii ENSOGAG00000033501
cebus_capucinus_imitator ENSCCAG00000033630
octodon_degus ENSODEG00000010560
myotis_lucifugus ENSMLUG00000028058
hippocampus_comes ENSHCOG00000009524
ciona_intestinalis ENSCING00000008616
ciona_intestinalis ENSCING00000008615
drosophila_melanogaster FBgn0000253
caenorhabditis_elegans_strain_n2 WBGene00000552
mola_mola ENSMMOG00000008099
mola_mola ENSMMOG00000000909
fundulus_heteroclitus ENSFHEG00000016529
scophthalmus_maximus ENSSMAG00000015338
lepisosteus_oculatus ENSLOCG00000014870
octodon_degus ENSODEG00000001053
cavia_aperea ENSCAPG00000015451
ictidomys_tridecemlineatus ENSSTOG00000026622
propithecus_coquereli ENSPCOG00000024464
procavia_capensis ENSPCAG00000010204
felis_catus ENSFCAG00000029885
bos_mutus ENSBMUG00000026281
erinaceus_europaeus ENSEEUG00000013179
carlito_syrichta ENSTSYG00000001593
rhinopithecus_bieti ENSRBIG00000040350
propithecus_coquereli ENSPCOG00000006771
cricetulus_griseus_crigri_1.0 ENSCGRG00000014902
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012620
cricetulus_griseus_crigri-picr ENSCGRG00015015813
rattus_norvegicus ENSRNOG00000048082
choloepus_hoffmanni ENSCHOG00000000887
echinops_telfairi ENSETEG00000012741
sphenodon_punctatus ENSSPUG00000003046
ficedula_albicollis ENSFALG00000012251
anser_brachyrhynchus ENSABRG00000011043
salvator_merianae ENSSMRG00000018708
equus_caballus ENSECAG00000037742
chelonoidis_abingdonii ENSCABG00000002704
chelonoidis_abingdonii ENSCABG00000008550
nomascus_leucogenys ENSNLEG00000034105
gorilla_gorilla ENSGGOG00000039924
mandrillus_leucophaeus ENSMLEG00000008720
cercocebus_atys ENSCATG00000044321
cavia_aperea ENSCAPG00000010123
bison_bison_bison ENSBBBG00000003191
ursus_americanus ENSUAMG00000019995
canis_lupus_familiaris ENSCAFG00000030049
canis_lupus_dingo ENSCAFG00020015866
panthera_pardus ENSPPRG00000012930
mandrillus_leucophaeus ENSMLEG00000043316
cercocebus_atys ENSCATG00000042578
propithecus_coquereli ENSPCOG00000000427
spermophilus_dauricus ENSSDAG00000011944
dasypus_novemcinctus ENSDNOG00000048708
carlito_syrichta ENSTSYG00000011824
cebus_capucinus_imitator ENSCCAG00000029450
notamacropus_eugenii ENSMEUG00000002079
ornithorhynchus_anatinus ENSOANG00000015365
bos_mutus ENSBMUG00000005729
bos_mutus ENSBMUG00000023233
bison_bison_bison ENSBBBG00000024666
bos_taurus ENSBTAG00000032705
myotis_lucifugus ENSMLUG00000026205
cricetulus_griseus_crigri_1.0 ENSCGRG00000001538
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001025070
ornithorhynchus_anatinus ENSOANG00000001711
cyanistes_caeruleus ENSCCEG00000018195
eptatretus_burgeri ENSEBUG00000015930
drosophila_melanogaster FBgn0011273
drosophila_melanogaster FBgn0051960
monodelphis_domestica ENSMODG00000023174
monodelphis_domestica ENSMODG00000023172
saccharomyces_cerevisiae_strain_s288c YBR109C
