ailuropoda_melanoleuca ENSAMEG00000014783
erinaceus_europaeus ENSEEUG00000015013
microtus_ochrogaster ENSMOCG00000009024
mesocricetus_auratus ENSMAUG00000011447
octodon_degus ENSODEG00000002962
pan_troglodytes ENSPTRG00000050247
carlito_syrichta ENSTSYG00000013130
phascolarctos_cinereus ENSPCIG00000031116
ornithorhynchus_anatinus ENSOANG00000005061
sphenodon_punctatus ENSSPUG00000016976
notechis_scutatus ENSNSUG00000006290
apteryx_rowi ENSARWG00000015456
apteryx_haastii ENSAHAG00000002799
apteryx_owenii ENSAOWG00000014284
nothoprocta_perdicaria ENSNPEG00000001010
chelonoidis_abingdonii ENSCABG00000001031
amphiprion_ocellaris ENSAOCG00000022128
oreochromis_niloticus ENSONIG00000012480
