ursus_maritimus ENSUMAG00000021582
ursus_americanus ENSUAMG00000023918
vulpes_vulpes ENSVVUG00000015060
felis_catus ENSFCAG00000033541
neovison_vison ENSNVIG00000000725
equus_asinus_asinus ENSEASG00005006143
equus_caballus ENSECAG00000038166
castor_canadensis ENSCCNG00000015192
peromyscus_maniculatus_bairdii ENSPEMG00000030192
pan_paniscus ENSPPAG00000029781
pan_troglodytes ENSPTRG00000045943
gorilla_gorilla ENSGGOG00000036723
nomascus_leucogenys ENSNLEG00000034852
theropithecus_gelada ENSTGEG00000021906
papio_anubis ENSPANG00000029955
macaca_nemestrina ENSMNEG00000003900
macaca_fascicularis ENSMFAG00000037852
macaca_mulatta ENSMMUG00000041172
cercocebus_atys ENSCATG00000036657
mandrillus_leucophaeus ENSMLEG00000005087
rhinopithecus_bieti ENSRBIG00000037393
rhinopithecus_roxellana ENSRROG00000038403
piliocolobus_tephrosceles ENSPTEG00000006300
colobus_angolensis_palliatus ENSCANG00000032057
saimiri_boliviensis_boliviensis ENSSBOG00000021351
callithrix_jacchus ENSCJAG00000041306
aotus_nancymaae ENSANAG00000034388
prolemur_simus ENSPSMG00000008321
