kryptolebias_marmoratus ENSKMAG00000002673
fundulus_heteroclitus ENSFHEG00000006994
amphiprion_percula ENSAPEG00000009016
amphiprion_ocellaris ENSAOCG00000003146
monopterus_albus ENSMALG00000014336
pygocentrus_nattereri ENSPNAG00000001642
danio_rerio ENSDARG00000055945
mola_mola ENSMMOG00000021438
gasterosteus_aculeatus ENSGACG00000014417
periophthalmus_magnuspinnatus ENSPMGG00000005299
gadus_morhua ENSGMOG00000013457
poecilia_mexicana ENSPMEG00000005452
poecilia_latipinna ENSPLAG00000016728
cyprinodon_variegatus ENSCVAG00000018213
oryzias_latipes_asm223469v1 ENSORLG00015000198
oryzias_latipes_asm223471v1 ENSORLG00020003874
stegastes_partitus ENSSPAG00000010445
maylandia_zebra ENSMZEG00005025635
cynoglossus_semilaevis ENSCSEG00000021511
ictalurus_punctatus ENSIPUG00000007698
xiphophorus_couchianus ENSXCOG00000002579
gasterosteus_aculeatus ENSGACG00000000106
castor_canadensis ENSCCNG00000025801
rattus_norvegicus ENSRNOG00000007445
equus_asinus_asinus ENSEASG00005016244
felis_catus ENSFCAG00000046737
panthera_pardus ENSPPRG00000001392
cebus_capucinus_imitator ENSCCAG00000027663
latimeria_chalumnae ENSLACG00000007119
