mesocricetus_auratus ENSMAUG00000018743
nannospalax_galili ENSNGAG00000023923
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005051
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007805
dipodomys_ordii ENSDORG00000023269
castor_canadensis ENSCCNG00000020261
cavia_porcellus ENSCPOG00000036063
chinchilla_lanigera ENSCLAG00000004813
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009616
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013225
jaculus_jaculus ENSJJAG00000015540
ictidomys_tridecemlineatus ENSSTOG00000031658
