xiphophorus_couchianus ENSXCOG00000001418
periophthalmus_magnuspinnatus ENSPMGG00000005690
takifugu_rubripes ENSTRUG00000015974
tetraodon_nigroviridis ENSTNIG00000001582
mola_mola ENSMMOG00000000902
labrus_bergylta ENSLBEG00000001814
mastacembelus_armatus ENSMAMG00000007899
monopterus_albus ENSMALG00000000664
anabas_testudineus ENSATEG00000001859
scophthalmus_maximus ENSSMAG00000015202
cynoglossus_semilaevis ENSCSEG00000014310
seriola_dumerili ENSSDUG00000004714
seriola_lalandi_dorsalis ENSSLDG00000006063
amphiprion_ocellaris ENSAOCG00000020575
amphiprion_percula ENSAPEG00000019634
acanthochromis_polyacanthus ENSAPOG00000021169
stegastes_partitus ENSSPAG00000000136
poecilia_formosa ENSPFOG00000002585
poecilia_mexicana ENSPMEG00000020972
poecilia_latipinna ENSPLAG00000021989
poecilia_reticulata ENSPREG00000021719
xiphophorus_maculatus ENSXMAG00000001057
gambusia_affinis ENSGAFG00000017856
fundulus_heteroclitus ENSFHEG00000013809
cyprinodon_variegatus ENSCVAG00000010053
kryptolebias_marmoratus ENSKMAG00000018970
oryzias_latipes_asm223469v1 ENSORLG00015016482
oryzias_latipes_asm223471v1 ENSORLG00020004281
oryzias_latipes_asm223467v1 ENSORLG00000027463
oryzias_melastigma ENSOMEG00000018763
maylandia_zebra ENSMZEG00005010211
astatotilapia_calliptera ENSACLG00000001248
pundamilia_nyererei ENSPNYG00000020845
haplochromis_burtoni ENSHBUG00000016721
neolamprologus_brichardi ENSNBRG00000004756
oreochromis_niloticus ENSONIG00000004597
amphilophus_citrinellus ENSACIG00000002365
hippocampus_comes ENSHCOG00000016667
gasterosteus_aculeatus ENSGACG00000007123
gadus_morhua ENSGMOG00000013861
esox_lucius ENSELUG00000005047
astyanax_mexicanus ENSAMXG00000005199
pygocentrus_nattereri ENSPNAG00000000559
