erinaceus_europaeus ENSEEUG00000013206
echinops_telfairi ENSETEG00000007353
dasypus_novemcinctus ENSDNOG00000033633
myotis_lucifugus ENSMLUG00000001511
pteropus_vampyrus ENSPVAG00000017154
equus_asinus_asinus ENSEASG00005012281
tursiops_truncatus ENSTTRG00000010810
sus_scrofa ENSSSCG00000016191
capra_hircus ENSCHIG00000022713
ovis_aries ENSOARG00000019647
bos_taurus ENSBTAG00000026772
bos_mutus ENSBMUG00000025970
bison_bison_bison ENSBBBG00000009542
ursus_americanus ENSUAMG00000021205
ailuropoda_melanoleuca ENSAMEG00000002817
mustela_putorius_furo ENSMPUG00000016539
neovison_vison ENSNVIG00000022533
canis_lupus_familiaris ENSCAFG00000014861
canis_lupus_dingo ENSCAFG00020027052
vulpes_vulpes ENSVVUG00000003097
panthera_pardus ENSPPRG00000004287
panthera_tigris_altaica ENSPTIG00000018208
felis_catus ENSFCAG00000024599
castor_canadensis ENSCCNG00000002318
dipodomys_ordii ENSDORG00000004707
cricetulus_griseus_crigri_1.0 ENSCGRG00000011557
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020944
cricetulus_griseus_crigri-picr ENSCGRG00015003076
mesocricetus_auratus ENSMAUG00000016846
microtus_ochrogaster ENSMOCG00000009252
meriones_unguiculatus ENSMUGG00000003374
nannospalax_galili ENSNGAG00000023768
urocitellus_parryii ENSUPAG00010012261
ictidomys_tridecemlineatus ENSSTOG00000020993
chinchilla_lanigera ENSCLAG00000011769
octodon_degus ENSODEG00000006310
cavia_porcellus ENSCPOG00000002539
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010262
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015375
fukomys_damarensis ENSFDAG00000004780
oryctolagus_cuniculus ENSOCUG00000001998
gorilla_gorilla ENSGGOG00000024718
mandrillus_leucophaeus ENSMLEG00000043382
callithrix_jacchus ENSCJAG00000011145
carlito_syrichta ENSTSYG00000007129
prolemur_simus ENSPSMG00000024891
microcebus_murinus ENSMICG00000045688
propithecus_coquereli ENSPCOG00000003841
loxodonta_africana ENSLAFG00000012305
procavia_capensis ENSPCAG00000011421
notamacropus_eugenii ENSMEUG00000015679
sorex_araneus ENSSARG00000012094
ornithorhynchus_anatinus ENSOANG00000030112
