ailuropoda_melanoleuca ENSAMEG00000008072
ursus_americanus ENSUAMG00000010607
panthera_pardus ENSPPRG00000002221
panthera_tigris_altaica ENSPTIG00000010757
tursiops_truncatus ENSTTRG00000015793
propithecus_coquereli ENSPCOG00000021280
microcebus_murinus ENSMICG00000008149
prolemur_simus ENSPSMG00000020888
otolemur_garnettii ENSOGAG00000009545
pan_troglodytes ENSPTRG00000016060
pan_paniscus ENSPPAG00000029594
gorilla_gorilla ENSGGOG00000006427
homo_sapiens ENSG00000145216
nomascus_leucogenys ENSNLEG00000008187
chlorocebus_sabaeus ENSCSAG00000004975
mandrillus_leucophaeus ENSMLEG00000041763
colobus_angolensis_palliatus ENSCANG00000004785
piliocolobus_tephrosceles ENSPTEG00000029227
cebus_capucinus_imitator ENSCCAG00000021687
saimiri_boliviensis_boliviensis ENSSBOG00000033039
oryctolagus_cuniculus ENSOCUG00000000100
ochotona_princeps ENSOPRG00000010039
carlito_syrichta ENSTSYG00000002808
loxodonta_africana ENSLAFG00000002605
choloepus_hoffmanni ENSCHOG00000004049
bison_bison_bison ENSBBBG00000005000
pogona_vitticeps ENSPVIG00000001306
amphiprion_ocellaris ENSAOCG00000002811
