xiphophorus_maculatus ENSXMAG00000015309
xiphophorus_couchianus ENSXCOG00000005198
gambusia_affinis ENSGAFG00000013669
poecilia_formosa ENSPFOG00000019020
poecilia_mexicana ENSPMEG00000017760
poecilia_latipinna ENSPLAG00000002255
fundulus_heteroclitus ENSFHEG00000022782
kryptolebias_marmoratus ENSKMAG00000021207
maylandia_zebra ENSMZEG00005004937
astatotilapia_calliptera ENSACLG00000017572
oreochromis_niloticus ENSONIG00000015042
amphiprion_ocellaris ENSAOCG00000019617
amphiprion_percula ENSAPEG00000003631
acanthochromis_polyacanthus ENSAPOG00000024217
stegastes_partitus ENSSPAG00000002639
scophthalmus_maximus ENSSMAG00000001149
cynoglossus_semilaevis ENSCSEG00000006753
hippocampus_comes ENSHCOG00000007936
esox_lucius ENSELUG00000018734
paramormyrops_kingsleyae ENSPKIG00000017406
anser_brachyrhynchus ENSABRG00000003741
taeniopygia_guttata ENSTGUG00000001336
sphenodon_punctatus ENSSPUG00000017617
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015707
echinops_telfairi ENSETEG00000018584
