danio_rerio ENSDARG00000040443
ictalurus_punctatus ENSIPUG00000001127
amphilophus_citrinellus ENSACIG00000022652
cynoglossus_semilaevis ENSCSEG00000002213
mola_mola ENSMMOG00000004945
scophthalmus_maximus ENSSMAG00000003335
oryzias_melastigma ENSOMEG00000012586
labrus_bergylta ENSLBEG00000028538
amphiprion_ocellaris ENSAOCG00000024378
amphiprion_percula ENSAPEG00000021748
acanthochromis_polyacanthus ENSAPOG00000012409
stegastes_partitus ENSSPAG00000015734
neolamprologus_brichardi ENSNBRG00000000723
oreochromis_niloticus ENSONIG00000005397
pundamilia_nyererei ENSPNYG00000011908
haplochromis_burtoni ENSHBUG00000004140
astatotilapia_calliptera ENSACLG00000001663
maylandia_zebra ENSMZEG00005013082
xiphophorus_maculatus ENSXMAG00000021278
xiphophorus_couchianus ENSXCOG00000001119
gambusia_affinis ENSGAFG00000001037
poecilia_mexicana ENSPMEG00000005956
poecilia_latipinna ENSPLAG00000010639
poecilia_formosa ENSPFOG00000016816
poecilia_reticulata ENSPREG00000004227
cyprinodon_variegatus ENSCVAG00000014797
fundulus_heteroclitus ENSFHEG00000015659
kryptolebias_marmoratus ENSKMAG00000001567
oryzias_latipes_asm223471v1 ENSORLG00020011281
oryzias_latipes_asm223469v1 ENSORLG00015019529
oryzias_latipes_asm223467v1 ENSORLG00000013308
tetraodon_nigroviridis ENSTNIG00000011737
gasterosteus_aculeatus ENSGACG00000006679
takifugu_rubripes ENSTRUG00000022235
labrus_bergylta ENSLBEG00000001220
anabas_testudineus ENSATEG00000000758
mastacembelus_armatus ENSMAMG00000013970
seriola_dumerili ENSSDUG00000005483
seriola_lalandi_dorsalis ENSSLDG00000009341
hippocampus_comes ENSHCOG00000010967
periophthalmus_magnuspinnatus ENSPMGG00000016154
gadus_morhua ENSGMOG00000013806
esox_lucius ENSELUG00000018012
astyanax_mexicanus ENSAMXG00000030198
pygocentrus_nattereri ENSPNAG00000005859
eptatretus_burgeri ENSEBUG00000007333
scleropages_formosus ENSSFOG00015022523
paramormyrops_kingsleyae ENSPKIG00000001086
lepisosteus_oculatus ENSLOCG00000014818
meleagris_gallopavo ENSMGAG00000008576
gallus_gallus ENSGALG00000038595
coturnix_japonica ENSCJPG00005014549
numida_meleagris ENSNMEG00000014143
ficedula_albicollis ENSFALG00000006198
zonotrichia_albicollis ENSZALG00000006270
notechis_scutatus ENSNSUG00000010494
salvator_merianae ENSSMRG00000015344
sphenodon_punctatus ENSSPUG00000012658
gopherus_agassizii ENSGAGG00000015806
chelonoidis_abingdonii ENSCABG00000007746
chrysemys_picta_bellii ENSCPBG00000006726
pelodiscus_sinensis ENSPSIG00000011560
monodelphis_domestica ENSMODG00000014172
latimeria_chalumnae ENSLACG00000009590
carlito_syrichta ENSTSYG00000028318
carlito_syrichta ENSTSYG00000031752
oryctolagus_cuniculus ENSOCUG00000024998
microcebus_murinus ENSMICG00000010241
prolemur_simus ENSPSMG00000001637
propithecus_coquereli ENSPCOG00000018643
otolemur_garnettii ENSOGAG00000024254
pan_troglodytes ENSPTRG00000010885
pan_paniscus ENSPPAG00000033446
homo_sapiens ENSG00000105258
gorilla_gorilla ENSGGOG00000015426
pongo_abelii ENSPPYG00000009897
nomascus_leucogenys ENSNLEG00000011691
rhinopithecus_roxellana ENSRROG00000042843
rhinopithecus_bieti ENSRBIG00000037225
colobus_angolensis_palliatus ENSCANG00000031951
piliocolobus_tephrosceles ENSPTEG00000010976
theropithecus_gelada ENSTGEG00000018402
theropithecus_gelada ENSTGEG00000015483
theropithecus_gelada ENSTGEG00000013426
papio_anubis ENSPANG00000004508
cercocebus_atys ENSCATG00000017413
mandrillus_leucophaeus ENSMLEG00000039720
macaca_nemestrina ENSMNEG00000029421
macaca_mulatta ENSMMUG00000000522
macaca_fascicularis ENSMFAG00000039443
chlorocebus_sabaeus ENSCSAG00000004254
cebus_capucinus_imitator ENSCCAG00000022138
cebus_capucinus_imitator ENSCCAG00000032214
callithrix_jacchus ENSCJAG00000009671
saimiri_boliviensis_boliviensis ENSSBOG00000030799
saimiri_boliviensis_boliviensis ENSSBOG00000022998
aotus_nancymaae ENSANAG00000035318
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030603
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019738
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029507
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012741
rattus_norvegicus ENSRNOG00000020799
rattus_norvegicus ENSRNOG00000050560
meriones_unguiculatus ENSMUGG00000012283
microtus_ochrogaster ENSMOCG00000011984
mesocricetus_auratus ENSMAUG00000001001
peromyscus_maniculatus_bairdii ENSPEMG00000014212
nannospalax_galili ENSNGAG00000014966
jaculus_jaculus ENSJJAG00000014400
dipodomys_ordii ENSDORG00000028728
dipodomys_ordii ENSDORG00000029259
dipodomys_ordii ENSDORG00000028026
dipodomys_ordii ENSDORG00000001852
castor_canadensis ENSCCNG00000009224
octodon_degus ENSODEG00000015015
octodon_degus ENSODEG00000017901
chinchilla_lanigera ENSCLAG00000011800
cavia_porcellus ENSCPOG00000012097
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007388
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014515
fukomys_damarensis ENSFDAG00000011350
urocitellus_parryii ENSUPAG00010014217
ictidomys_tridecemlineatus ENSSTOG00000009411
spermophilus_dauricus ENSSDAG00000009882
marmota_marmota_marmota ENSMMMG00000004579
ochotona_princeps ENSOPRG00000001789
ochotona_princeps ENSOPRG00000008681
oryctolagus_cuniculus ENSOCUG00000013044
panthera_pardus ENSPPRG00000007194
panthera_tigris_altaica ENSPTIG00000018661
felis_catus ENSFCAG00000026052
mustela_putorius_furo ENSMPUG00000005702
neovison_vison ENSNVIG00000016263
canis_lupus_familiaris ENSCAFG00000006601
canis_lupus_dingo ENSCAFG00020018113
vulpes_vulpes ENSVVUG00000013588
ursus_maritimus ENSUMAG00000020809
ursus_americanus ENSUAMG00000020575
ailuropoda_melanoleuca ENSAMEG00000000993
myotis_lucifugus ENSMLUG00000012317
sorex_araneus ENSSARG00000009331
pteropus_vampyrus ENSPVAG00000012883
erinaceus_europaeus ENSEEUG00000002113
bos_taurus ENSBTAG00000015002
bos_mutus ENSBMUG00000018782
bison_bison_bison ENSBBBG00000022250
ovis_aries ENSOARG00000005266
capra_hircus ENSCHIG00000011961
tursiops_truncatus ENSTTRG00000003919
sus_scrofa ENSSSCG00000039196
equus_asinus_asinus ENSEASG00005002231
equus_caballus ENSECAG00000013654
dasypus_novemcinctus ENSDNOG00000015842
loxodonta_africana ENSLAFG00000015527
procavia_capensis ENSPCAG00000003494
echinops_telfairi ENSETEG00000012679
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016173
cavia_aperea ENSCAPG00000011296
pogona_vitticeps ENSPVIG00000020857
apteryx_owenii ENSAOWG00000019467
phascolarctos_cinereus ENSPCIG00000029226
phascolarctos_cinereus ENSPCIG00000015436
cyanistes_caeruleus ENSCCEG00000019849
cricetulus_griseus_crigri-picr ENSCGRG00015009306
drosophila_melanogaster FBgn0004855
ciona_savignyi ENSCSAVG00000010630
caenorhabditis_elegans_strain_n2 WBGene00022400
saccharomyces_cerevisiae_strain_s288c YGL070C
