bos_taurus ENSBTAG00000051600
bos_mutus ENSBMUG00000021564
bison_bison_bison ENSBBBG00000005519
capra_hircus ENSCHIG00000019961
equus_asinus_asinus ENSEASG00005009723
ursus_maritimus ENSUMAG00000000248
ursus_americanus ENSUAMG00000019603
ailuropoda_melanoleuca ENSAMEG00000013251
colobus_angolensis_palliatus ENSCANG00000028530
rhinopithecus_roxellana ENSRROG00000043425
otolemur_garnettii ENSOGAG00000034465
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013518
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006602
fukomys_damarensis ENSFDAG00000002803
chinchilla_lanigera ENSCLAG00000009804
dipodomys_ordii ENSDORG00000029157
ictidomys_tridecemlineatus ENSSTOG00000034479
loxodonta_africana ENSLAFG00000025840
dasypus_novemcinctus ENSDNOG00000045686
sarcophilus_harrisii ENSSHAG00000001843
apteryx_owenii ENSAOWG00000015449
nothoprocta_perdicaria ENSNPEG00000009175
dromaius_novaehollandiae ENSDNVG00000009383
anser_brachyrhynchus ENSABRG00000008686
meleagris_gallopavo ENSMGAG00000016630
cyanistes_caeruleus ENSCCEG00000019913
ficedula_albicollis ENSFALG00000011711
lepidothrix_coronata ENSLCOG00000003533
calidris_pygmaea ENSCPGG00000011079
sphenodon_punctatus ENSSPUG00000008295
anolis_carolinensis ENSACAG00000022850
