acanthochromis_polyacanthus ENSAPOG00000004892
haplochromis_burtoni ENSHBUG00000015865
gambusia_affinis ENSGAFG00000012236
cyprinodon_variegatus ENSCVAG00000016008
kryptolebias_marmoratus ENSKMAG00000001058
oryzias_latipes_asm223471v1 ENSORLG00020010592
paramormyrops_kingsleyae ENSPKIG00000000376
castor_canadensis ENSCCNG00000021872
rattus_norvegicus ENSRNOG00000061764
pan_troglodytes ENSPTRG00000002157
pan_paniscus ENSPPAG00000036597
felis_catus ENSFCAG00000029917
phascolarctos_cinereus ENSPCIG00000035163
gopherus_agassizii ENSGAGG00000018851
meleagris_gallopavo ENSMGAG00000011585
