seriola_lalandi_dorsalis ENSSLDG00000007086
seriola_dumerili ENSSDUG00000000517
scophthalmus_maximus ENSSMAG00000006124
takifugu_rubripes ENSTRUG00000024142
pundamilia_nyererei ENSPNYG00000002590
pundamilia_nyererei ENSPNYG00000005197
maylandia_zebra ENSMZEG00005017343
haplochromis_burtoni ENSHBUG00000003099
astatotilapia_calliptera ENSACLG00000006783
amphilophus_citrinellus ENSACIG00000000419
oryzias_latipes_asm223467v1 ENSORLG00000025809
oryzias_latipes_asm223471v1 ENSORLG00020007947
oryzias_melastigma ENSOMEG00000000718
oryzias_melastigma ENSOMEG00000010971
kryptolebias_marmoratus ENSKMAG00000015690
periophthalmus_magnuspinnatus ENSPMGG00000010279
ictalurus_punctatus ENSIPUG00000001711
