bos_mutus ENSBMUG00000021122
bos_taurus ENSBTAG00000045784
bison_bison_bison ENSBBBG00000019830
capra_hircus ENSCHIG00000010945
ovis_aries ENSOARG00000004723
tursiops_truncatus ENSTTRG00000009462
sus_scrofa ENSSSCG00000035900
vulpes_vulpes ENSVVUG00000024526
canis_lupus_dingo ENSCAFG00020001743
neovison_vison ENSNVIG00000019335
mustela_putorius_furo ENSMPUG00000019142
ursus_americanus ENSUAMG00000026907
ailuropoda_melanoleuca ENSAMEG00000010785
panthera_pardus ENSPPRG00000017702
panthera_tigris_altaica ENSPTIG00000002454
felis_catus ENSFCAG00000038057
equus_asinus_asinus ENSEASG00005001170
propithecus_coquereli ENSPCOG00000013623
prolemur_simus ENSPSMG00000012772
otolemur_garnettii ENSOGAG00000034679
gorilla_gorilla ENSGGOG00000023994
homo_sapiens ENSG00000125817
pan_troglodytes ENSPTRG00000028950
pan_paniscus ENSPPAG00000036537
nomascus_leucogenys ENSNLEG00000018556
rhinopithecus_bieti ENSRBIG00000012716
rhinopithecus_roxellana ENSRROG00000035707
piliocolobus_tephrosceles ENSPTEG00000015932
macaca_fascicularis ENSMFAG00000033015
macaca_mulatta ENSMMUG00000018921
macaca_nemestrina ENSMNEG00000037528
chlorocebus_sabaeus ENSCSAG00000018760
cercocebus_atys ENSCATG00000022232
papio_anubis ENSPANG00000018561
theropithecus_gelada ENSTGEG00000013101
callithrix_jacchus ENSCJAG00000038517
cebus_capucinus_imitator ENSCCAG00000010147
chinchilla_lanigera ENSCLAG00000017935
octodon_degus ENSODEG00000006217
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021323
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100021191
marmota_marmota_marmota ENSMMMG00000023947
ictidomys_tridecemlineatus ENSSTOG00000024375
urocitellus_parryii ENSUPAG00010001970
spermophilus_dauricus ENSSDAG00000009724
dipodomys_ordii ENSDORG00000003851
castor_canadensis ENSCCNG00000015538
peromyscus_maniculatus_bairdii ENSPEMG00000005445
microtus_ochrogaster ENSMOCG00000006748
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019077
cricetulus_griseus_crigri_1.0 ENSCGRG00000017608
cricetulus_griseus_crigri-picr ENSCGRG00015011824
mesocricetus_auratus ENSMAUG00000009494
mus_spicilegus ENSMSIG00000014378
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000068267
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025243
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024323
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025768
rattus_norvegicus ENSRNOG00000057284
meriones_unguiculatus ENSMUGG00000012098
nannospalax_galili ENSNGAG00000013113
jaculus_jaculus ENSJJAG00000002178
myotis_lucifugus ENSMLUG00000024266
saimiri_boliviensis_boliviensis ENSSBOG00000029020
cavia_porcellus ENSCPOG00000007221
equus_caballus ENSECAG00000005217
procavia_capensis ENSPCAG00000008643
loxodonta_africana ENSLAFG00000022949
dasypus_novemcinctus ENSDNOG00000046162
phascolarctos_cinereus ENSPCIG00000001086
monodelphis_domestica ENSMODG00000015345
sarcophilus_harrisii ENSSHAG00000014255
ornithorhynchus_anatinus ENSOANG00000002467
